Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,126.87,55.16,49.29,7.97,7.42
2020-10-31,101.92,44.31,39.60,6.40,5.96
2020-07-31,96.01,43.44,41.14,5.96,5.77
2020-04-30,76.24,35.14,36.01,4.93,4.58
2020-01-31,81.91,33.85,43.43,5.24,4.96
2019-10-31,74.99,22.32,27.54,4.88,4.64
2019-07-31,68.57,20.47,23.86,4.48,4.32
2019-04-30,77.38,22.24,28.13,4.79,4.98
2019-01-31,74.82,21.13,26.13,4.72,4.86
2018-10-31,63.58,64.88,22.68,4.42,4.20
2018-07-31,64.67,71.07,26.11,4.52,4.37
2018-04-30,64.22,89.20,25.41,4.48,4.43
2018-01-31,71.57,121.31,29.71,4.52,5.04
2017-10-31,66.16,31.51,30.25,4.41,4.82
2017-07-31,58.03,29.91,28.58,4.05,4.31
2017-04-30,53.31,29.95,26.87,3.91,4.03
2017-01-31,47.30,30.32,23.35,3.54,3.66
2016-10-31,41.97,29.76,21.11,3.20,3.29
2016-07-31,46.23,31.88,22.24,3.45,3.71
2016-04-30,39.22,28.42,21.43,3.06,3.18
2016-01-31,35.98,26.65,21.87,2.92,2.98
2015-10-31,35.99,30.24,28.30,2.87,2.99
2015-07-31,38.91,47.45,37.10,3.15,2.73
2015-04-30,39.21,41.72,55.67,3.14,2.76
2015-01-31,35.71,32.47,35.61,2.83,2.50
2014-10-31,37.69,25.64,23.59,2.38,2.65
2014-07-31,38.15,18.61,17.00,2.25,2.72
2014-04-30,36.67,17.38,13.03,2.17,2.31
2014-01-31,39.37,18.06,14.24,2.41,2.20
2013-10-31,34.28,16.25,12.01,2.16,1.74
2013-07-31,30.14,11.25,10.09,2.08,1.54
2013-04-30,27.85,9.67,9.17,1.81,1.42
2013-01-31,30.01,9.62,9.48,1.95,1.53
2012-10-31,24.06,7.38,8.21,1.61,1.24
2012-07-31,25.53,8.86,8.40,1.83,1.32
2012-04-30,28.05,9.02,9.03,2.07,1.47
2012-01-31,28.18,9.55,8.99,2.18,1.49
2011-10-31,24.60,8.66,8.01,1.98,1.32
2011-07-31,27.97,10.44,10.28,2.31,1.54
2011-04-30,33.12,14.15,14.44,2.91,1.90
2011-01-31,27.75,13.28,14.40,2.87,1.71
2010-10-31,23.09,13.04,13.49,2.47,1.50
2010-07-31,18.53,15.70,14.44,2.28,1.29
2010-04-30,24.06,44.55,21.24,3.18,1.79
2010-01-31,18.60,0.00,21.27,2.49,1.43
2009-10-31,16.41,0.00,20.21,2.26,1.27
2009-07-31,15.41,32.78,17.89,2.14,1.14
2009-04-30,12.12,12.36,10.31,1.72,0.84
2009-01-31,12.00,6.89,7.25,1.61,0.79
2008-10-31,14.72,7.87,8.87,2.01,0.95
2008-07-31,23.93,14.16,12.16,2.68,1.59
2008-04-30,20.04,11.86,10.09,2.29,1.38
2008-01-31,22.47,14.78,12.09,2.61,1.63
2007-10-31,24.45,15.57,12.00,2.80,1.85
2007-07-31,25.31,17.22,13.19,2.98,2.00
2007-04-30,22.80,14.62,12.17,2.54,1.87
2007-01-31,21.23,13.97,10.71,2.35,1.80
2006-10-31,23.62,3.38,15.88,2.64,2.12
