Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,153.26,22.28,15.85,2.79,1.08
2020-06-30,142.00,21.85,18.80,2.63,1.03
2020-03-31,92.85,16.91,16.95,1.81,0.69
2019-12-31,158.89,23.23,18.68,3.10,1.17
2019-09-30,164.03,26.46,19.68,3.29,1.22
2019-06-30,152.80,25.42,17.73,2.98,1.15
2019-03-31,168.98,28.79,19.32,3.42,1.29
2018-12-31,155.98,27.22,18.64,3.18,1.21
2018-09-30,166.68,22.28,16.40,3.32,1.30
2018-06-30,134.32,18.60,15.13,2.72,1.06
2018-03-31,117.29,17.25,15.22,2.45,0.93
2017-12-31,98.58,15.36,17.31,2.13,0.78
2017-09-30,98.04,20.55,25.23,2.24,0.77
2017-06-30,115.15,23.03,25.02,2.72,0.90
2017-03-31,146.36,26.56,45.75,3.57,1.14
2016-12-31,166.88,26.96,46.34,4.22,1.29
2016-09-30,147.10,24.15,32.55,3.79,1.14
2016-06-30,159.37,25.75,36.38,4.27,1.23
2016-03-31,158.04,24.16,27.54,4.42,1.20
2015-12-31,148.29,23.17,23.35,4.42,1.12
2015-09-30,186.66,27.41,29.82,5.66,1.38
2015-06-30,156.83,22.93,23.83,5.02,1.16
2015-03-31,147.32,21.99,21.37,5.02,1.09
2014-12-31,156.69,23.35,23.89,5.72,1.17
2014-09-30,128.14,20.57,19.63,4.86,1.04
2014-06-30,132.62,22.14,26.43,5.33,1.18
2014-03-31,124.28,21.84,29.52,5.44,1.22
2013-12-31,108.69,20.39,21.61,5.22,1.23
2013-09-30,81.15,14.65,15.48,4.03,0.93
2013-06-30,79.61,14.94,15.82,4.24,0.92
2013-03-31,81.00,15.95,17.17,4.65,0.96
2012-12-31,70.85,13.57,12.47,4.29,0.85
2012-09-30,66.97,12.78,11.19,4.30,0.81
2012-06-30,66.69,12.26,9.87,4.62,0.80
2012-03-31,86.51,15.56,12.22,6.49,1.05
2011-12-31,67.97,13.28,9.32,5.84,0.86
2011-09-30,56.66,11.83,10.36,5.28,0.74
2011-06-30,56.99,12.92,11.65,5.52,0.77
2011-03-31,63.87,15.54,13.88,5.63,0.90
2010-12-31,64.33,16.28,12.01,5.07,0.95
2010-09-30,57.01,15.24,10.39,4.19,0.88
2010-06-30,48.70,14.49,7.62,3.85,0.79
2010-03-31,40.64,13.41,6.91,3.18,0.69
2009-12-31,39.19,13.90,7.25,2.86,0.69
2009-09-30,37.97,13.96,6.53,2.78,0.66
2009-06-30,40.05,15.05,9.61,3.03,0.71
2009-03-31,39.59,15.11,9.77,3.20,0.71
2008-12-31,32.38,12.95,10.26,2.86,0.60
2008-09-30,38.09,14.71,17.07,3.41,0.74
2008-06-30,37.24,14.49,12.48,3.42,0.74
2008-03-31,32.60,13.47,12.80,3.25,0.68
2007-12-31,36.31,16.00,18.83,3.51,0.79
2007-09-30,32.03,14.23,15.36,3.03,0.71
2007-06-30,38.61,17.24,34.52,3.41,0.87
2007-03-31,36.67,16.74,36.53,3.48,0.83
2006-12-31,33.77,15.64,41.36,3.45,0.79
