Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,129.71,35.13,27.89,32.95,7.66
2020-12-31,132.49,35.88,28.48,33.66,7.82
2020-09-30,115.44,35.41,27.58,29.99,7.41
2020-06-30,90.74,27.60,22.51,21.51,5.92
2020-03-31,63.08,19.79,16.95,13.91,4.25
2019-12-31,72.67,22.96,20.53,14.24,4.98
2019-09-30,55.27,18.65,17.45,10.85,3.98
2019-06-30,48.65,16.59,15.91,9.14,3.59
2019-03-31,46.51,15.65,14.92,8.10,3.48
2018-12-31,38.46,12.65,12.04,6.17,2.90
2018-09-30,54.85,18.48,17.11,9.74,4.17
2018-06-30,44.82,16.25,15.06,7.55,3.59
2018-03-31,40.46,15.62,15.16,6.31,3.38
2017-12-31,40.65,16.71,15.77,5.89,3.55
2017-09-30,36.89,16.04,14.97,5.64,3.40
2017-06-30,34.33,15.61,13.92,5.36,3.27
2017-03-31,34.11,15.96,13.49,5.30,3.33
2016-12-31,27.38,13.12,11.01,4.35,2.73
2016-09-30,26.59,12.86,10.93,4.42,2.73
2016-06-30,22.36,10.45,9.78,3.81,2.28
2016-03-31,25.34,11.27,10.16,4.26,2.52
2015-12-31,24.34,10.34,8.72,4.21,2.38
2015-09-30,25.32,11.01,8.38,4.73,2.52
2015-06-30,28.75,13.28,9.68,5.22,3.02
2015-03-31,28.40,14.04,10.38,5.07,3.18
2014-12-31,25.10,13.53,9.94,4.74,3.03
2014-09-30,22.81,14.19,11.14,4.80,3.08
2014-06-30,20.94,13.52,10.60,4.15,2.94
2014-03-31,17.18,11.49,9.11,3.45,2.48
2013-12-31,17.85,12.39,10.10,3.44,2.65
2013-09-30,15.08,10.65,8.65,3.07,2.32
2013-06-30,12.46,8.71,7.47,2.57,1.94
2013-03-31,13.82,9.24,8.06,2.68,2.17
2012-12-31,16.52,10.49,9.24,3.41,2.66
2012-09-30,20.61,13.07,12.82,4.58,3.48
2012-06-30,17.96,11.82,10.40,4.22,3.19
2012-03-31,18.44,12.59,10.16,4.71,3.41
2011-12-31,12.46,9.93,8.00,3.61,2.56
2011-09-30,11.73,11.87,9.25,3.98,2.84
2011-06-30,10.32,11.45,9.19,3.86,2.69
2011-03-31,10.72,14.31,12.02,4.51,3.20
2010-12-31,9.92,15.51,13.08,4.68,3.38
2010-09-30,8.73,16.13,13.62,4.68,3.46
2010-06-30,7.74,17.57,13.96,4.59,3.49
2010-03-31,7.23,19.90,15.31,4.68,3.62
2009-12-31,6.48,20.96,15.35,4.60,3.54
2009-09-30,5.70,21.26,16.06,4.54,3.37
2009-06-30,4.38,17.65,10.84,4.24,2.54
2009-03-31,3.23,13.33,8.84,3.32,1.98
2008-12-31,2.63,11.99,6.95,2.86,1.67
2008-09-30,3.50,18.27,10.38,3.90,2.35
2008-06-30,5.15,28.22,21.24,6.51,4.13
2008-03-31,4.41,25.59,18.36,6.03,3.78
2007-12-31,6.09,37.82,27.16,8.92,5.63
2007-09-30,4.72,34.06,24.82,7.93,4.77
2007-06-30,3.75,30.13,22.46,6.82,4.11
2007-03-31,2.86,25.65,17.75,5.64,3.27
2006-12-31,2.61,26.57,19.89,5.60,3.11
