Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,85.41,18.06,9.51,9.86,3.38
2020-06-30,94.61,20.13,10.43,11.33,3.99
2020-03-31,72.38,12.81,7.93,-14.41,3.15
2019-12-31,83.00,15.72,9.64,-15.02,3.70
2019-09-30,69.97,32.24,8.23,-12.58,3.19
2019-06-30,66.19,24.33,7.82,-11.42,3.06
2019-03-31,72.39,20.74,8.37,-13.67,3.39
2018-12-31,81.78,22.84,9.89,-14.37,3.89
2018-09-30,83.02,17.15,10.67,-42.75,4.05
2018-06-30,80.52,19.93,11.82,-36.12,4.14
2018-03-31,81.41,20.51,13.10,36.36,4.40
2017-12-31,82.59,25.10,14.04,25.80,4.69
2017-09-30,75.36,18.33,14.28,17.99,4.45
2017-06-30,60.95,14.97,14.77,16.16,3.69
2017-03-31,54.23,14.05,13.42,17.27,3.36
2016-12-31,51.58,14.21,12.82,17.72,3.28
2016-09-30,51.47,13.91,11.99,12.93,3.33
2016-06-30,50.08,14.43,10.72,14.46,3.32
2016-03-31,45.76,13.78,9.91,15.94,3.16
2015-12-31,46.94,15.04,10.97,19.15,3.36
2015-09-30,42.71,25.27,16.04,14.36,3.18
2015-06-30,52.35,41.55,21.15,15.74,4.03
2015-03-31,45.24,40.75,18.72,52.33,3.56
2014-12-31,50.18,46.04,27.51,45.84,4.05
2014-09-30,43.96,19.11,14.84,15.08,3.60
2014-06-30,42.63,16.46,14.17,13.00,3.56
2014-03-31,38.47,14.97,11.95,13.02,3.25
2013-12-31,39.21,15.32,10.89,13.86,3.35
