Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,324.20,73.85,62.74,11.62,18.22
2020-09-30,277.06,60.89,51.48,10.59,15.77
2020-06-30,241.56,69.61,45.98,9.88,13.85
2020-03-31,145.16,32.84,24.55,6.13,7.92
2019-12-31,170.59,32.07,30.44,7.35,9.32
2019-09-30,177.89,37.22,33.75,8.12,9.99
2019-06-30,260.49,46.60,52.46,11.79,15.08
2019-03-31,285.59,50.91,63.31,13.75,17.13
2018-12-31,325.04,67.58,78.36,17.20,20.33
2018-09-30,449.75,108.90,133.88,25.54,29.98
2018-06-30,409.05,114.26,132.71,25.38,29.28
2018-03-31,290.99,118.77,97.61,18.73,22.43
2017-12-31,187.41,94.65,83.22,13.12,15.67
2017-09-30,168.60,83.05,82.08,12.32,15.10
2017-06-30,143.30,84.79,91.94,11.14,13.56
2017-03-31,125.20,107.93,86.42,12.10,12.59
2016-12-31,112.68,105.31,73.43,11.75,12.19
2016-09-30,128.58,133.94,83.34,13.98,14.97
2016-06-30,109.29,117.52,67.06,12.46,13.69
2016-03-31,94.81,112.87,69.59,10.95,12.89
2015-12-31,90.28,31.79,65.06,11.09,13.20
2015-09-30,92.76,31.88,73.84,11.88,14.55
2015-06-30,65.73,23.23,64.27,8.97,11.13
2015-03-31,71.58,27.64,80.52,10.15,13.09
2014-12-31,38.06,86.50,50.14,7.99,7.45
2014-09-30,24.83,99.32,41.20,5.74,5.21
2014-06-30,25.14,132.32,42.84,5.96,5.45
2014-03-31,26.04,137.05,52.33,6.17,5.79
2013-12-31,26.74,140.74,61.66,6.63,6.15
2013-09-30,19.06,127.07,43.31,4.99,4.56
2013-06-30,21.56,86.24,46.65,5.95,5.39
2013-03-31,18.67,50.46,32.53,5.26,4.87
2012-12-31,13.44,39.53,24.93,3.84,3.64
2012-09-30,20.99,61.74,45.28,5.92,5.90
2012-06-30,22.82,99.22,60.77,6.91,6.69
2012-03-31,22.19,739.67,472.13,6.90,6.95
2011-12-31,18.47,0.00,0.00,6.11,6.09
2011-09-30,11.03,0.00,0.00,3.82,3.72
2011-06-30,16.20,0.00,0.00,5.61,5.70
2011-03-31,14.53,0.00,0.00,5.23,5.34
2010-12-31,9.61,0.00,0.00,3.60,3.73
2010-09-30,10.61,0.00,0.00,3.93,4.31
2010-06-30,9.68,0.00,0.00,3.70,4.08
2010-03-31,10.32,0.00,0.00,3.58,4.44
2009-12-31,8.73,0.00,0.00,2.97,3.86
2009-09-30,9.71,0.00,0.00,3.19,4.56
2009-06-30,8.82,0.00,0.00,2.82,4.07
2009-03-31,4.90,0.00,0.00,1.55,2.31
2008-12-31,16.42,0.00,0.00,4.77,7.83
2008-09-30,17.75,0.00,0.00,5.10,8.41
2008-06-30,17.75,0.00,0.00,6.36,9.44
2008-03-31,13.14,0.00,0.00,4.60,7.23
2007-12-31,15.54,0.00,0.00,4.87,8.69
2007-09-30,12.43,0.00,0.00,3.63,6.99
2007-06-30,10.78,0.00,0.00,2.97,5.87
2007-03-31,13.66,0.00,0.00,3.61,7.21
2006-12-31,14.10,0.00,0.00,6.61,7.34
