Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,248.24,30.57,19.06,8.54,3.59
2020-08-31,238.19,30.19,20.26,8.64,3.48
2020-05-31,199.44,26.10,19.79,7.70,2.90
2020-02-29,177.79,23.18,19.54,7.12,2.59
2019-11-30,197.28,26.34,22.22,8.04,2.91
2019-08-31,193.52,26.29,20.87,8.31,2.91
2019-05-31,173.89,24.15,18.63,7.84,2.66
2019-02-28,156.31,22.75,17.25,7.27,2.41
2018-11-30,159.35,24.48,19.02,7.79,2.50
2018-08-31,162.26,25.59,19.66,9.68,2.60
2018-05-31,149.47,23.95,18.83,9.44,2.48
2018-02-28,153.16,26.92,19.93,9.35,2.64
2017-11-30,140.79,24.92,21.42,9.04,2.50
2017-08-31,123.19,22.64,18.25,8.07,2.25
2017-05-31,117.26,20.79,16.82,8.44,2.15
2017-02-28,114.22,19.04,17.04,8.50,2.13
2016-11-30,111.35,16.50,16.04,8.90,2.10
2016-08-31,106.12,16.45,16.97,8.33,2.04
2016-05-31,109.79,18.55,19.87,9.18,2.15
2016-02-29,91.64,15.94,17.66,8.04,1.84
2015-11-30,98.01,20.63,18.87,9.92,2.01
2015-08-31,85.25,17.91,15.28,8.34,1.76
2015-05-31,86.85,18.52,15.26,8.74,1.81
2015-02-28,80.56,17.10,14.33,8.04,1.69
2014-11-30,77.25,16.58,13.78,8.40,1.64
2014-08-31,71.57,15.83,15.63,7.48,1.56
2014-05-31,71.91,16.16,17.96,7.72,1.61
2014-02-28,72.73,16.53,17.58,8.32,1.68
2013-11-30,67.60,13.47,14.75,8.28,1.57
2013-08-31,62.22,12.62,15.04,7.64,1.46
2013-05-31,70.71,14.73,15.10,8.24,1.69
2013-02-28,63.37,13.72,14.95,7.27,1.52
2012-11-30,57.88,14.69,12.76,7.90,1.41
2012-08-31,51.89,13.51,9.70,7.59,1.27
2012-05-31,48.10,12.43,9.95,7.17,1.19
2012-02-29,49.63,13.16,10.02,6.87,1.25
2011-11-30,48.29,13.60,10.51,7.93,1.26
2011-08-31,44.15,12.99,10.78,7.01,1.20
2011-05-31,47.28,15.01,12.10,7.89,1.36
2011-02-28,42.08,14.26,12.27,7.30,1.28
2010-11-30,35.41,12.65,10.03,7.45,1.13
2010-08-31,29.62,11.14,7.95,6.24,0.99
2010-05-31,30.37,12.71,8.80,6.19,1.03
2010-02-28,32.07,13.70,9.12,6.61,1.12
2009-11-30,32.93,13.89,9.53,7.09,1.15
2009-08-31,25.98,10.65,7.00,5.47,0.88
2009-05-31,23.56,8.66,6.52,5.70,0.78
2009-02-28,22.98,8.27,6.34,7.45,0.73
2008-11-30,24.39,8.74,6.65,9.16,0.78
2008-08-31,32.06,12.10,10.59,9.23,1.05
2008-05-31,31.64,12.76,12.04,10.08,1.09
2008-02-29,27.32,11.98,11.25,9.71,0.99
2007-11-30,26.79,12.70,11.24,10.29,1.03
2007-08-31,31.63,16.05,11.97,11.63,1.28
2007-05-31,31.42,15.48,11.67,12.75,1.35
2007-02-28,27.46,13.39,11.03,11.11,1.24
2006-11-30,25.86,15.30,9.33,12.22,1.22
