Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,478.47,44.14,43.72,17.28,18.06
2020-08-31,513.39,64.66,50.95,21.04,20.12
2020-05-31,386.60,51.00,42.58,17.05,15.69
2020-02-29,345.12,52.29,39.27,15.93,14.52
2019-11-30,309.53,51.59,37.82,14.20,13.64
2019-08-31,284.51,50.53,37.07,13.47,13.19
2019-05-31,270.90,50.54,34.84,13.26,13.28
2019-02-28,262.50,48.61,34.17,12.99,13.65
2018-11-30,250.89,48.16,33.21,13.07,13.84
2018-08-31,263.51,54.44,37.37,14.54,15.33
2018-05-31,249.28,57.44,38.09,14.04,15.34
2018-02-28,209.13,55.62,35.74,11.94,13.59
2017-11-30,181.47,53.53,33.25,10.54,12.44
2017-08-31,155.16,48.64,30.10,9.36,11.27
2017-05-31,141.86,49.09,29.69,8.97,10.92
2017-02-28,118.34,45.17,26.52,7.72,9.68
2016-11-30,102.81,44.31,25.98,6.84,8.86
2016-08-31,102.31,52.20,28.77,6.99,9.31
2016-05-31,99.47,56.52,30.61,6.85,9.48
2016-02-29,85.15,54.24,26.21,6.02,8.50
2015-11-30,91.46,73.76,34.55,6.50,9.66
2015-08-31,78.57,83.59,31.67,5.73,8.73
2015-05-31,79.09,114.62,34.64,5.96,9.22
2015-02-28,79.10,138.77,37.78,6.00,9.43
2014-11-30,73.68,150.37,32.89,5.41,9.02
2014-08-31,71.90,149.79,33.88,5.33,8.89
2014-05-31,64.54,117.35,31.81,4.84,8.03
2014-02-28,68.63,129.49,37.20,5.18,8.68
2013-11-30,56.78,99.61,29.52,4.19,7.17
2013-08-31,45.75,51.99,21.79,3.36,5.59
2013-05-31,42.91,38.31,19.96,3.12,5.10
2013-02-28,39.31,27.68,16.16,2.89,4.53
2012-11-30,34.61,20.85,14.16,2.57,3.94
2012-08-31,31.27,19.92,12.55,2.40,3.56
2012-05-31,31.05,19.90,11.69,2.51,3.59
2012-02-29,32.89,21.08,12.72,2.72,3.90
2011-11-30,27.42,16.62,10.37,2.33,3.28
2011-08-31,25.24,13.79,10.95,2.24,3.16
2011-05-31,34.63,18.42,14.90,3.17,4.42
2011-02-28,34.50,20.18,17.24,3.21,4.55
2010-11-30,27.80,18.66,14.98,2.69,3.87
2010-08-31,27.70,30.78,15.45,2.79,4.13
2010-05-31,32.08,44.56,20.56,3.25,5.24
2010-02-28,34.65,50.96,20.89,3.52,6.09
2009-11-30,35.08,47.41,18.65,3.75,6.31
2009-08-31,31.42,24.94,15.56,3.51,5.41
2009-05-31,28.18,20.87,14.01,3.08,4.60
2009-02-28,16.70,11.06,7.80,1.90,2.60
2008-11-30,23.16,14.57,10.87,2.76,3.56
2008-08-31,42.83,28.36,19.52,5.21,6.74
2008-05-31,44.06,29.18,17.34,5.78,7.17
2008-02-29,33.65,24.74,13.62,4.77,5.86
2007-11-30,42.14,34.54,19.28,5.18,8.01
2007-08-31,42.75,37.50,21.67,5.20,8.81
2007-05-31,44.06,46.38,27.41,4.99,9.95
2007-02-28,39.25,43.61,27.33,4.52,9.29
2006-11-30,40.16,48.39,30.10,4.58,9.55
