Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,172.60,29.91,25.32,12.52,5.10
2020-12-31,176.20,30.54,25.85,12.78,5.20
2020-09-30,138.74,24.09,20.51,10.25,4.11
2020-06-30,147.07,25.80,22.07,10.99,4.37
2020-03-31,134.16,23.01,20.61,10.50,3.97
2019-12-31,166.20,29.36,26.54,13.38,5.00
2019-09-30,156.49,28.82,24.20,12.65,4.78
2019-06-30,159.50,30.44,27.54,12.83,4.95
2019-03-31,153.37,34.86,26.86,12.73,4.85
2018-12-31,125.23,30.40,21.16,11.47,4.01
2018-09-30,143.08,36.69,28.24,13.40,4.69
2018-06-30,126.79,34.74,24.34,11.75,4.24
2018-03-31,106.72,26.75,23.28,11.70,3.64
2017-12-31,109.62,28.47,28.54,12.34,3.83
2017-09-30,101.70,25.88,25.71,11.42,3.64
2017-06-30,94.82,24.69,22.64,10.61,3.46
2017-03-31,94.23,24.35,20.18,10.29,3.50
2016-12-31,94.07,25.22,21.07,11.07,3.55
2016-09-30,80.26,24.03,18.65,8.56,3.10
2016-06-30,83.11,25.57,21.87,8.45,3.28
2016-03-31,80.66,24.08,23.66,8.17,3.27
2015-12-31,75.71,23.58,20.70,8.26,3.16
2015-09-30,71.31,22.57,22.14,7.14,3.05
2015-06-30,70.80,23.21,18.32,6.87,3.09
2015-03-31,75.14,25.64,18.43,6.84,3.34
2014-12-31,72.73,24.41,19.40,6.32,3.31
2014-09-30,63.34,20.63,15.44,5.24,2.93
2014-06-30,60.10,19.14,17.47,4.33,2.84
2014-03-31,58.21,19.34,16.93,4.24,3.26
2013-12-31,60.51,20.72,19.06,4.65,3.29
2013-09-30,53.87,18.32,16.41,4.19,2.86
2013-06-30,50.95,17.63,17.03,3.97,2.63
2013-03-31,47.81,16.21,17.16,3.53,2.10
2012-12-31,41.56,14.43,14.44,3.15,1.87
2012-09-30,42.50,14.97,14.30,3.27,1.95
2012-06-30,40.05,14.20,10.70,3.17,1.86
2012-03-31,39.42,14.23,10.80,2.99,1.86
2011-12-31,38.30,14.19,11.15,3.03,1.85
2011-09-30,33.18,12.96,10.18,2.69,1.63
2011-06-30,36.81,14.66,11.93,3.01,1.86
2011-03-31,35.60,14.53,12.04,2.86,1.86
2010-12-31,31.89,13.29,10.35,2.73,1.72
2010-09-30,28.74,11.97,9.22,2.46,1.59
2010-06-30,27.29,11.37,8.69,2.45,1.54
2010-03-31,29.90,11.16,9.48,2.53,1.71
2009-12-31,28.57,10.66,10.08,2.50,1.65
2009-09-30,26.01,9.82,10.31,2.32,1.50
2009-06-30,23.26,8.84,8.22,2.19,1.33
2009-03-31,22.87,9.61,8.01,2.30,1.31
2008-12-31,25.35,10.70,7.72,2.64,1.46
2008-09-30,27.31,11.72,8.28,2.86,1.60
2008-06-30,26.60,11.32,8.81,2.67,1.61
2008-03-31,26.72,11.88,10.76,2.52,1.67
2007-12-31,27.87,12.90,12.55,2.81,1.83
2007-09-30,28.57,13.29,12.80,3.01,1.96
2007-06-30,29.99,14.63,14.87,3.12,2.14
2007-03-31,26.81,9.15,11.94,2.48,2.23
2006-12-31,27.15,9.46,7.92,2.52,2.37
