Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,235.54,122.68,37.57,747.27,14.33
2020-07-31,236.43,145.05,39.76,770.38,14.82
2020-04-30,187.13,136.59,28.48,-294.88,12.13
2020-01-31,196.85,205.05,32.16,-310.49,13.33
2019-10-31,147.36,223.27,33.52,-189.07,10.45
2019-07-31,156.17,624.68,47.16,-176.50,11.73
2019-04-30,178.21,0.00,70.98,-159.56,14.22
2019-01-31,147.20,0.00,103.91,-153.13,12.54
2018-10-31,129.25,0.00,337.38,-83.67,11.86
2018-07-31,128.44,0.00,0.00,-116.22,12.56
2018-04-30,125.90,0.00,0.00,-214.55,12.96
2018-01-31,115.62,0.00,0.00,-98.59,12.35
2017-10-31,124.96,0.00,0.00,256.54,13.90
2017-07-31,110.79,0.00,0.00,76.97,12.52
2017-04-30,90.07,0.00,0.00,39.07,9.98
2017-01-31,81.34,0.00,193.34,24.43,8.94
2016-10-31,72.28,0.00,71.28,15.17,7.36
2016-07-31,59.45,0.00,42.87,9.91,5.78
2016-04-30,59.82,0.00,32.77,9.36,5.70
2016-01-31,46.82,0.00,30.98,6.49,4.25
2015-10-31,55.19,0.00,28.54,7.18,5.02
2015-07-31,50.58,0.00,24.14,6.01,4.60
2015-04-30,56.83,183.32,26.29,5.82,5.14
2015-01-31,54.01,154.30,19.82,5.52,4.99
2014-10-31,57.54,108.57,23.62,5.77,5.47
2014-07-31,53.35,73.08,23.07,5.31,5.18
2014-04-30,48.02,55.20,21.91,4.78,4.80
2014-01-31,51.25,51.77,23.57,5.14,5.16
2013-10-31,39.90,36.94,19.60,4.16,3.99
2013-07-31,35.39,36.86,15.32,3.85,3.56
2013-04-30,39.38,40.60,15.82,4.25,3.96
2013-01-31,38.88,36.34,17.92,4.25,3.90
2012-10-31,31.85,30.05,14.26,3.55,3.22
2012-07-31,33.92,27.14,15.45,3.75,3.43
2012-04-30,39.37,31.00,17.19,4.42,4.04
2012-01-31,36.00,29.51,16.45,4.32,3.81
2011-10-31,34.60,29.57,15.65,4.29,3.77
2011-07-31,34.40,31.85,16.40,4.40,3.89
2011-04-30,44.98,43.67,21.79,5.93,5.26
2011-01-31,40.68,45.20,18.59,5.74,4.87
2010-10-31,36.20,42.59,17.85,5.29,4.49
2010-07-31,29.54,39.39,17.02,4.40,3.79
2010-04-30,33.99,61.80,23.68,5.15,4.49
2010-01-31,23.79,95.16,25.67,3.70,3.21
2009-10-31,24.93,0.00,36.40,4.00,3.29
2009-07-31,21.81,0.00,24.32,3.62,2.59
2009-04-30,19.94,86.70,12.77,3.43,2.14
2009-01-31,16.56,21.23,7.39,2.86,1.65
2008-10-31,21.31,12.92,7.68,3.44,2.06
2008-07-31,31.89,20.57,10.52,5.69,3.20
2008-04-30,38.00,24.68,13.92,7.50,4.02
2008-01-31,41.15,27.99,14.97,7.69,4.59
2007-10-31,48.90,33.49,18.41,9.58,5.73
2007-07-31,42.37,31.39,16.70,8.76,5.18
2007-04-30,41.27,31.03,15.51,7.67,5.25
2007-01-31,43.72,36.74,19.64,9.06,5.78
2006-10-31,36.75,32.52,11.92,8.49,5.08
