Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,72.33,21.15,0.00,2.07,3.10
2020-09-30,78.56,22.97,0.00,2.25,3.37
2020-06-30,69.45,20.31,0.00,2.05,2.96
2020-03-31,71.42,22.60,0.00,2.14,3.05
2019-12-31,74.86,22.35,0.00,2.25,3.13
2019-09-30,77.52,23.85,0.00,2.32,3.18
2019-06-30,72.73,22.52,0.00,2.25,2.95
2019-03-31,70.77,20.34,0.00,2.22,2.78
2018-12-31,62.77,18.91,0.00,1.97,2.45
2018-09-30,60.43,21.58,0.00,1.89,2.36
2018-06-30,57.76,22.83,0.00,1.87,2.25
2018-03-31,53.32,22.69,0.00,1.76,2.09
2017-12-31,55.07,25.61,0.00,1.82,2.17
2017-09-30,53.60,21.27,366.86,1.74,2.13
2017-06-30,50.29,17.58,194.54,1.67,1.95
2017-03-31,49.82,18.59,0.00,1.68,1.97
2016-12-31,47.49,17.66,0.00,1.59,1.90
2016-09-30,44.13,16.47,0.00,1.46,1.78
2016-06-30,47.67,18.55,0.00,1.64,1.93
2016-03-31,44.19,17.20,680.96,1.53,1.80
2015-12-31,37.79,14.59,148.50,1.29,1.51
2015-09-30,36.59,13.70,417.24,1.24,1.45
2015-06-30,32.28,13.12,0.00,1.13,1.31
2015-03-31,35.76,14.54,0.00,1.27,1.45
2014-12-31,38.71,16.06,0.00,1.37,1.56
2014-09-30,31.87,13.50,0.00,1.12,1.29
2014-06-30,33.65,14.02,0.00,1.22,1.37
2014-03-31,33.57,15.40,0.00,1.22,1.37
2013-12-31,29.16,24.72,26.51,1.06,1.22
2013-09-30,27.79,0.00,17.96,1.00,1.17
2013-06-30,27.14,0.00,13.74,1.01,1.13
2013-03-31,27.28,0.00,12.53,1.02,1.13
2012-12-31,23.65,0.00,10.72,0.85,0.99
2012-09-30,24.82,29.20,9.79,0.75,1.28
2012-06-30,25.17,51.37,8.14,0.79,1.16
2012-03-31,24.16,127.15,8.06,0.77,1.03
2011-12-31,24.27,11.34,6.28,0.73,0.95
2011-09-30,21.53,9.57,6.36,0.64,0.68
2011-06-30,20.59,55.64,5.33,0.63,0.65
2011-03-31,19.77,44.94,4.84,0.60,0.62
2010-12-31,19.58,33.76,6.32,0.60,0.61
2010-09-30,19.47,27.42,8.47,0.59,0.60
2010-06-30,16.07,6.56,8.80,0.47,0.51
2010-03-31,17.35,6.73,24.23,0.51,0.54
2009-12-31,18.32,6.52,21.59,0.54,0.55
2009-09-30,16.34,5.96,174.74,0.48,0.47
2009-06-30,15.85,5.94,0.00,0.46,0.44
2009-03-31,14.54,5.05,0.00,0.43,0.40
2008-12-31,20.45,7.10,0.00,0.60,0.54
2008-09-30,23.55,7.52,0.00,0.71,0.64
2008-06-30,25.08,7.51,0.00,0.77,0.68
2008-03-31,25.78,8.45,0.00,0.80,0.70
2007-12-31,31.26,10.49,0.00,0.96,0.86
2007-09-30,29.92,10.84,0.00,0.92,0.84
2007-06-30,27.59,9.20,0.00,0.86,0.78
2007-03-31,27.97,9.61,59.54,0.88,0.81
2006-12-31,29.51,11.09,24.46,0.93,0.88
