Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,80.32,20.75,0.00,1.93,2.67
2020-06-30,77.64,20.17,0.00,1.90,2.54
2020-03-31,77.28,20.72,0.00,1.91,2.51
2019-12-31,90.70,23.32,0.00,2.25,2.89
2019-09-30,89.21,20.65,0.00,2.20,2.80
2019-06-30,83.18,20.79,0.00,2.11,2.61
2019-03-31,78.52,18.97,0.00,2.01,2.39
2018-12-31,69.49,17.82,0.00,1.80,2.12
2018-09-30,65.31,16.45,0.00,1.69,1.99
2018-06-30,63.25,16.22,0.00,1.66,1.95
2018-03-31,62.07,17.29,0.00,1.65,1.97
2017-12-31,65.93,17.04,43.97,1.77,2.11
2017-09-30,62.43,16.34,27.90,1.70,2.00
2017-06-30,61.24,52.80,19.35,1.69,1.89
2017-03-31,58.67,41.32,17.63,1.63,1.77
2016-12-31,54.52,43.97,0.00,1.54,1.64
2016-09-30,55.09,38.26,0.00,1.56,1.67
2016-06-30,59.64,14.69,0.00,1.59,1.83
2016-03-31,56.01,14.29,0.00,1.52,1.73
2015-12-31,48.72,11.63,101.53,1.34,1.45
2015-09-30,47.05,13.00,88.39,1.30,1.41
2015-06-30,43.42,12.16,136.29,1.22,1.32
2015-03-31,45.67,13.09,55.18,1.30,1.37
2014-12-31,48.86,14.59,58.61,1.42,1.46
2014-09-30,41.63,11.34,31.15,1.21,1.26
2014-06-30,44.02,12.40,25.83,1.30,1.33
2014-03-31,39.62,11.52,26.82,1.18,1.24
2013-12-31,36.17,11.90,39.35,1.10,1.19
2013-09-30,33.20,13.95,29.82,1.03,1.06
2013-06-30,33.92,13.62,50.29,1.06,1.09
2013-03-31,36.48,14.31,31.83,1.15,1.17
2012-12-31,31.69,12.19,21.86,1.01,1.03
2012-09-30,32.26,10.11,44.13,1.02,1.06
2012-06-30,28.97,7.03,17.91,0.94,0.94
2012-03-31,27.67,6.75,14.47,0.90,0.89
2011-12-31,29.28,7.27,11.55,0.97,0.93
2011-09-30,26.63,7.08,7.44,0.88,0.85
2011-06-30,26.04,8.71,8.70,0.90,0.84
2011-03-31,23.98,9.44,9.80,0.84,0.79
2010-12-31,24.24,9.58,33.31,0.86,0.81
2010-09-30,24.11,9.06,87.74,0.85,0.80
2010-06-30,21.25,8.74,0.00,0.77,0.73
2010-03-31,22.19,7.87,0.00,0.80,0.77
2009-12-31,22.31,7.46,0.00,0.81,0.75
2009-09-30,19.62,6.83,0.00,0.72,0.64
2009-06-30,18.05,6.29,0.00,0.67,0.54
2009-03-31,15.53,5.36,0.00,0.58,0.44
2008-12-31,20.22,5.88,0.00,0.77,0.56
2008-09-30,22.18,6.09,0.00,0.82,0.62
2008-06-30,23.85,6.39,0.00,0.90,0.68
2008-03-31,24.45,7.03,0.00,0.94,0.72
2007-12-31,27.09,9.92,0.00,1.08,0.81
2007-09-30,26.58,10.18,0.00,1.07,0.81
2007-06-30,25.77,11.40,0.00,1.12,0.79
2007-03-31,27.67,11.58,0.00,1.15,0.87
2006-12-31,23.96,8.94,0.00,1.01,0.75
