Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,28.31,0.00,30.35,4.62,1.98
2020-09-30,17.87,0.00,19.16,2.92,1.25
2020-06-30,14.16,47.21,0.00,2.03,0.98
2020-03-31,13.15,29.89,0.00,1.85,0.89
2019-12-31,19.11,42.46,208.83,2.43,1.25
2019-09-30,15.57,20.48,36.01,1.92,1.00
2019-06-30,15.84,26.84,42.43,1.92,1.00
2019-03-31,16.95,16.78,29.10,1.99,1.06
2018-12-31,13.44,7.43,40.27,1.59,0.83
2018-09-30,12.90,0.00,26.88,1.50,0.80
2018-06-30,12.24,0.00,19.10,1.43,0.76
2018-03-31,10.27,0.00,60.19,1.23,0.64
2017-12-31,9.67,0.00,19.52,1.32,0.61
2017-09-30,9.73,0.00,25.22,1.04,0.79
2017-06-30,9.71,0.00,22.61,1.06,0.72
2017-03-31,9.67,0.00,8.11,1.04,0.67
2016-12-31,9.94,0.00,11.88,1.15,0.64
2016-09-30,10.89,0.00,17.10,1.24,0.71
2016-06-30,10.48,0.00,14.10,1.22,0.69
2016-03-31,9.81,23.36,0.00,1.05,0.63
2015-12-31,7.87,18.30,0.00,0.85,0.49
2015-09-30,7.98,9.38,0.00,0.83,0.39
2015-06-30,10.72,8.51,0.00,1.03,0.51
2015-03-31,10.31,7.69,0.00,1.03,0.47
2014-12-31,10.96,10.34,0.00,1.05,0.50
2014-09-30,11.24,22.95,0.00,1.06,0.49
2014-06-30,12.29,0.00,0.00,1.18,0.55
2014-03-31,11.25,0.00,26.26,1.07,0.52
2013-12-31,11.39,81.33,11.72,1.08,0.54
2013-09-30,10.40,16.00,7.47,0.97,0.48
2013-06-30,9.35,0.00,6.09,0.89,0.42
2013-03-31,9.78,0.00,6.69,0.94,0.44
2012-12-31,8.29,0.00,7.46,0.82,0.37
2012-09-30,8.47,0.00,11.51,0.80,0.40
2012-06-30,9.90,55.02,17.71,0.78,0.48
2012-03-31,10.09,45.86,15.69,0.74,0.48
2011-12-31,9.14,152.33,12.53,0.72,0.45
2011-09-30,7.53,0.00,6.67,0.59,0.36
2011-06-30,9.83,109.27,7.98,0.71,0.48
2011-03-31,10.04,200.70,7.68,0.71,0.51
2010-12-31,9.40,235.05,6.18,0.71,0.47
2010-09-30,8.76,16.85,17.57,0.65,0.44
2010-06-30,7.13,10.81,12.98,0.53,0.35
2010-03-31,8.49,9.13,60.83,0.64,0.42
2009-12-31,10.27,10.38,0.00,0.77,0.53
2009-09-30,11.44,11.56,0.00,0.89,0.60
2009-06-30,8.96,9.64,0.00,0.73,0.45
2009-03-31,3.99,2.23,0.00,0.35,0.19
2008-12-31,5.65,3.14,0.00,0.53,0.25
2008-09-30,8.02,4.27,0.00,1.26,0.35
2008-06-30,13.18,7.28,0.00,2.07,0.61
2008-03-31,11.44,13.30,0.00,2.31,0.56
2007-12-31,14.68,0.00,0.00,3.11,0.77
2007-09-30,13.75,0.00,60.27,2.88,0.73
2007-06-30,15.02,0.00,19.90,3.28,0.83
2007-03-31,14.77,0.00,12.85,3.87,0.84
2006-12-31,15.13,45.83,11.15,3.38,0.88
