Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,42.58,0.00,17.79,0.57,0.81
2020-09-30,27.30,0.00,11.41,0.36,0.52
2020-06-30,30.60,0.00,15.96,0.42,0.56
2020-03-31,23.57,4.74,444.67,0.33,0.40
2019-12-31,49.33,13.19,0.00,0.64,0.88
2019-09-30,53.19,26.46,0.00,0.69,0.94
2019-06-30,50.60,0.00,0.00,0.67,0.92
2019-03-31,40.65,0.00,0.00,0.57,0.76
2018-12-31,36.93,0.00,551.20,0.56,0.71
2018-09-30,49.46,0.00,37.79,0.74,0.96
2018-06-30,48.96,0.00,64.69,0.71,0.94
2018-03-31,49.96,0.00,57.68,0.71,0.95
2017-12-31,54.38,0.00,0.00,0.74,1.04
2017-09-30,55.73,0.00,0.00,0.69,1.10
2017-06-30,56.46,0.00,0.00,0.69,1.14
2017-03-31,56.09,180.95,0.00,0.71,1.14
2016-12-31,58.39,0.00,18.19,0.76,1.25
2016-09-30,52.79,119.97,26.40,0.62,1.17
2016-06-30,46.79,0.00,20.38,0.56,1.08
2016-03-31,47.55,0.00,45.76,0.60,1.13
2015-12-31,54.18,38.15,25.13,0.72,1.25
2015-09-30,49.45,14.63,22.64,0.62,1.13
2015-06-30,53.55,10.54,19.83,0.67,1.18
2015-03-31,47.36,8.08,14.70,0.59,1.06
2014-12-31,48.30,9.34,13.96,0.62,1.09
2014-09-30,46.48,7.68,10.75,0.60,1.02
2014-06-30,46.86,7.82,11.86,0.62,1.05
2014-03-31,42.84,7.48,9.36,0.59,0.93
2013-12-31,43.62,7.12,11.02,0.63,0.94
2013-09-30,41.47,19.65,13.34,0.61,0.88
2013-06-30,38.04,21.37,15.99,0.57,0.82
2013-03-31,33.03,26.01,16.29,0.49,0.76
2012-12-31,30.04,20.16,13.79,0.45,0.73
2012-09-30,27.90,1.91,12.05,0.40,0.72
2012-06-30,27.31,2.41,9.72,0.45,0.77
2012-03-31,26.24,2.39,7.68,0.45,0.74
2011-12-31,19.74,2.21,0.00,0.37,0.53
2011-09-30,18.68,1.24,1.95,0.41,0.13
2011-06-30,24.95,0.00,0.52,0.51,0.09
2011-03-31,29.90,0.00,0.32,0.63,0.07
2010-12-31,41.15,0.00,0.34,0.05,0.08
2010-09-30,27.92,0.00,0.17,0.03,0.05
2010-06-30,24.59,0.00,0.16,0.03,0.04
2010-03-31,24.38,0.00,0.18,0.03,0.04
2009-12-31,21.41,0.00,0.16,0.03,0.04
2009-09-30,31.50,0.00,0.32,0.06,0.30
2009-06-30,16.57,0.00,0.00,0.04,0.00
2009-03-31,14.28,0.00,0.00,0.04,0.00
2008-12-31,22.42,0.00,0.00,0.05,0.00
2008-09-30,47.56,0.00,0.97,0.09,0.13
2008-06-30,374.27,0.00,1.53,0.64,0.64
2008-03-31,608.35,0.00,2.53,0.95,0.90
2007-12-31,816.38,17.49,3.32,1.08,1.03
2007-09-30,944.06,8.25,5.18,1.16,1.01
2007-06-30,974.30,7.93,10.61,1.20,1.05
2007-03-31,933.07,8.16,21.21,1.18,1.05
2006-12-31,992.26,9.26,0.00,1.27,1.15
