Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,123.31,26.46,7.32,1.23,0.76
2020-09-30,120.07,18.08,7.13,1.19,0.74
2020-06-30,101.71,16.25,6.96,1.01,0.63
2020-03-31,101.87,18.00,6.60,1.13,0.63
2019-12-31,127.71,22.21,6.09,1.35,0.81
2019-09-30,122.00,29.83,5.76,1.30,0.79
2019-06-30,102.63,17.67,5.86,1.09,0.68
2019-03-31,91.03,19.41,6.24,1.03,0.63
2018-12-31,85.26,20.64,8.84,1.03,0.62
2018-09-30,102.28,10.69,11.09,1.22,0.80
2018-06-30,97.53,12.57,8.23,1.15,0.80
2018-03-31,85.65,9.70,12.11,1.00,0.72
2017-12-31,93.89,9.99,10.50,1.15,0.81
2017-09-30,88.43,21.16,10.38,1.15,0.78
2017-06-30,95.48,12.56,16.65,1.22,0.83
2017-03-31,87.63,10.77,14.28,1.16,0.77
2016-12-31,84.60,9.45,223.93,1.15,0.71
2016-09-30,83.53,8.91,0.00,1.08,0.65
2016-06-30,77.71,11.25,0.00,1.02,0.57
2016-03-31,69.06,14.76,0.00,0.95,0.48
2015-12-31,71.61,34.93,42.97,1.04,0.48
2015-09-30,69.83,39.45,15.33,1.00,0.47
2015-06-30,58.98,15.56,21.94,0.82,0.40
2015-03-31,53.82,10.21,0.00,0.72,0.37
2014-12-31,59.71,9.30,14.08,0.80,0.42
2014-09-30,55.88,7.77,5.71,0.74,0.41
2014-06-30,56.73,8.16,4.54,0.76,0.44
2014-03-31,56.00,8.36,4.11,0.79,0.46
2013-12-31,56.99,9.05,4.53,0.85,0.49
2013-09-30,46.09,8.95,3.96,0.71,0.42
2013-06-30,43.18,8.65,4.98,0.68,0.41
2013-03-31,37.98,7.26,4.82,0.57,0.37
2012-12-31,29.13,5.22,3.97,0.44,0.30
2012-09-30,31.13,4.45,3.85,0.47,0.33
2012-06-30,28.89,4.61,4.03,0.47,0.32
2012-03-31,33.38,5.55,5.03,0.58,0.38
2011-12-31,33.70,6.03,4.00,0.61,0.40
2011-09-30,29.24,13.79,5.27,0.54,0.36
2011-06-30,29.46,11.20,5.94,0.57,0.37
2011-03-31,31.13,12.92,5.98,0.64,0.40
2010-12-31,31.02,13.14,7.06,0.66,0.41
2010-09-30,32.62,7.77,7.69,0.65,0.43
2010-06-30,27.69,6.72,4.54,0.59,0.37
2010-03-31,27.31,6.37,5.35,0.62,0.37
2009-12-31,23.30,6.42,12.81,0.56,0.32
2009-09-30,25.22,4.96,8.93,0.60,0.34
2009-06-30,18.85,6.48,6.62,0.51,0.26
2009-03-31,16.93,5.90,8.79,0.54,0.24
2008-12-31,23.17,6.16,2.92,0.73,0.32
2008-09-30,42.02,13.05,4.49,1.32,0.59
2008-06-30,50.27,8.77,5.67,1.40,0.69
2008-03-31,46.29,8.42,3.91,1.30,0.65
2007-12-31,50.78,9.44,5.39,1.46,0.73
2007-09-30,40.54,6.35,4.05,1.22,0.59
2007-06-30,44.54,7.42,4.60,1.40,0.67
2007-03-31,40.46,6.98,4.60,1.25,0.63
2006-12-31,41.61,7.46,5.27,1.33,0.67
