Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,110.54,32.42,36.12,4.38,5.83
2020-06-30,107.09,32.45,36.73,4.46,5.79
2020-03-31,91.49,30.40,31.00,4.04,5.10
2019-12-31,86.38,29.68,28.65,3.83,4.92
2019-09-30,91.38,33.23,29.56,4.22,5.35
2019-06-30,80.14,31.43,22.43,3.86,4.78
2019-03-31,71.71,33.99,22.31,3.57,4.39
2018-12-31,61.08,34.51,17.15,3.12,3.83
2018-09-30,73.15,55.84,23.63,3.80,4.71
2018-06-30,73.23,71.79,30.23,3.60,4.82
2018-03-31,70.98,64.53,29.56,3.58,4.78
2017-12-31,65.04,52.03,29.09,3.29,4.53
2017-09-30,48.72,29.35,20.91,2.53,3.45
2017-06-30,49.81,28.63,18.98,2.61,3.61
2017-03-31,59.70,32.62,21.08,3.17,4.41
2016-12-31,66.68,37.25,21.15,3.58,5.01
2016-09-30,52.99,30.11,15.23,2.90,4.08
2016-06-30,55.93,30.73,20.20,3.11,4.40
2016-03-31,55.57,31.40,20.19,3.14,4.46
2015-12-31,52.63,29.57,27.25,2.99,4.32
2015-09-30,69.06,37.74,44.06,3.99,5.79
2015-06-30,69.82,37.95,37.71,4.10,6.01
2015-03-31,71.05,37.99,43.34,4.26,6.31
2014-12-31,62.96,34.22,33.61,3.81,5.81
2014-09-30,59.80,34.37,31.41,3.74,5.82
2014-06-30,61.06,36.35,32.49,3.93,6.30
2014-03-31,58.21,35.93,38.32,3.83,6.36
2013-12-31,47.18,29.30,28.23,3.20,5.43
2013-09-30,51.70,33.35,32.97,3.63,6.18
2013-06-30,42.55,30.83,29.35,3.10,5.25
2013-03-31,35.32,27.59,21.93,2.63,4.51
2012-12-31,40.91,36.20,24.06,3.10,5.41
2012-09-30,38.26,35.43,22.84,3.00,5.31
2012-06-30,31.75,30.53,19.33,2.55,4.66
2012-03-31,36.70,34.95,24.63,2.99,5.69
2011-12-31,32.28,30.17,22.39,2.66,5.26
2011-09-30,19.88,19.68,15.31,1.68,3.36
2011-06-30,31.47,31.79,24.06,2.63,5.50
2011-03-31,38.00,40.43,36.28,3.21,6.85
2010-12-31,47.05,52.28,42.59,4.03,8.75
2010-09-30,50.18,59.74,39.12,4.50,9.75
2010-06-30,40.57,50.09,31.54,3.73,8.25
2010-03-31,31.42,39.28,19.68,3.03,6.67
2009-12-31,25.34,32.49,15.11,2.50,5.56
2009-09-30,19.68,24.91,12.59,1.98,4.44
2009-06-30,19.18,24.28,13.08,1.97,4.37
2009-03-31,19.40,24.87,15.42,2.05,4.47
2008-12-31,15.09,19.35,12.35,1.63,3.57
2008-09-30,17.44,23.25,15.41,1.96,4.27
2008-06-30,34.79,49.70,31.08,4.02,8.92
2008-03-31,28.16,44.00,29.86,3.37,7.63
2007-12-31,34.60,62.91,46.92,4.23,10.05
2007-09-30,28.73,59.85,64.94,3.74,9.08
2007-06-30,48.64,113.12,146.24,6.53,16.64
2007-03-31,49.92,134.92,132.27,7.05,18.67
2006-12-31,53.12,160.97,148.13,8.92,21.80
