Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,89.04,24.87,0.00,2.19,2.93
2020-06-30,76.71,18.62,0.00,1.94,2.42
2020-03-31,55.71,11.68,0.00,1.47,1.69
2019-12-31,71.76,14.30,0.00,1.86,2.13
2019-09-30,67.94,12.63,0.00,1.80,2.07
2019-06-30,68.45,13.37,0.00,1.82,2.16
2019-03-31,79.29,12.39,0.00,2.17,2.55
2018-12-31,74.22,11.74,0.00,2.09,2.42
2018-09-30,95.73,30.29,0.00,2.76,3.20
2018-06-30,90.20,29.87,125.31,2.55,3.06
2018-03-31,88.36,73.03,0.00,2.48,3.12
2017-12-31,121.45,253.01,0.00,3.52,4.44
2017-09-30,129.12,16.70,129.75,3.53,5.00
2017-06-30,99.72,12.78,48.74,2.82,4.01
2017-03-31,99.53,24.28,24.92,2.91,4.11
2016-12-31,80.85,14.26,16.99,2.31,3.42
2016-09-30,80.03,41.68,30.81,2.61,3.59
2016-06-30,73.95,53.98,31.36,2.51,3.26
2016-03-31,59.38,12.88,25.70,1.80,2.57
2015-12-31,51.76,17.31,43.36,1.71,2.03
2015-09-30,40.51,33.76,24.05,1.39,1.43
2015-06-30,50.42,32.53,26.84,1.71,1.67
2015-03-31,47.97,35.01,15.17,1.66,1.52
2014-12-31,54.29,32.32,11.24,2.85,1.76
2014-09-30,52.93,13.82,9.52,2.61,1.75
2014-06-30,63.98,15.96,11.56,3.08,2.18
2014-03-31,59.21,12.57,13.54,2.73,2.08
2013-12-31,56.27,11.39,17.10,2.58,2.00
2013-09-30,55.67,16.14,15.61,2.87,2.11
2013-06-30,54.89,15.96,21.43,3.05,2.07
2013-03-31,54.88,19.06,26.98,2.54,2.01
2012-12-31,54.33,17.30,23.49,2.50,1.94
2012-09-30,45.92,11.99,18.53,2.16,1.50
2012-06-30,51.80,12.92,17.02,2.58,1.66
2012-03-31,55.32,11.48,14.37,2.73,1.75
2011-12-31,44.44,9.32,13.70,2.35,1.42
2011-09-30,34.74,7.58,16.82,1.85,1.16
2011-06-30,59.28,13.72,23.40,3.02,2.08
2011-03-31,51.07,12.83,17.54,2.82,1.90
2010-12-31,47.52,13.50,17.12,2.95,1.85
2010-09-30,39.78,12.13,11.89,2.53,1.58
2010-06-30,33.63,11.88,9.95,2.46,1.38
2010-03-31,35.99,15.25,11.33,2.65,1.58
2009-12-31,30.60,15.69,10.93,2.23,1.40
2009-09-30,29.01,20.57,8.80,2.14,1.36
2009-06-30,21.36,14.73,9.00,1.70,0.93
2009-03-31,18.11,10.65,8.57,1.55,0.73
2008-12-31,18.42,8.77,7.32,1.50,0.69
2008-09-30,25.31,9.89,13.86,1.84,0.93
2008-06-30,32.65,12.75,18.14,2.28,1.26
2008-03-31,29.79,12.21,16.93,2.18,1.19
2007-12-31,33.54,14.21,22.13,2.49,1.40
2007-09-30,35.85,14.91,16.33,2.82,1.50
2007-06-30,31.17,17.12,13.20,2.68,1.29
2007-03-31,33.35,19.45,13.40,2.94,1.38
2006-12-31,28.89,19.65,10.15,2.67,1.18
