Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,62.28,0.00,62.93,2.23,2.17
2020-09-30,36.63,0.00,37.01,1.31,0.91
2020-06-30,36.26,78.83,8.66,1.16,0.67
2020-03-31,28.47,6.62,5.65,0.87,0.41
2019-12-31,67.37,10.87,7.85,1.91,0.95
2019-09-30,64.22,13.03,11.33,1.86,0.92
2019-06-30,62.87,15.41,11.51,1.95,0.92
2019-03-31,54.90,15.55,12.07,1.81,0.82
2018-12-31,59.21,16.77,26.03,1.94,0.89
2018-09-30,66.69,10.57,14.76,2.17,1.01
2018-06-30,58.21,8.69,19.24,2.00,0.90
2018-03-31,59.39,7.90,15.99,2.13,0.92
2017-12-31,70.12,8.47,13.53,2.49,1.10
2017-09-30,72.42,11.62,17.01,2.56,1.21
2017-06-30,84.91,13.78,14.64,3.21,1.52
2017-03-31,86.93,14.78,19.16,3.57,1.71
2016-12-31,83.38,12.73,14.55,3.51,1.75
2016-09-30,61.66,8.64,8.23,2.65,1.34
2016-06-30,54.35,7.54,6.60,2.55,1.20
2016-03-31,76.15,11.04,9.92,3.84,1.72
2015-12-31,74.47,11.35,11.95,3.87,1.73
2015-09-30,73.29,11.90,16.63,3.93,1.75
2015-06-30,59.29,10.84,20.10,3.42,1.45
2015-03-31,60.72,12.47,19.43,3.66,1.52
2014-12-31,54.66,12.34,22.25,3.38,1.40
2014-09-30,39.73,10.24,17.12,2.38,1.05
2014-06-30,43.25,12.54,16.70,2.69,1.13
2014-03-31,42.35,14.14,12.78,2.78,1.14
2013-12-31,33.20,12.92,11.43,2.25,0.91
2013-09-30,28.26,12.21,10.73,2.18,0.79
2013-06-30,23.39,9.63,8.74,2.12,0.70
2013-03-31,28.77,13.32,15.67,2.77,0.87
2012-12-31,19.38,8.87,11.31,1.92,0.60
2012-09-30,15.77,6.80,7.73,1.54,0.50
2012-06-30,16.15,9.42,6.01,1.78,0.52
2012-03-31,16.11,11.15,5.10,1.88,0.54
2011-12-31,16.89,10.13,7.52,2.04,0.57
2011-09-30,12.66,7.60,5.21,1.43,0.44
2011-06-30,15.40,7.84,7.74,1.84,0.55
2011-03-31,14.26,6.57,6.99,1.75,0.53
2010-12-31,12.75,7.48,4.96,1.66,0.49
2010-09-30,11.48,8.00,6.90,1.54,0.45
2010-06-30,10.11,8.29,5.77,1.54,0.40
2010-03-31,9.27,9.09,14.07,1.50,0.38
2009-12-31,7.77,9.14,0.00,1.27,0.33
2009-09-30,6.03,37.08,0.00,1.10,0.26
2009-06-30,4.11,0.00,0.00,0.85,0.17
2009-03-31,3.95,0.00,0.00,0.88,0.16
2008-12-31,6.58,0.00,0.00,1.44,0.26
2008-09-30,4.59,0.00,0.00,0.72,0.19
2008-06-30,3.45,4.50,0.00,0.49,0.15
2008-03-31,4.41,7.18,0.00,0.67,0.20
2007-12-31,5.63,7.10,0.00,0.83,0.26
2007-09-30,5.19,7.72,0.00,0.82,0.24
2007-06-30,6.27,179.03,0.00,1.08,0.29
2007-03-31,8.57,87.89,0.00,1.56,0.40
2006-12-31,8.88,0.00,0.00,1.62,0.40
