Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,105.08,11.64,6.65,1.17,0.74
2020-09-30,93.65,6.57,5.93,1.04,0.68
2020-06-30,95.94,7.19,5.64,1.11,0.71
2020-03-31,90.24,7.56,5.94,1.18,0.68
2019-12-31,110.06,7.82,7.82,1.35,0.83
2019-09-30,105.90,13.34,7.36,1.32,0.84
2019-06-30,98.60,12.91,7.07,1.33,0.81
2019-03-31,90.85,12.98,6.41,1.29,0.77
2018-12-31,79.28,13.46,5.72,1.24,0.71
2018-09-30,94.70,9.33,7.26,1.38,0.84
2018-06-30,87.17,9.16,6.61,1.31,0.79
2018-03-31,90.11,9.78,8.69,1.36,0.83
2017-12-31,99.03,11.83,9.07,1.56,0.93
2017-09-30,86.61,12.03,7.78,1.41,0.81
2017-06-30,83.00,12.26,8.52,1.39,0.80
2017-03-31,76.15,12.86,7.52,1.31,0.75
2016-12-31,68.95,14.67,7.07,1.23,0.70
2016-09-30,64.06,17.31,7.28,1.13,0.69
2016-06-30,64.47,16.40,7.51,1.16,0.71
2016-03-31,61.79,15.14,7.12,1.14,0.70
2015-12-31,56.65,11.24,6.96,1.08,0.65
2015-09-30,52.89,9.25,7.15,1.01,0.62
2015-06-30,58.61,9.90,8.23,1.11,0.70
2015-03-31,64.02,9.82,9.14,1.18,0.78
2014-12-31,62.92,10.00,9.35,1.18,0.79
2014-09-30,54.74,8.84,7.09,1.03,0.70
2014-06-30,52.14,10.20,6.65,0.99,0.69
2014-03-31,50.00,10.78,6.18,0.98,0.67
2013-12-31,47.95,9.97,5.59,1.00,0.66
2013-09-30,44.24,11.46,6.36,0.97,0.62
2013-06-30,41.89,8.95,7.69,0.98,0.60
2013-03-31,42.50,9.20,7.69,0.96,0.62
2012-12-31,34.60,7.39,6.16,0.81,0.51
2012-09-30,33.94,6.40,6.45,0.79,0.52
2012-06-30,29.89,7.22,6.84,0.75,0.46
2012-03-31,27.86,13.33,8.06,0.71,0.44
2011-12-31,23.03,15.05,7.16,0.63,0.37
2011-09-30,19.74,30.37,4.84,0.55,0.32
2011-06-30,25.24,24.99,5.07,0.69,0.42
2011-03-31,26.10,10.57,4.32,0.71,0.44
2010-12-31,26.01,15.12,4.00,0.73,0.45
2010-09-30,25.57,12.00,3.80,0.71,0.44
2010-06-30,23.12,12.43,3.33,0.69,0.40
2010-03-31,25.82,11.18,3.91,0.79,0.44
2009-12-31,23.86,15.10,3.14,0.77,0.40
2009-09-30,24.15,0.00,3.69,0.74,0.43
2009-06-30,19.12,0.00,2.72,0.68,0.34
2009-03-31,14.88,0.00,2.00,0.65,0.28
2008-12-31,25.13,0.00,3.81,1.06,0.47
2008-09-30,34.80,108.74,4.23,1.10,0.62
2008-06-30,34.09,9.14,3.97,0.94,0.59
2008-03-31,35.64,5.96,4.35,0.97,0.59
2007-12-31,38.40,4.95,4.45,0.99,0.63
2007-09-30,41.74,5.02,4.76,1.11,0.69
2007-06-30,44.58,5.28,5.16,1.22,0.76
2007-03-31,43.27,5.38,4.92,1.18,0.76
2006-12-31,46.60,5.94,6.07,1.33,0.83
