Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,98.63,30.44,20.56,11.00,3.39
2020-06-30,101.61,33.20,21.27,13.78,3.48
2020-03-31,91.18,26.66,18.43,13.70,2.98
2019-12-31,123.00,28.87,27.45,15.00,4.07
2019-09-30,102.15,21.32,23.58,13.83,3.41
2019-06-30,108.66,23.62,26.70,15.30,3.70
2019-03-31,88.93,19.21,21.15,13.13,3.06
2018-12-31,77.91,17.16,18.24,11.27,2.73
2018-09-30,88.31,27.17,21.72,14.01,3.19
2018-06-30,75.25,25.25,20.44,14.05,2.83
2018-03-31,82.75,28.63,24.24,17.04,3.21
2017-12-31,77.00,27.02,24.81,18.05,3.07
2017-09-30,83.53,23.73,25.22,21.33,3.41
2017-06-30,78.21,30.08,25.83,27.57,3.24
2017-03-31,72.83,29.37,23.99,44.76,3.08
2016-12-31,61.45,25.93,17.77,50.30,2.66
2016-09-30,66.04,28.22,23.28,40.78,2.89
2016-06-30,66.42,32.56,22.02,45.02,2.95
2016-03-31,60.84,35.37,26.93,74.96,2.78
2015-12-31,62.83,39.52,27.41,203.07,2.93
2015-09-30,54.87,44.98,31.04,187.99,2.53
2015-06-30,57.14,26.95,30.55,75.30,2.64
2015-03-31,58.02,30.38,26.86,3695.73,2.67
2014-12-31,52.52,29.01,24.91,271.96,2.41
2014-09-30,45.04,29.25,11.52,718.41,2.08
