Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,156.24,57.87,11.98,2.94,5.70
2020-09-30,114.43,26.74,9.67,2.26,4.33
2020-06-30,112.24,30.01,10.54,2.33,4.52
2020-03-31,89.79,8.45,9.70,1.69,3.80
2019-12-31,108.15,10.08,12.60,2.12,4.88
2019-09-30,97.94,15.00,14.81,2.09,4.65
2019-06-30,130.98,22.13,23.16,2.89,6.55
2019-03-31,135.18,73.87,81.66,3.12,6.99
2018-12-31,97.36,295.03,102.61,2.37,5.28
2018-09-30,139.01,210.62,91.84,3.38,7.96
2018-06-30,124.15,0.00,164.72,3.15,7.43
2018-03-31,111.46,48.04,33.05,2.72,6.94
2017-12-31,119.59,61.02,35.55,2.99,7.59
2017-09-30,140.29,62.63,36.57,3.50,9.12
2017-06-30,121.67,52.67,31.10,3.07,8.06
2017-03-31,121.24,58.01,31.27,3.07,8.43
2016-12-31,122.35,69.91,36.74,3.15,8.98
2016-09-30,122.54,75.18,45.68,3.23,9.28
2016-06-30,116.76,291.90,48.48,3.19,9.26
2016-03-31,139.22,193.36,56.72,3.87,11.24
2015-12-31,190.75,250.99,105.90,5.20,15.54
2015-09-30,156.20,126.99,66.05,4.28,13.02
2015-06-30,180.77,61.91,59.04,4.78,15.31
2015-03-31,173.30,59.35,67.61,9.84,15.42
2014-12-31,185.03,56.76,74.31,11.15,16.70
2014-09-30,165.82,69.09,70.35,10.53,16.07
2014-06-30,156.25,78.52,88.81,10.73,16.33
2014-03-31,152.13,92.76,80.25,11.16,17.13
2013-12-31,132.88,105.46,56.70,10.99,17.09
2013-09-30,116.16,66.00,62.76,9.67,16.18
2013-06-30,92.24,52.71,50.73,8.14,13.90
2013-03-31,92.14,63.54,49.51,8.60,14.92
2012-12-31,93.74,73.81,47.86,9.26,16.36
2012-09-30,114.40,102.14,60.58,11.87,21.58
2012-06-30,99.30,99.30,62.09,10.95,20.26
2012-03-31,92.86,92.86,62.72,14.31,20.74
2011-12-31,71.50,78.57,55.28,11.69,17.47
2011-09-30,64.06,80.08,57.88,11.22,17.11
2011-06-30,47.03,77.10,49.44,9.09,13.66
2011-03-31,49.34,89.71,61.07,10.12,15.66
2010-12-31,40.28,76.71,50.62,8.54,13.81
2010-09-30,32.18,19.15,47.86,7.21,11.96
2010-06-30,25.60,15.28,40.58,5.85,10.27
2010-03-31,27.19,16.48,56.02,6.59,11.69
2009-12-31,24.41,15.11,56.28,6.31,11.43
2009-09-30,22.27,54.99,54.89,9.22,11.40
2009-06-30,20.56,54.81,68.63,9.36,11.32
2009-03-31,18.83,63.83,73.76,11.27,11.20
2008-12-31,18.10,96.51,241.91,11.94,11.77
2008-09-30,19.65,982.50,0.00,17.62,14.66
2008-06-30,18.13,0.00,0.00,22.04,17.02
2008-03-31,14.83,0.00,0.00,20.96,19.62
2007-12-31,18.76,0.00,0.00,27.96,37.80
2007-09-30,16.29,0.00,0.00,26.27,61.56
2007-06-30,11.27,0.00,0.00,17.20,97.16
2007-03-31,10.81,0.00,0.00,14.39,212.12
2006-12-31,10.10,0.00,0.00,11.50,807.99
