Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,88.64,43.45,137.70,18.39,11.04
2020-12-31,91.71,44.96,142.47,19.03,11.43
2020-09-30,81.99,110.80,136.24,25.49,11.33
2020-06-30,52.61,99.26,96.41,18.69,8.04
2020-03-31,45.48,105.77,113.76,17.54,7.16
2019-12-31,45.86,152.87,186.12,18.98,7.57
2019-09-30,28.99,152.58,0.00,14.84,5.28
2019-06-30,30.37,178.65,0.00,17.35,5.61
2019-03-31,25.52,102.08,0.00,15.44,4.59
2018-12-31,18.46,57.69,0.00,14.65,3.08
2018-09-30,30.89,90.85,466.62,27.43,5.10
2018-06-30,14.99,46.84,130.01,16.63,2.48
2018-03-31,10.05,52.89,112.29,13.62,1.75
2017-12-31,10.28,342.67,0.00,16.68,1.90
2017-09-30,12.75,0.00,0.00,23.66,2.37
2017-06-30,12.48,0.00,0.00,28.34,2.29
2017-03-31,14.55,0.00,0.00,33.51,2.65
2016-12-31,11.34,0.00,0.00,25.49,2.15
2016-09-30,6.91,0.00,0.00,16.62,1.35
2016-06-30,5.14,0.00,0.00,-9.89,1.05
2016-03-31,2.85,0.00,0.00,-4.49,0.59
2015-12-31,2.87,0.00,0.00,-5.52,0.56
2015-09-30,1.72,0.00,0.00,-4.03,0.31
2015-06-30,2.40,0.00,0.00,-13.26,0.40
2015-03-31,2.68,0.00,0.00,122.37,0.40
2014-12-31,2.67,0.00,0.00,11.08,0.37
2014-09-30,3.41,56.83,0.00,4.94,0.45
2014-06-30,4.19,41.90,0.00,6.40,0.54
2014-03-31,4.01,80.20,0.00,5.98,0.54
2013-12-31,3.87,0.00,0.00,5.16,0.55
2013-09-30,3.81,0.00,0.00,6.35,0.59
2013-06-30,4.08,0.00,0.00,8.18,0.65
2013-03-31,2.55,0.00,0.00,4.39,0.39
2012-12-31,2.40,0.00,0.00,3.18,0.33
2012-09-30,3.37,0.00,51.93,2.43,0.42
2012-06-30,5.73,0.00,12.01,3.63,0.67
2012-03-31,8.02,0.00,14.31,5.34,0.91
2011-12-31,5.40,8.31,27.07,2.37,0.61
2011-09-30,5.08,3.65,0.00,2.03,0.58
2011-06-30,6.99,6.41,0.00,2.94,0.80
2011-03-31,8.60,9.05,0.00,3.79,0.96
2010-12-31,8.18,13.19,0.00,5.52,0.92
2010-09-30,7.11,4.34,7.30,7.89,0.78
2010-06-30,7.32,4.49,8.23,6.56,0.83
2010-03-31,9.27,7.79,12.60,7.84,1.12
2009-12-31,9.68,53.78,939.81,10.02,1.20
2009-09-30,5.66,0.00,0.00,-6.66,0.75
2009-06-30,3.87,0.00,0.00,-5.56,0.45
2009-03-31,3.05,0.00,0.00,-12.48,0.34
2008-12-31,2.16,0.00,0.00,10.36,0.23
2008-09-30,5.25,0.00,0.00,2.38,0.49
2008-06-30,5.83,0.00,0.00,2.40,0.55
2008-03-31,5.89,0.00,0.00,1.35,0.55
2007-12-31,7.50,0.00,0.00,1.52,0.71
2007-09-30,13.20,0.00,0.00,1.78,1.20
2007-06-30,14.30,0.00,0.00,1.77,1.32
2007-03-31,13.06,0.00,0.00,1.38,1.20
2006-12-31,20.35,0.00,0.00,1.92,1.79
