Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,3256.93,117.66,53.55,17.54,4.30
2020-09-30,3148.73,92.20,54.19,19.10,4.60
2020-06-30,2758.82,106.07,43.82,18.75,4.34
2020-03-31,1949.72,93.15,40.36,14.91,3.32
2019-12-31,1847.84,80.31,36.06,14.83,3.32
2019-09-30,1735.91,76.88,37.10,15.21,3.28
2019-06-30,1893.63,78.57,37.90,17.63,3.77
2019-03-31,1780.75,74.35,38.60,18.10,3.69
2018-12-31,1501.97,74.61,38.71,16.93,3.22
2018-09-30,2003.00,112.28,64.68,25.03,4.51
2018-06-30,1699.80,134.80,80.38,23.65,4.05
2018-03-31,1447.34,182.28,97.27,22.31,3.70
2017-12-31,1169.47,190.16,69.41,20.43,3.24
2017-09-30,961.35,244.00,58.74,18.79,2.92
2017-06-30,968.00,245.69,48.62,20.02,3.14
2017-03-31,886.54,166.64,42.15,19.55,3.02
2016-12-31,749.87,152.72,34.68,18.55,2.67
2016-09-30,837.31,191.60,43.65,22.37,3.15
2016-06-30,715.62,178.01,43.82,20.51,2.85
2016-03-31,593.64,244.30,41.79,18.99,2.50
2015-12-31,675.89,545.07,43.27,23.79,3.00
2015-09-30,511.67,741.55,43.81,19.31,2.39
2015-06-30,434.09,0.00,45.29,17.26,2.11
2015-03-31,372.10,0.00,54.92,15.95,1.87
2014-12-31,310.35,0.00,73.57,13.44,1.62
2014-09-30,322.44,0.00,135.19,14.44,1.76
2014-06-30,324.78,854.68,141.97,14.15,1.84
2014-03-31,336.37,533.91,102.42,14.98,1.99
2013-12-31,398.79,687.57,91.30,18.78,2.47
2013-09-30,312.64,1116.57,340.23,15.76,2.04
2013-06-30,277.69,0.00,498.46,14.53,1.89
2013-03-31,266.49,0.00,604.42,14.38,1.90
2012-12-31,250.87,0.00,287.69,13.90,1.87
2012-09-30,254.32,3633.14,116.54,15.25,2.03
2012-06-30,228.35,281.91,97.09,13.75,1.93
2012-03-31,202.51,167.36,80.89,12.53,1.81
2011-12-31,173.10,126.35,38.14,10.15,1.66
2011-09-30,216.23,113.81,63.59,12.67,2.28
2011-06-30,204.49,90.08,51.09,11.96,2.32
2011-03-31,180.13,77.98,43.51,11.08,2.23
2010-12-31,180.00,71.15,32.62,11.83,2.40
2010-09-30,157.06,63.59,37.55,11.02,2.30
2010-06-30,109.26,45.34,23.90,8.36,1.71
2010-03-31,135.77,59.55,25.41,10.78,2.26
2009-12-31,134.52,66.27,20.36,11.36,2.42
2009-09-30,93.36,54.92,21.17,11.28,1.88
2009-06-30,83.66,55.04,23.34,11.10,1.78
2009-03-31,73.44,46.78,21.92,10.80,1.60
2008-12-31,51.28,34.19,16.24,8.21,1.15
2008-09-30,72.76,49.84,31.70,12.35,1.72
2008-06-30,73.33,53.14,37.86,14.01,1.82
2008-03-31,71.30,59.42,38.06,20.23,1.90
2007-12-31,92.64,82.71,33.26,32.20,2.64
2007-09-30,93.15,107.07,49.39,50.80,3.00
2007-06-30,68.41,93.71,41.47,51.37,2.37
2007-03-31,39.79,67.44,32.61,46.10,1.47
2006-12-31,39.46,87.69,34.43,37.90,1.57
