Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,206.93,23.17,19.13,5.07,7.44
2020-06-30,210.03,22.34,18.35,5.25,7.42
2020-03-31,202.55,20.46,16.77,5.38,6.99
2019-12-31,203.40,19.12,17.37,5.37,6.84
2019-09-30,238.92,25.18,21.15,6.87,7.89
2019-06-30,259.62,28.91,42.38,7.87,8.91
2019-03-31,314.46,36.95,56.00,10.02,10.98
2018-12-31,210.70,26.91,35.54,7.44,7.76
2018-09-30,265.86,37.87,57.16,10.30,10.34
2018-06-30,257.49,38.90,28.44,11.20,10.61
2018-03-31,255.30,42.13,31.49,10.29,11.38
2017-12-31,235.58,44.12,30.19,10.45,11.26
2017-09-30,189.61,39.18,29.97,9.09,9.74
2017-06-30,149.79,38.91,45.87,7.99,8.37
2017-03-31,132.27,42.94,41.59,7.74,8.04
2016-12-31,96.77,38.86,46.35,6.19,6.25
2016-09-30,85.08,36.99,25.54,5.90,5.89
2016-06-30,64.38,32.19,16.43,4.86,4.77
2016-03-31,63.10,35.06,16.70,5.09,5.02
2015-12-31,77.84,46.89,25.52,6.73,6.63
2015-09-30,61.19,41.07,32.40,5.73,5.33
2015-06-30,81.74,58.39,44.77,8.27,7.65
2015-03-31,70.53,50.02,29.44,7.67,6.37
