Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,54.57,25.62,17.56,4.78,3.06
2020-09-30,52.31,26.82,18.88,4.83,3.04
2020-06-30,46.45,25.38,17.43,4.52,2.75
2020-03-31,37.07,18.35,14.26,3.70,2.13
2019-12-31,46.45,20.83,19.76,4.52,2.60
2019-09-30,46.30,19.21,21.44,4.56,2.56
2019-06-30,45.54,18.29,23.05,4.34,2.52
2019-03-31,51.29,20.19,26.08,4.90,2.80
2018-12-31,40.89,15.85,19.36,4.00,2.21
2018-09-30,50.86,25.82,23.22,4.92,2.80
2018-06-30,56.19,29.58,29.69,5.54,3.11
2018-03-31,60.24,34.03,36.72,6.03,3.45
2017-12-31,57.89,34.05,43.53,6.04,3.38
2017-09-30,56.01,27.46,40.32,5.78,3.36
2017-06-30,52.95,26.88,32.75,5.66,3.26
2017-03-31,47.97,24.85,25.68,5.30,3.03
2016-12-31,44.27,23.99,21.39,5.07,2.92
2016-09-30,46.05,25.24,27.25,5.25,3.11
2016-06-30,40.97,23.21,19.95,4.83,2.84
2016-03-31,35.38,21.18,21.02,4.19,2.48
2015-12-31,35.39,22.40,22.71,4.32,2.50
2015-09-30,30.04,21.08,20.47,3.72,2.14
2015-06-30,33.08,25.55,35.50,4.09,2.41
2015-03-31,30.09,24.76,31.14,3.82,2.25
2014-12-31,25.77,22.51,26.36,3.34,1.99
2014-09-30,21.54,19.94,25.03,2.80,1.72
2014-06-30,22.51,21.44,26.93,2.99,1.85
2014-03-31,20.83,21.70,25.19,2.81,1.76
2013-12-31,24.34,26.60,24.83,3.34,2.10
2013-09-30,20.34,22.67,22.62,2.96,1.79
2013-06-30,16.28,19.27,18.12,2.40,1.48
2013-03-31,16.46,20.38,31.56,2.47,1.55
2012-12-31,14.07,16.50,35.44,2.18,1.54
2012-09-30,12.79,15.74,16.98,1.98,1.44
2012-06-30,10.83,6.80,22.45,1.73,1.26
2012-03-31,9.92,5.92,30.03,1.61,1.21
2011-12-31,8.82,5.38,316.16,1.49,0.96
2011-09-30,7.01,4.28,0.00,1.16,0.81
2011-06-30,9.23,11.04,0.00,1.76,1.09
2011-03-31,9.64,14.70,60.52,1.93,1.16
2010-12-31,8.25,13.66,21.38,1.72,1.02
2010-09-30,8.34,15.04,14.64,1.77,1.04
2010-06-30,6.93,12.12,7.45,1.54,0.79
2010-03-31,7.54,12.60,6.06,1.68,0.75
2009-12-31,6.20,12.97,5.16,1.44,0.38
2009-09-30,5.43,13.86,4.13,1.32,0.23
2009-06-30,4.63,14.53,2.89,1.19,0.15
2009-03-31,3.56,9.41,3.48,0.98,0.09
2008-12-31,4.16,9.24,3.96,1.11,0.12
2008-09-30,5.49,10.88,2.43,1.21,0.16
2008-06-30,4.59,8.82,2.47,1.01,0.17
2008-03-31,4.58,9.37,2.27,1.04,0.24
2007-12-31,4.86,10.27,2.43,1.16,0.25
2007-09-30,6.07,12.55,12.40,1.52,0.49
2007-06-30,5.50,12.41,15.96,1.40,0.45
2007-03-31,5.26,12.13,21.14,1.38,0.43
2006-12-31,5.15,12.51,15.81,1.38,0.44
