Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,18.02,0.00,32.32,0.00,1.46
2020-09-30,9.43,0.00,16.91,-5.59,0.77
2020-06-30,13.42,0.00,11.62,-7.96,1.01
2020-03-31,4.14,0.00,1.60,-6.86,0.26
2019-12-31,25.17,0.00,15.20,2.12,1.48
2019-09-30,24.90,0.00,23.97,1.19,1.44
2019-06-30,27.89,0.00,53.76,1.29,1.51
2019-03-31,33.14,0.00,0.00,1.45,1.73
2018-12-31,24.90,249.04,870.76,1.06,1.29
2018-09-30,44.96,19.63,0.00,1.92,2.38
2018-06-30,43.84,19.57,0.00,1.86,2.46
2018-03-31,35.87,11.11,0.00,1.55,2.19
2017-12-31,39.15,11.48,35.19,1.70,2.33
2017-09-30,42.21,24.26,17.95,1.92,2.56
2017-06-30,43.95,0.00,15.32,2.03,2.72
2017-03-31,46.89,0.00,13.61,2.28,2.90
2016-12-31,57.68,0.00,35.55,2.85,4.08
2016-09-30,57.82,0.00,0.00,2.76,4.06
2016-06-30,50.17,0.00,0.00,2.19,3.46
2016-03-31,43.78,0.00,0.00,4.66,2.61
2015-12-31,39.60,0.00,0.00,1.58,2.17
2015-09-30,34.69,0.00,0.00,1.10,2.03
2015-06-30,50.79,0.00,0.00,1.08,2.30
2015-03-31,52.98,0.00,0.00,0.85,2.15
2014-12-31,54.80,0.00,0.00,0.73,1.85
2014-09-30,81.81,0.00,16.73,0.93,2.51
2014-06-30,87.47,28.31,14.94,0.96,2.63
2014-03-31,71.90,16.64,95.43,0.80,2.04
2013-12-31,74.31,13.56,51.48,0.83,2.09
2013-09-30,73.46,10.98,0.00,0.90,1.85
2013-06-30,72.16,11.36,0.00,0.86,1.77
2013-03-31,66.23,14.18,0.00,0.81,1.64
2012-12-31,67.24,13.69,0.00,0.84,1.60
2012-09-30,73.92,11.83,47.72,0.94,1.72
2012-06-30,74.99,8.99,12.37,0.96,1.74
2012-03-31,85.54,8.03,11.21,1.11,1.95
2011-12-31,77.03,6.69,9.34,1.02,1.82
2011-09-30,68.12,6.61,10.51,0.94,1.65
2011-06-30,104.63,10.55,17.24,1.51,2.71
2011-03-31,110.87,11.95,20.15,1.69,3.04
2010-12-31,100.85,11.87,20.07,1.58,2.93
2010-09-30,82.57,9.77,12.67,1.37,2.54
2010-06-30,70.99,9.30,9.91,1.36,2.28
2010-03-31,85.47,13.33,24.10,1.72,2.99
2009-12-31,86.75,0.00,48.99,1.85,3.39
2009-09-30,77.10,0.00,0.00,1.69,3.25
2009-06-30,60.46,0.00,0.00,1.36,2.26
2009-03-31,53.59,0.00,65.62,1.22,1.67
2008-12-31,62.18,30.63,13.52,1.26,1.69
2008-09-30,86.84,6.19,11.11,1.55,2.17
2008-06-30,115.60,9.38,18.01,2.34,3.08
2008-03-31,100.38,10.10,18.16,2.08,3.01
2007-12-31,89.12,10.63,30.97,1.93,2.98
2007-09-30,74.52,11.04,0.00,1.73,2.78
2007-06-30,67.40,9.82,1011.97,1.59,2.58
2007-03-31,58.28,8.16,1793.33,1.44,2.34
2006-12-31,54.70,7.16,102.75,1.37,2.19
