Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,132.43,33.87,30.67,7.27,4.72
2020-12-31,130.77,33.45,30.28,7.18,4.66
2020-09-30,108.03,28.50,25.51,6.33,3.98
2020-06-30,95.37,26.57,22.10,5.93,3.60
2020-03-31,72.36,19.72,17.57,4.82,2.74
2019-12-31,107.07,28.55,27.14,6.94,4.01
2019-09-30,95.24,25.00,25.73,6.71,3.55
2019-06-30,94.44,24.22,27.53,6.68,3.52
2019-03-31,92.74,23.90,28.74,6.64,3.48
2018-12-31,79.37,20.62,30.74,5.83,3.03
2018-09-30,91.85,37.95,32.49,6.83,3.64
2018-06-30,84.94,37.09,34.97,6.69,3.51
2018-03-31,83.73,38.41,32.78,6.37,3.62
2017-12-31,85.18,41.55,29.25,6.44,3.84
2017-09-30,81.94,26.10,30.03,6.08,3.85
2017-06-30,71.30,24.01,23.42,5.56,3.46
2017-03-31,68.60,24.32,23.34,5.58,3.39
2016-12-31,64.63,24.76,22.79,5.35,3.24
2016-09-30,62.29,25.01,22.41,5.12,3.24
2016-06-30,54.88,22.58,19.72,4.74,2.94
2016-03-31,55.22,23.60,19.94,4.96,3.06
2015-12-31,49.76,20.65,18.16,4.67,2.83
2015-09-30,48.42,20.26,18.84,4.69,2.77
2015-06-30,54.93,23.78,23.68,5.47,3.21
2015-03-31,55.71,24.28,26.29,5.79,3.29
2014-12-31,50.76,22.92,24.01,5.35,3.05
2014-09-30,46.99,22.11,24.94,4.89,2.93
2014-06-30,45.23,22.06,24.43,4.74,2.95
2014-03-31,42.94,21.69,22.71,4.66,2.91
2013-12-31,41.69,21.27,22.02,4.58,2.93
2013-09-30,36.09,19.30,18.64,4.28,2.60
2013-06-30,36.26,19.87,19.24,4.47,2.65
2013-03-31,34.68,19.48,19.94,4.41,2.58
2012-12-31,30.01,17.71,17.88,3.93,2.30
2012-09-30,27.27,16.94,17.64,3.62,2.21
2012-06-30,25.39,16.33,15.87,3.66,2.11
2012-03-31,27.58,17.79,17.87,3.97,2.36
2011-12-31,20.90,13.71,15.18,3.12,1.84
2011-09-30,18.77,12.11,14.09,2.78,1.66
2011-06-30,24.85,16.08,22.27,3.66,2.27
2011-03-31,25.03,16.80,22.77,3.79,2.37
2010-12-31,24.28,17.22,26.98,3.64,2.40
2010-09-30,22.52,17.46,23.97,3.63,2.35
2010-06-30,18.06,15.91,17.45,3.17,2.02
2010-03-31,19.39,19.78,16.48,3.61,2.31
2009-12-31,21.21,23.19,14.13,4.17,2.61
2009-09-30,17.30,18.31,11.38,3.62,2.15
2009-06-30,14.52,14.17,10.81,3.27,1.73
2009-03-31,13.07,11.72,11.26,3.17,1.49
2008-12-31,11.00,9.40,10.51,2.75,1.22
2008-09-30,18.39,15.72,19.70,4.42,2.04
2008-06-30,20.56,18.60,21.27,5.36,2.38
2008-03-31,17.06,16.56,18.28,4.88,2.09
2007-12-31,21.22,21.77,26.76,6.00,2.72
2007-09-30,18.19,20.05,28.70,5.72,2.43
2007-06-30,16.31,19.41,30.30,5.50,2.26
2007-03-31,14.76,19.55,24.91,5.42,2.12
2006-12-31,14.18,20.34,24.41,5.60,2.10
