Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,178.22,68.81,0.00,1.81,11.79
2020-09-30,159.01,36.72,0.00,1.72,10.54
2020-06-30,160.18,49.14,0.00,1.80,11.25
2020-03-31,134.43,63.41,0.00,1.53,9.55
2019-12-31,157.36,50.93,0.00,1.87,11.49
2019-09-30,149.06,141.96,0.00,1.88,11.16
2019-06-30,135.64,39.09,0.00,1.81,10.34
2019-03-31,136.08,41.24,0.00,1.81,10.51
2018-12-31,109.26,31.13,0.00,1.54,8.46
2018-09-30,118.26,28.22,0.00,1.69,9.19
2018-06-30,117.73,42.65,0.00,1.74,9.28
2018-03-31,115.68,44.49,0.00,1.73,9.25
2017-12-31,120.08,76.49,0.00,1.85,9.70
2017-09-30,108.65,123.47,0.00,1.74,8.75
2017-06-30,109.22,273.05,0.00,1.78,8.86
2017-03-31,99.49,0.00,0.00,1.65,8.05
2016-12-31,99.29,0.00,0.00,1.62,8.09
2016-09-30,96.44,0.00,0.00,1.79,7.95
2016-06-30,91.14,0.00,0.00,1.63,7.47
2016-03-31,79.39,59.24,0.00,1.39,6.60
2015-12-31,78.23,47.70,0.00,1.33,6.63
2015-09-30,72.70,79.02,0.00,1.40,6.42
2015-06-30,74.42,87.56,0.00,1.39,6.84
2015-03-31,82.71,103.39,0.00,1.56,7.88
2014-12-31,74.30,73.56,0.00,1.36,7.27
2014-09-30,61.24,35.00,0.00,1.11,6.10
2014-06-30,63.86,37.34,0.00,1.15,6.60
2014-03-31,59.12,34.78,0.00,1.06,6.23
2013-12-31,51.33,32.08,0.00,0.92,5.47
2013-09-30,50.97,35.90,0.00,0.91,5.47
2013-06-30,51.92,41.87,0.00,0.93,5.53
2013-03-31,55.51,48.27,0.00,1.01,5.88
2012-12-31,53.76,49.32,0.00,0.97,5.80
2012-09-30,56.56,47.13,0.00,1.03,6.42
2012-06-30,55.54,38.84,0.00,1.00,6.33
2012-03-31,55.44,35.09,0.00,1.00,6.26
2011-12-31,51.94,30.20,0.00,0.94,5.64
2011-09-30,45.90,16.39,0.00,0.83,4.86
2011-06-30,57.44,20.15,0.00,1.02,5.97
2011-03-31,57.51,29.34,0.00,1.06,5.88
2010-12-31,53.72,27.00,0.00,0.99,5.43
2010-09-30,51.02,53.14,0.00,0.97,4.81
2010-06-30,45.95,46.89,0.00,0.90,4.12
2010-03-31,48.75,21.67,0.00,0.90,4.29
2009-12-31,46.13,16.53,0.00,0.86,3.62
2009-09-30,38.79,13.10,0.00,0.73,2.82
2009-06-30,25.38,8.03,0.00,0.47,1.77
2009-03-31,25.57,8.49,0.00,0.50,1.71
2008-12-31,41.41,13.40,0.00,0.76,2.89
2008-09-30,76.16,24.33,0.00,1.41,5.56
2008-06-30,65.43,20.84,0.00,1.20,4.80
2008-03-31,61.82,19.32,0.00,1.17,4.62
2007-12-31,67.22,25.56,0.00,1.41,5.11
2007-09-30,63.15,25.36,0.00,1.35,4.87
2007-06-30,63.02,26.59,0.00,1.42,4.97
2007-03-31,64.83,29.33,0.00,1.48,5.18
2006-12-31,64.37,28.61,0.00,1.38,5.24
