Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,80.95,28.30,32.40,4.35,8.19
2020-06-30,75.90,32.44,28.78,4.28,8.40
2020-03-31,59.10,29.26,32.29,3.50,7.07
2019-12-31,59.04,30.28,26.54,3.54,7.01
2019-09-30,52.58,24.92,22.53,3.30,5.88
2019-06-30,46.90,21.41,20.77,3.00,5.08
2019-03-31,45.24,19.84,21.90,2.99,4.74
2018-12-31,45.90,19.53,21.33,3.08,4.72
2018-09-30,81.99,110.79,35.31,5.87,8.81
2018-06-30,75.22,115.72,30.22,5.54,7.95
2018-03-31,66.49,147.75,23.57,5.15,7.02
2017-12-31,62.09,172.46,23.11,4.97,6.76
2017-09-30,63.25,43.32,26.81,4.80,6.88
2017-06-30,56.45,38.40,22.82,4.39,6.17
2017-03-31,48.89,37.04,17.61,3.90,5.37
2016-12-31,35.19,29.09,13.14,2.88,4.01
2016-09-30,43.18,39.61,14.39,3.64,5.44
2016-06-30,38.62,38.62,17.77,3.35,5.37
2016-03-31,32.98,29.45,19.28,2.92,5.05
2015-12-31,37.42,31.19,24.09,3.41,5.90
2015-09-30,29.86,20.18,16.47,2.73,4.47
2015-06-30,23.41,18.29,12.73,2.19,3.67
2015-03-31,21.97,17.30,12.17,2.20,3.49
2014-12-31,19.28,16.92,11.44,1.92,3.16
2014-09-30,19.90,22.87,22.82,2.05,3.69
2014-06-30,21.34,22.46,20.42,2.13,4.31
2014-03-31,19.56,20.59,19.32,2.02,4.30
2013-12-31,16.90,17.79,14.70,1.80,4.03
2013-09-30,15.81,15.21,13.93,0.90,3.67
2013-06-30,13.52,11.36,10.44,1.27,3.04
2013-03-31,13.81,12.91,10.75,1.34,3.08
2012-12-31,9.94,9.94,8.73,0.98,2.29
2012-09-30,10.55,13.70,10.52,1.08,2.65
2012-06-30,11.22,16.03,12.13,1.18,2.89
2012-03-31,12.00,14.45,15.40,1.27,3.07
2011-12-31,11.36,12.35,14.93,1.23,2.77
2011-09-30,10.98,17.15,13.19,1.19,2.72
2011-06-30,10.77,19.59,11.49,1.18,2.70
2011-03-31,10.12,23.53,10.38,1.14,2.69
2010-12-31,11.30,36.46,10.92,1.31,3.17
2010-09-30,9.83,35.11,11.62,1.10,2.73
2010-06-30,9.53,38.13,11.34,1.07,2.69
2010-03-31,10.95,47.61,13.92,1.25,3.09
2009-12-31,9.96,142.25,11.72,1.16,3.08
2009-09-30,11.11,44.42,21.10,1.25,2.94
2009-06-30,11.32,70.75,57.61,1.26,2.99
2009-03-31,9.38,93.75,21.65,1.05,2.60
2008-12-31,7.74,258.13,22.00,0.88,2.25
2008-09-30,13.83,27.12,0.00,1.55,3.42
2008-06-30,15.27,25.88,24.36,4.33,3.78
2008-03-31,12.24,22.25,25.32,3.70,2.89
2007-12-31,13.31,29.58,40.21,32.75,3.61
2007-09-30,9.68,42.07,18.16,3.66,3.60
2007-06-30,8.37,52.29,0.00,3.26,3.39
2007-03-31,8.49,106.10,0.00,3.41,4.21
2006-12-31,7.73,70.24,0.00,3.10,3.83
