Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,178.01,51.60,70.91,2.33,10.86
2020-09-30,147.85,31.80,58.89,1.94,8.88
2020-06-30,151.47,27.05,52.94,1.96,9.00
2020-03-31,142.67,25.48,98.79,1.84,8.46
2019-12-31,201.18,35.67,215.28,2.57,12.07
2019-09-30,205.08,28.37,64.26,2.65,12.36
2019-06-30,192.15,29.03,70.25,2.50,11.60
2019-03-31,188.41,25.99,39.26,2.45,11.39
2018-12-31,162.14,23.00,36.23,2.11,9.81
2018-09-30,167.33,27.98,54.13,2.22,10.23
2018-06-30,157.47,24.96,107.38,2.09,9.73
2018-03-31,149.39,26.35,406.93,2.00,9.39
2017-12-31,160.62,25.25,91.24,2.14,10.27
2017-09-30,159.36,24.90,67.93,2.13,10.36
2017-06-30,170.29,23.42,50.72,2.29,11.23
2017-03-31,161.50,21.50,69.24,2.17,10.78
2016-12-31,154.63,20.56,823.82,2.09,10.39
2016-09-30,154.04,22.36,0.00,2.11,10.49
2016-06-30,155.09,26.60,0.00,2.16,10.73
2016-03-31,162.30,28.57,0.00,2.26,11.40
2015-12-31,156.01,28.31,0.00,2.17,11.26
2015-09-30,147.13,26.95,0.00,2.05,10.78
2015-06-30,133.55,23.19,0.00,1.93,9.98
2015-03-31,144.44,25.43,0.00,2.10,11.01
2014-12-31,134.48,25.81,0.00,1.96,10.44
2014-09-30,115.23,18.95,79.87,1.68,9.13
2014-06-30,115.27,27.64,98.39,1.71,9.32
2014-03-31,105.60,32.59,182.72,1.59,8.72
2013-12-31,94.23,33.89,0.00,1.42,8.17
2013-09-30,100.38,49.69,0.00,1.53,9.21
2013-06-30,105.69,35.35,0.00,1.60,10.01
2013-03-31,98.45,22.69,0.00,1.47,9.58
2012-12-31,104.51,24.25,0.00,1.75,10.11
2012-09-30,104.07,15.96,177.93,2.15,10.41
2012-06-30,107.50,17.57,79.06,2.27,10.79
2012-03-31,106.65,21.42,0.00,2.32,10.66
2011-12-31,97.85,20.69,3706.41,2.12,9.73
2011-09-30,84.87,51.75,0.00,1.94,8.42
2011-06-30,94.82,65.85,0.00,2.42,9.41
2011-03-31,88.06,56.45,1193.23,2.25,8.79
2010-12-31,81.92,39.20,87.68,2.12,8.19
2010-09-30,75.05,34.43,34.01,1.94,7.32
2010-06-30,66.85,25.61,23.08,1.71,6.49
2010-03-31,61.27,27.60,60.00,1.62,5.93
2009-12-31,57.67,29.88,0.00,1.54,5.58
2009-09-30,50.54,33.47,0.00,1.34,4.90
2009-06-30,38.40,10.19,103.98,1.03,3.69
2009-03-31,31.79,6.16,16.73,0.83,3.03
2008-12-31,40.11,7.76,229.84,1.06,3.82
2008-09-30,61.67,9.02,34.61,1.48,6.15
2008-06-30,55.87,10.27,0.00,1.42,5.75
2008-03-31,59.88,13.49,0.00,1.55,6.40
2007-12-31,57.86,13.15,0.00,1.48,6.37
2007-09-30,71.91,21.34,0.00,1.83,7.96
2007-06-30,71.89,30.46,0.00,1.82,7.99
2007-03-31,78.07,29.46,0.00,1.97,8.66
2006-12-31,77.58,21.67,0.00,2.25,8.64
