Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,175.41,40.42,28.54,10.97,2.11
2020-09-30,127.32,20.34,20.71,7.96,1.59
2020-06-30,113.07,18.30,21.14,7.77,1.41
2020-03-31,100.45,14.52,18.31,7.13,1.21
2019-12-31,128.37,35.86,21.95,8.89,1.54
2019-09-30,110.94,40.05,19.81,8.77,1.35
2019-06-30,112.43,40.88,40.56,8.91,1.38
2019-03-31,109.23,51.28,42.89,9.29,1.34
2018-12-31,86.84,16.48,36.51,7.70,1.08
2018-09-30,104.74,29.93,44.79,8.70,1.31
2018-06-30,98.21,32.63,19.32,8.42,1.25
2018-03-31,101.70,31.01,21.37,8.21,1.34
2017-12-31,109.51,34.99,23.18,9.21,1.49
2017-09-30,93.39,20.85,21.42,7.25,1.31
2017-06-30,83.53,19.61,23.14,6.90,1.21
2017-03-31,75.78,19.94,17.45,6.63,1.11
2016-12-31,65.69,18.61,15.51,6.27,0.98
2016-09-30,72.36,20.91,17.04,6.19,1.10
2016-06-30,69.17,20.59,17.25,6.43,1.07
2016-03-31,66.36,21.00,19.56,6.12,1.04
2015-12-31,57.34,19.44,16.15,5.34,0.89
2015-09-30,51.48,16.66,16.53,4.45,0.79
2015-06-30,55.10,19.07,14.21,4.60,0.84
2015-03-31,47.56,17.95,14.40,4.21,0.72
2014-12-31,46.33,17.75,24.07,4.00,0.71
2014-09-30,39.59,17.37,15.87,2.80,0.61
2014-06-30,45.12,22.90,43.07,2.97,0.71
2014-03-31,44.30,20.04,39.82,2.84,0.71
2013-12-31,43.62,21.28,24.68,2.81,0.71
2013-09-30,37.60,17.91,15.58,2.32,0.63
2013-06-30,36.70,15.96,10.10,2.39,0.63
2013-03-31,36.72,16.39,13.22,2.34,0.64
2012-12-31,29.57,14.22,8.52,1.87,0.52
2012-09-30,26.73,14.77,7.25,1.68,0.50
2012-06-30,22.77,13.32,5.57,1.48,0.42
2012-03-31,24.85,13.96,6.39,1.56,0.46
2011-12-31,23.44,13.09,8.58,1.50,0.43
2011-09-30,20.31,7.69,11.81,1.23,0.36
2011-06-30,31.00,11.19,31.52,1.82,0.54
2011-03-31,33.47,11.70,13.10,2.04,0.57
2010-12-31,33.56,11.38,9.57,2.15,0.57
2010-09-30,29.27,12.40,7.20,2.02,0.49
2010-06-30,25.18,10.71,5.52,1.89,0.42
2010-03-31,28.37,14.55,7.02,2.17,0.49
2009-12-31,28.25,28.83,6.41,2.18,0.50
2009-09-30,27.73,29.50,7.67,2.24,0.48
2009-06-30,19.65,20.05,5.48,1.72,0.32
2009-03-31,16.85,11.01,4.75,1.63,0.26
2008-12-31,24.16,9.01,6.66,1.36,0.36
2008-09-30,32.34,10.57,9.13,1.52,0.46
2008-06-30,31.67,10.49,9.67,1.42,0.46
2008-03-31,35.22,11.90,11.41,1.64,0.53
2007-12-31,37.70,12.28,15.24,1.86,0.59
2007-09-30,40.13,12.27,18.15,2.08,0.66
2007-06-30,46.48,13.17,16.32,2.50,0.81
2007-03-31,44.65,11.81,15.26,2.54,0.79
2006-12-31,46.91,12.78,14.93,2.72,0.84
