Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,156.66,42.92,0.00,4.36,7.56
2020-09-30,143.91,39.43,0.00,4.01,6.95
2020-06-30,127.31,36.17,0.00,3.64,6.24
2020-03-31,117.76,33.74,0.00,3.41,5.85
2019-12-31,120.56,35.15,0.00,3.56,6.04
2019-09-30,121.39,34.58,0.00,3.54,6.17
2019-06-30,112.87,35.05,0.00,3.38,5.79
2019-03-31,100.98,31.66,0.00,3.07,5.21
2018-12-31,87.50,27.69,0.00,2.70,4.57
2018-09-30,84.37,33.35,0.00,2.60,4.44
2018-06-30,81.46,31.09,0.00,2.56,4.33
2018-03-31,77.94,31.94,0.00,2.55,4.15
2017-12-31,86.37,36.44,515.32,2.86,4.61
2017-09-30,76.03,25.77,455.53,2.46,4.08
2017-06-30,72.87,27.50,0.00,2.41,3.91
2017-03-31,72.32,26.88,761.26,2.43,3.89
2016-12-31,66.94,25.45,0.00,2.28,3.62
2016-09-30,68.87,26.39,0.00,2.34,3.75
2016-06-30,77.41,28.25,383.61,2.67,4.27
2016-03-31,62.82,23.71,257.77,2.20,3.52
2015-12-31,54.16,20.59,243.76,1.91,3.09
2015-09-30,49.64,19.09,180.31,1.73,2.88
2015-06-30,43.54,17.49,158.62,1.55,2.56
2015-03-31,48.23,19.93,115.46,1.74,2.86
2014-12-31,47.16,19.98,54.77,1.72,2.82
2014-09-30,42.42,19.55,113.27,1.55,2.56
2014-06-30,43.21,20.00,73.35,1.59,2.62
2014-03-31,39.41,18.59,214.51,1.47,2.42
2013-12-31,36.44,17.69,0.00,1.37,2.26
2013-09-30,35.36,17.33,0.00,1.36,2.22
2013-06-30,35.08,17.03,125.42,1.37,2.19
2013-03-31,35.03,16.76,41.94,1.38,2.17
2012-12-31,31.38,15.61,9.47,1.25,1.95
2012-09-30,30.91,14.93,10.06,1.23,1.93
2012-06-30,28.38,14.26,12.08,1.16,1.82
2012-03-31,27.98,14.96,17.44,1.16,1.84
2011-12-31,26.02,13.70,0.00,1.08,1.72
2011-09-30,24.47,13.90,0.00,1.01,1.64
2011-06-30,23.67,14.01,0.00,1.00,1.59
2011-03-31,22.37,13.73,0.00,0.95,1.52
2010-12-31,20.01,12.99,367.18,0.85,1.37
2010-09-30,18.25,12.00,0.00,0.77,1.32
2010-06-30,15.99,12.02,0.00,0.69,1.19
2010-03-31,16.73,13.60,0.00,0.73,1.23
2009-12-31,17.07,0.00,0.00,0.74,1.24
2009-09-30,15.03,0.00,0.00,0.66,1.03
2009-06-30,14.25,0.00,0.00,0.63,0.95
2009-03-31,14.19,0.00,0.00,0.62,0.95
