Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,120.48,32.04,23.61,4.22,2.54
2020-09-30,99.49,24.69,21.66,3.66,1.99
2020-06-30,94.05,19.55,125.07,3.59,1.78
2020-03-31,84.11,12.76,54.08,3.22,1.48
2019-12-31,121.89,15.27,8.44,4.28,2.16
2019-09-30,115.37,13.95,12.55,4.11,2.10
2019-06-30,120.03,14.87,7.36,4.32,2.25
2019-03-31,105.90,13.51,6.43,3.99,2.05
2018-12-31,91.97,11.64,10.37,3.49,1.83
2018-09-30,102.38,24.55,6.36,4.07,2.10
2018-06-30,93.88,24.77,6.19,3.87,1.99
2018-03-31,89.03,26.03,5.85,3.90,1.95
2017-12-31,94.46,32.57,6.71,4.44,2.16
2017-09-30,85.71,16.51,7.20,3.54,1.92
2017-06-30,79.52,16.26,8.95,3.32,1.87
2017-03-31,74.37,13.47,12.27,3.18,1.82
2016-12-31,69.35,12.32,9.38,3.06,1.76
2016-09-30,59.66,10.58,8.93,2.60,1.67
2016-06-30,56.60,9.96,6.74,2.53,1.60
2016-03-31,56.64,11.33,5.77,2.60,1.63
2015-12-31,63.88,12.70,6.84,2.99,1.87
2015-09-30,67.83,12.27,7.62,3.13,1.97
2015-06-30,71.11,12.50,8.02,3.26,2.08
2015-03-31,71.21,12.49,8.60,3.31,2.09
2014-12-31,84.29,15.19,9.04,4.17,2.48
2014-09-30,79.07,14.72,10.82,4.05,2.38
2014-06-30,85.45,16.37,40.04,4.42,2.59
2014-03-31,80.89,15.99,25.66,4.29,2.50
2013-12-31,81.31,16.66,11.74,4.44,2.55
2013-09-30,67.47,15.95,18.82,3.76,2.16
2013-06-30,66.58,16.36,7.61,3.79,2.18
2013-03-31,59.90,15.17,6.51,3.41,1.99
2012-12-31,50.87,13.14,9.63,2.98,1.73
2012-09-30,50.14,11.61,4.44,2.89,1.74
2012-06-30,51.16,12.01,5.21,3.02,1.81
2012-03-31,50.68,12.04,5.21,2.97,1.83
2011-12-31,41.16,10.02,5.68,2.55,1.52
2011-09-30,39.02,9.80,6.87,2.52,1.46
2011-06-30,44.93,11.67,7.52,2.94,1.72
2011-03-31,38.99,10.86,7.75,2.68,1.53
2010-12-31,36.88,11.01,5.61,2.72,1.47
2010-09-30,35.94,11.71,5.48,2.72,1.47
2010-06-30,33.95,12.57,5.42,2.81,1.44
2010-03-31,35.12,18.01,6.08,3.13,1.52
2009-12-31,34.20,22.35,7.13,2.83,1.51
2009-09-30,28.61,26.49,10.75,2.44,1.23
2009-06-30,19.51,15.61,14.37,1.73,0.79
2009-03-31,11.22,6.52,3.79,0.83,0.43
2008-12-31,15.13,6.69,2.56,1.48,0.55
2008-09-30,28.75,10.19,4.20,2.66,1.02
2008-06-30,30.42,10.07,3.65,2.87,1.09
2008-03-31,35.17,10.53,4.43,3.54,1.29
2007-12-31,41.70,12.41,6.98,4.38,1.59
2007-09-30,47.47,13.96,6.12,5.09,1.92
2007-06-30,48.80,14.83,6.48,5.42,2.06
2007-03-31,44.87,14.15,6.39,5.08,1.95
2006-12-31,48.15,16.10,7.13,5.49,2.16
