Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,23.94,11.85,5.48,0.77,2.16
2020-06-30,23.44,11.32,3.13,0.76,2.01
2020-03-31,20.81,8.53,2.91,0.68,1.74
2019-12-31,34.30,12.52,5.24,1.14,2.88
2019-09-30,28.25,10.46,0.00,0.96,2.40
2019-06-30,27.91,9.97,19.19,0.96,2.44
2019-03-31,26.41,9.82,17.04,0.95,2.40
2018-12-31,23.46,8.99,6.08,0.86,2.20
2018-09-30,27.89,13.22,6.08,1.05,2.77
2018-06-30,26.56,13.76,5.90,1.01,2.74
2018-03-31,28.14,15.99,4.72,1.08,2.97
2017-12-31,27.60,17.80,30.15,1.06,3.00
2017-09-30,23.59,13.48,33.05,0.91,2.60
2017-06-30,22.47,13.38,0.00,0.82,2.52
2017-03-31,21.78,13.78,0.00,0.81,2.52
2016-12-31,20.34,14.74,13.01,0.77,2.40
2016-09-30,14.35,11.39,4.90,0.54,1.71
2016-06-30,12.11,9.93,2.34,0.46,1.46
2016-03-31,12.30,9.39,3.53,0.48,1.47
2015-12-31,15.26,11.14,6.04,0.62,1.83
2015-09-30,14.08,10.51,6.68,0.57,1.65
2015-06-30,15.34,15.98,65.68,0.64,1.76
2015-03-31,13.83,19.75,17.18,0.58,1.59
2014-12-31,16.02,42.16,5.51,0.69,1.77
2014-09-30,15.23,36.25,3.90,0.67,1.69
2014-06-30,13.68,21.72,3.27,0.61,1.54
2014-03-31,15.30,20.13,1.96,0.69,1.71
2013-12-31,13.84,13.71,1.71,0.63,1.55
2013-09-30,12.26,16.35,2.66,0.56,1.39
2013-06-30,11.42,20.76,2.43,0.53,1.27
2013-03-31,10.81,25.73,4.62,0.49,1.20
2012-12-31,10.29,41.17,0.00,0.47,1.13
2012-09-30,7.82,21.14,2.34,0.35,0.79
2012-06-30,7.24,7.62,5.79,0.33,0.66
2012-03-31,8.45,0.00,1.76,0.39,0.80
2011-12-31,4.91,0.00,0.80,0.22,0.44
2011-09-30,5.39,0.00,1.24,0.24,0.48
2011-06-30,9.64,0.00,1.02,0.44,0.86
2011-03-31,11.71,0.00,1.99,0.51,0.91
2010-12-31,11.71,0.00,1.41,0.52,0.87
2010-09-30,11.50,0.00,0.88,0.50,0.79
2010-06-30,12.60,0.00,1.22,0.54,0.83
2010-03-31,15.64,0.00,1.51,0.68,0.90
2009-12-31,13.19,0.00,0.80,0.49,0.64
2009-09-30,14.81,493.51,2.95,0.50,0.68
2009-06-30,11.54,26.23,1.40,0.39,0.47
2009-03-31,5.96,7.18,0.60,0.16,0.23
2008-12-31,12.27,19.79,29.12,0.35,0.49
2008-09-30,29.86,25.96,3.28,0.85,1.15
2008-06-30,19.98,10.98,3.95,0.55,0.77
2008-03-31,31.10,13.07,5.67,0.89,1.18
2007-12-31,33.29,10.06,16.71,1.01,1.25
2007-09-30,39.99,9.05,21.06,1.28,1.47
2007-06-30,38.40,8.03,622.33,1.26,1.41
2007-03-31,39.63,8.45,0.00,1.30,1.51
2006-12-31,41.02,8.92,13.70,1.35,1.62
