Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,80.24,37.50,35.79,4.64,3.55
2020-09-30,80.16,45.55,31.40,4.76,3.60
2020-06-30,85.58,48.08,29.55,5.35,3.89
2020-03-31,80.48,41.06,26.55,5.29,3.62
2019-12-31,82.67,41.75,30.47,5.29,3.78
2019-09-30,86.25,32.18,35.90,5.75,4.08
2019-06-30,80.55,27.12,41.25,5.24,3.89
2019-03-31,79.74,27.12,43.51,5.30,3.90
2018-12-31,64.39,21.53,25.89,4.20,3.18
2018-09-30,75.20,34.03,39.47,4.40,3.73
2018-06-30,71.85,43.28,33.01,4.33,3.60
2018-03-31,63.12,41.80,26.43,3.72,3.24
2017-12-31,62.58,48.51,31.63,3.72,3.28
2017-09-30,60.60,32.58,23.58,3.49,3.22
2017-06-30,58.31,35.34,24.45,3.47,3.13
2017-03-31,49.82,14.83,18.09,3.12,2.68
2016-12-31,42.49,4.73,25.04,2.77,2.31
2016-09-30,45.48,5.10,28.06,2.86,2.48
2016-06-30,43.08,4.96,43.24,2.75,2.36
2016-03-31,39.02,5.50,46.33,2.38,2.16
2015-12-31,36.13,20.65,23.11,2.23,1.99
2015-09-30,31.02,9.94,13.80,2.16,1.67
2015-06-30,35.59,8.94,8.31,2.42,1.88
2015-03-31,34.60,7.99,9.30,2.58,1.57
2014-12-31,36.73,8.06,8.77,2.44,1.49
2014-09-30,35.72,10.48,6.83,2.30,1.30
2014-06-30,35.73,10.09,8.53,2.23,1.22
2014-03-31,36.11,9.87,7.80,2.25,1.27
2013-12-31,33.89,9.28,7.45,2.17,1.23
2013-09-30,31.77,8.04,10.85,2.23,1.22
2013-06-30,33.27,8.28,11.97,2.47,1.30
2013-03-31,34.64,8.37,10.49,2.68,1.37
2012-12-31,31.59,7.56,9.03,2.47,1.26
2012-09-30,28.36,6.90,8.03,2.16,1.13
2012-06-30,24.82,6.11,6.44,2.06,1.00
2012-03-31,27.73,7.04,8.38,2.21,1.13
2011-12-31,22.82,5.88,7.04,1.87,0.94
2011-09-30,25.72,6.80,7.68,2.01,1.08
2011-06-30,27.20,7.19,7.84,2.13,1.17
2011-03-31,24.37,6.75,6.67,2.00,1.09
2010-12-31,22.81,6.53,6.64,1.95,1.06
2010-09-30,21.36,5.76,6.45,1.84,1.00
2010-06-30,18.07,5.06,6.02,1.72,0.86
2010-03-31,25.70,7.08,8.40,2.31,1.24
2009-12-31,25.79,7.16,8.36,2.09,1.26
2009-09-30,24.92,6.98,9.77,2.06,1.26
2009-06-30,23.04,6.70,9.58,2.05,1.18
2009-03-31,22.16,6.66,9.90,2.19,1.14
2008-12-31,23.07,7.28,9.42,2.26,1.19
2008-09-30,28.12,9.37,10.27,2.48,1.48
2008-06-30,27.31,9.51,10.70,2.36,1.49
2008-03-31,24.60,9.22,9.46,2.21,1.40
2007-12-31,24.61,9.43,9.98,2.25,1.43
2007-09-30,23.77,9.40,9.07,2.39,1.42
2007-06-30,23.72,9.53,9.19,2.30,1.44
2007-03-31,22.11,9.57,9.38,2.18,1.37
2006-12-31,19.41,9.11,7.68,1.86,1.23
