Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,247.93,133.30,20.51,2.92,3.87
2020-12-31,250.22,134.53,20.70,2.95,3.91
2020-09-30,231.88,84.94,24.00,2.83,3.78
2020-06-30,237.64,85.48,27.00,2.87,3.89
2020-03-31,227.48,68.52,25.04,2.95,3.59
2019-12-31,268.34,98.66,26.01,3.43,4.23
2019-09-30,248.82,63.80,28.81,3.19,3.93
2019-06-30,247.16,86.72,27.91,3.10,3.91
2019-03-31,244.13,72.44,32.26,3.09,3.88
2018-12-31,219.58,67.56,30.88,2.76,3.47
2018-09-30,253.52,576.19,34.05,3.24,4.13
2018-06-30,232.02,100.01,31.51,2.91,3.93
2018-03-31,209.19,0.00,30.01,2.64,3.66
2017-12-31,205.95,157.22,26.28,2.58,3.75
2017-09-30,187.88,40.41,23.04,3.31,3.42
2017-06-30,186.40,53.26,29.84,3.37,3.35
2017-03-31,174.59,28.86,20.34,4.68,3.08
2016-12-31,156.94,26.03,19.64,4.40,2.75
2016-09-30,169.62,37.61,19.77,4.74,2.95
2016-06-30,159.46,30.32,17.41,4.23,2.78
2016-03-31,142.20,37.92,18.33,3.94,2.48
2015-12-31,143.68,43.94,23.50,4.21,2.69
2015-09-30,123.17,36.12,22.54,3.62,2.47
2015-06-30,130.93,31.93,30.42,3.80,2.83
2015-03-31,132.16,24.21,32.19,3.87,3.09
2014-12-31,127.55,21.88,24.51,4.86,2.97
2014-09-30,103.87,17.31,18.79,3.94,2.43
2014-06-30,107.47,21.80,15.71,3.83,2.55
2014-03-31,105.87,22.06,15.73,3.85,2.55
2013-12-31,99.44,20.98,16.02,3.78,2.42
2013-09-30,89.57,13.78,15.80,3.45,2.21
2013-06-30,88.06,11.79,18.67,3.63,2.24
2013-03-31,84.76,11.24,15.56,3.59,2.19
2012-12-31,68.93,9.14,13.09,2.99,1.83
2012-09-30,68.81,12.24,12.63,3.28,1.88
2012-06-30,65.09,11.73,12.95,3.07,1.83
2012-03-31,67.20,12.24,16.58,3.04,1.94
2011-12-31,64.28,11.73,16.77,2.86,1.89
2011-09-30,62.69,11.14,13.65,2.79,1.88
2011-06-30,73.30,12.32,16.87,3.01,2.30
2011-03-31,67.41,11.80,14.67,2.89,2.18
2010-12-31,71.19,12.78,15.37,3.23,2.39
2010-09-30,62.10,11.27,15.52,2.63,2.10
2010-06-30,56.37,11.01,12.85,2.54,1.89
2010-03-31,65.28,12.51,14.74,2.96,2.21
2009-12-31,65.08,12.91,15.18,2.92,2.24
2009-09-30,57.29,11.46,14.67,2.64,2.02
2009-06-30,58.30,12.07,17.46,2.68,2.11
2009-03-31,54.70,11.84,16.63,2.73,1.98
2008-12-31,55.35,11.90,18.09,2.78,2.01
2008-09-30,64.62,14.49,16.79,3.18,2.37
2008-06-30,65.24,15.07,18.02,3.13,2.40
2008-03-31,68.66,16.71,22.28,3.45,2.62
2007-12-31,66.63,16.78,20.18,3.59,2.61
2007-09-30,65.19,18.84,25.50,3.64,2.64
2007-06-30,59.00,18.73,21.25,3.40,2.44
2007-03-31,60.69,20.23,23.24,3.60,2.58
2006-12-31,55.19,20.83,18.02,3.43,2.42
