Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,75.43,39.29,49.93,15.02,10.83
2020-10-31,69.71,36.31,46.14,13.88,10.01
2020-07-31,69.19,34.42,52.26,15.40,9.92
2020-04-30,61.90,35.78,48.67,14.99,8.84
2020-01-31,67.13,37.50,52.87,16.01,9.50
2019-10-31,64.86,36.44,51.92,15.96,9.16
2019-07-31,54.11,31.64,41.42,15.54,7.84
2019-04-30,52.45,30.32,37.13,15.20,7.61
2019-01-31,46.35,28.44,41.47,14.81,6.76
2018-10-31,45.30,29.22,37.12,14.48,6.67
2018-07-31,51.87,33.99,45.52,18.24,7.63
2018-04-30,54.46,36.70,50.14,19.91,8.11
2018-01-31,52.76,34.04,39.45,21.12,7.96
2017-10-31,43.28,28.18,37.25,12.62,6.68
2017-07-31,37.37,25.95,35.67,12.64,5.95
2017-04-30,35.67,26.23,32.00,12.50,5.83
2017-01-31,34.25,16.28,39.10,13.88,5.59
2016-10-31,34.54,16.41,38.41,13.00,5.71
2016-07-31,36.60,17.50,43.90,13.47,6.08
2016-04-30,35.78,17.00,43.92,11.32,5.94
2016-01-31,36.22,27.27,33.07,12.85,6.05
2015-10-31,39.17,30.13,36.19,14.07,6.62
2015-07-31,39.87,30.67,41.00,12.06,6.76
2015-04-30,33.07,25.84,36.10,9.06,5.63
2015-01-31,32.46,25.68,34.37,8.38,5.63
2014-10-31,33.74,27.12,45.90,8.59,5.93
2014-07-31,31.44,25.36,31.42,8.17,5.62
2014-04-30,32.46,26.52,33.24,8.52,5.84
2014-01-31,27.76,23.45,34.12,7.84,5.04
2013-10-31,26.21,22.83,30.84,7.60,4.82
2013-07-31,25.94,23.93,31.70,8.32,4.86
2013-04-30,25.13,22.93,30.56,8.25,4.74
2013-01-31,22.98,21.20,27.30,8.08,4.43
2012-10-31,21.36,20.54,25.75,4.95,4.18
2012-07-31,20.73,20.48,23.75,5.21,4.06
2012-04-30,19.05,20.01,22.47,3.27,3.78
2012-01-31,17.84,16.89,22.70,4.67,3.55
2011-10-31,16.34,15.36,19.35,4.34,3.26
2011-07-31,16.01,15.22,19.21,4.20,3.31
2011-04-30,15.57,14.99,17.11,4.11,3.31
2011-01-31,14.31,16.46,16.12,4.16,3.11
2010-10-31,12.87,15.93,14.42,3.55,2.88
2010-07-31,13.31,16.80,14.69,3.91,2.99
2010-04-30,12.19,15.13,13.24,3.54,2.75
2010-01-31,10.69,13.10,10.95,3.13,2.45
2009-10-31,10.11,12.07,10.45,2.98,2.37
2009-07-31,9.04,10.97,11.10,2.80,2.10
2009-04-30,9.51,12.45,12.21,2.95,2.18
2009-01-31,9.22,11.60,12.11,2.87,2.06
2008-10-31,9.16,11.75,12.84,2.86,2.00
2008-07-31,11.56,15.39,14.06,3.73,2.56
2008-04-30,10.88,14.36,12.62,3.57,2.45
2008-01-31,9.89,14.14,13.39,3.34,2.28
2007-10-31,11.71,17.21,17.52,3.87,2.81
2007-07-31,10.48,15.59,16.85,3.77,2.65
2007-04-30,10.04,14.94,18.79,3.69,2.63
2007-01-31,9.99,14.45,17.35,3.22,2.74
2006-10-31,10.95,15.23,15.89,3.61,3.13
