Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,515.46,4.41,42.39,1.74,6.53
2020-06-30,451.49,7.00,42.26,1.82,5.92
2020-03-31,350.56,6.71,27.75,1.65,4.53
2019-12-31,370.03,6.35,31.07,1.92,4.81
2019-09-30,332.74,27.64,36.50,1.94,4.34
2019-06-30,312.59,10.56,38.64,1.70,4.12
2019-03-31,305.68,16.42,55.58,1.87,4.03
2018-12-31,232.22,19.93,43.88,1.72,3.07
2018-09-30,312.99,7.48,62.19,1.91,4.12
2018-06-30,288.54,8.52,72.48,1.86,3.81
2018-03-31,250.08,9.94,73.69,1.66,3.40
2017-12-31,238.67,62.64,0.00,2.43,3.31
2017-09-30,222.22,281.29,0.00,2.32,3.15
2017-06-30,226.31,452.62,1591.49,2.38,3.23
2017-03-31,199.34,212.06,445.95,2.18,2.82
2016-12-31,182.28,191.87,72.02,2.09,2.61
2016-09-30,163.81,49.19,145.03,1.79,2.34
2016-06-30,143.02,43.34,53.70,1.61,2.08
2016-03-31,136.72,37.36,102.37,1.58,1.99
2015-12-31,138.66,36.02,54.89,1.63,2.02
2015-09-30,134.31,38.26,59.68,1.62,1.92
2015-06-30,150.61,45.50,61.10,1.86,2.09
2015-03-31,135.18,39.41,35.26,1.79,1.84
2014-12-31,120.56,39.53,23.03,1.60,1.61
2014-09-30,113.40,41.24,16.90,1.51,1.51
2014-06-30,119.71,56.73,20.82,1.54,1.61
2014-03-31,128.12,57.71,31.75,1.65,1.73
2013-12-31,123.61,46.30,56.10,1.63,1.67
2013-09-30,117.56,35.84,40.68,1.59,1.61
2013-06-30,112.20,22.40,38.75,1.55,1.54
2013-03-31,126.00,22.91,30.24,1.77,1.73
2012-12-31,105.05,17.77,23.16,1.48,1.45
2012-09-30,106.72,16.83,26.76,1.56,1.49
2012-06-30,100.01,15.46,26.94,1.53,1.38
2012-03-31,103.69,16.75,18.60,1.59,1.42
2011-12-31,96.04,15.34,17.08,1.55,1.32
2011-09-30,90.77,13.77,14.06,1.51,1.25
2011-06-30,119.36,18.17,16.63,1.94,1.68
2011-03-31,120.14,18.45,25.15,2.08,1.73
2010-12-31,103.85,15.76,21.09,1.88,1.52
2010-09-30,90.51,16.37,15.06,1.76,1.34
2010-06-30,86.49,16.26,11.89,1.84,1.29
2010-03-31,103.52,19.39,10.41,2.20,1.57
2009-12-31,96.46,18.55,10.39,2.08,1.50
2009-09-30,91.88,25.88,11.78,2.06,1.47
2009-06-30,75.48,23.74,13.26,1.83,1.22
2009-03-31,65.90,19.44,15.76,1.70,1.05
2008-12-31,75.31,23.17,19.53,1.92,1.18
2008-09-30,99.12,24.78,19.61,2.57,1.54
2008-06-30,80.89,20.12,14.54,1.97,1.33
2008-03-31,88.95,26.24,18.21,2.22,1.56
2007-12-31,103.62,30.30,21.59,2.87,1.93
2007-09-30,90.50,25.28,29.76,2.57,1.83
2007-06-30,75.57,22.16,24.03,2.25,1.56
2007-03-31,69.84,19.08,19.65,2.16,1.46
2006-12-31,82.52,21.55,34.09,2.67,1.74
