Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,33.78,7.41,12.16,0.66,1.63
2020-06-30,37.70,8.11,5.22,0.76,1.73
2020-03-31,32.58,7.01,0.00,0.70,1.45
2019-12-31,48.35,10.65,0.00,1.05,2.19
2019-09-30,43.15,11.18,9.56,0.96,2.06
2019-06-30,41.86,10.87,78.63,0.95,2.06
2019-03-31,47.54,12.29,10.08,1.10,2.41
2018-12-31,44.14,10.95,8.89,1.04,2.31
2018-09-30,47.53,11.13,15.69,1.13,2.64
2018-06-30,50.01,12.05,7.28,1.20,2.88
2018-03-31,47.57,11.89,12.50,1.15,2.85
2017-12-31,49.52,13.28,14.70,1.21,3.10
2017-09-30,48.52,14.19,7.46,1.21,3.09
2017-06-30,46.48,13.75,26.97,1.19,3.04
2017-03-31,42.85,13.19,19.02,1.12,2.87
2016-12-31,42.81,13.55,8.21,1.14,2.93
2016-09-30,35.87,12.12,34.52,0.94,2.49
2016-06-30,34.78,12.42,16.05,0.95,2.46
2016-03-31,32.83,11.81,6.65,0.90,2.34
2015-12-31,36.57,13.50,11.37,1.02,2.63
2015-09-30,34.60,12.18,8.39,0.97,2.51
2015-06-30,36.95,12.19,8.99,1.04,2.56
2015-03-31,35.28,12.69,7.54,1.02,2.47
2014-12-31,35.41,13.21,9.34,1.03,2.51
2014-09-30,33.65,13.85,15.45,0.96,2.41
2014-06-30,32.42,13.97,18.83,0.94,2.46
2014-03-31,30.38,11.91,104.92,0.89,2.27
2013-12-31,29.93,17.10,0.00,0.89,2.24
2013-09-30,25.74,14.07,0.00,0.78,1.93
2013-06-30,23.80,14.69,0.00,0.75,1.80
2013-03-31,23.63,18.17,0.00,0.75,1.84
2012-12-31,21.59,10.53,25.56,0.67,1.69
2012-09-30,18.90,9.74,6.21,0.59,1.49
2012-06-30,18.23,9.80,20.61,0.61,1.45
2012-03-31,19.93,9.68,18.32,0.68,1.58
2011-12-31,16.34,8.01,12.45,0.58,1.30
2011-09-30,15.16,7.02,0.00,0.53,1.20
2011-06-30,20.79,9.72,5.47,0.74,1.67
2011-03-31,24.13,11.55,10.20,0.88,2.00
2010-12-31,24.33,11.87,7.84,0.91,2.05
2010-09-30,20.98,10.49,6.37,0.79,1.81
2010-06-30,19.75,0.00,7.62,0.77,2.65
2010-03-31,24.63,0.00,5.71,0.98,3.41
2009-12-31,22.24,0.00,7.72,0.93,3.15
2009-09-30,22.98,0.00,7.64,0.98,3.22
2009-06-30,23.15,32.61,25.74,1.02,1.93
2009-03-31,22.24,26.80,20.27,0.91,1.72
2008-12-31,22.07,18.40,9.54,0.90,1.55
2008-09-30,25.17,15.35,29.58,1.05,1.62
2008-06-30,29.03,14.96,8.47,1.16,1.82
2008-03-31,31.83,14.15,27.49,1.28,1.97
2007-12-31,36.99,16.78,11.61,1.44,2.37
2007-09-30,33.32,7.85,13.90,1.31,2.24
2007-06-30,31.11,7.45,9.81,1.89,2.25
2007-03-31,30.28,7.18,4.06,1.88,2.29
2006-12-31,29.24,6.97,5.45,1.82,2.33
