Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,1710.68,51.53,53.15,14.26,8.07
2020-06-30,1592.34,26.87,29.74,16.31,6.00
2020-03-31,1345.32,17.09,14.73,14.37,3.98
2019-12-31,2053.73,18.24,19.87,14.34,5.95
2019-09-30,1962.61,19.89,19.20,13.88,5.85
2019-06-30,1874.71,20.79,18.84,15.11,5.87
2019-03-31,1744.91,19.86,18.87,11.15,5.74
2018-12-31,1722.42,20.66,16.89,8.95,5.73
2018-09-30,1984.00,34.16,36.47,9.30,6.84
2018-06-30,2027.09,36.53,28.45,9.25,7.31
2018-03-31,2080.39,41.82,26.61,9.44,7.86
2017-12-31,1737.74,37.35,19.85,7.48,6.85
2017-09-30,1830.82,25.64,13.50,7.36,7.49
2017-06-30,1870.52,39.71,17.20,7.92,8.15
2017-03-31,1779.97,40.17,19.98,8.10,8.08
2016-12-31,1466.06,34.36,19.50,7.34,6.83
2016-09-30,1471.49,37.54,20.39,7.41,7.13
2016-06-30,1248.41,23.79,18.39,6.66,6.46
2016-03-31,1288.96,25.36,21.08,7.07,6.93
2015-12-31,1274.95,25.65,21.71,7.19,7.15
2015-09-30,1236.86,25.62,22.72,7.28,7.09
2015-06-30,1151.37,25.65,21.65,6.88,6.89
2015-03-31,1164.15,25.40,21.92,6.99,7.12
2014-12-31,1140.21,24.93,21.72,6.91,7.16
2014-09-30,1158.58,26.15,23.45,6.95,7.52
2014-06-30,1203.00,30.08,27.78,8.06,8.39
2014-03-31,1191.89,31.78,28.51,8.64,8.80
2013-12-31,1162.40,32.28,27.48,8.75,8.95
2013-09-30,1010.95,29.30,24.54,8.07,8.18
2013-06-30,826.67,27.16,22.66,7.27,7.24
2013-03-31,688.16,23.79,20.42,8.63,6.38
2012-12-31,620.39,22.39,18.40,7.94,6.04
2012-09-30,619.07,23.37,20.93,8.63,6.27
2012-06-30,664.52,27.69,24.34,11.31,7.08
2012-03-31,717.50,32.41,30.75,13.78,8.02
2011-12-31,467.71,22.65,18.50,9.05,5.49
2011-09-30,449.46,23.78,19.21,9.36,5.61
2011-06-30,511.93,36.20,27.41,12.81,7.15
2011-03-31,506.44,44.50,28.02,14.58,7.78
2010-12-31,399.55,38.46,26.99,10.83,6.58
2010-09-30,348.34,37.54,24.19,10.45,6.08
2010-06-30,176.54,15.64,14.44,6.17,3.38
2010-03-31,255.00,24.50,24.43,9.19,5.14
2009-12-31,218.41,22.11,21.87,7.53,4.56
2009-09-30,165.82,18.30,19.16,6.04,3.66
2009-06-30,111.55,25.07,16.21,5.54,2.65
2009-03-31,78.78,18.98,11.60,4.65,1.97
2008-12-31,73.65,18.46,12.06,4.32,1.92
2008-09-30,68.43,17.37,11.52,3.79,1.83
2008-06-30,115.46,26.24,22.64,6.55,3.30
2008-03-31,120.86,29.41,34.95,7.40,3.68
2007-12-31,114.86,34.81,37.32,7.63,3.51
2007-09-30,88.75,30.19,36.96,6.36,2.85
2007-06-30,68.74,39.97,36.32,6.45,2.38
2007-03-31,53.26,43.30,24.22,5.61,1.96
2006-12-31,43.61,26.43,19.65,4.41,1.73
