Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,13.03,0.00,5.72,0.78,0.38
2020-06-30,14.93,0.00,5.93,0.88,0.39
2020-03-31,10.07,0.00,3.24,0.58,0.24
2019-12-31,24.37,110.78,11.80,0.73,0.54
2019-09-30,21.88,50.89,9.99,0.65,0.46
2019-06-30,23.05,65.87,10.29,0.69,0.45
2019-03-31,25.75,80.46,17.05,0.76,0.49
2018-12-31,19.82,46.10,6.94,0.59,0.36
2018-09-30,30.95,386.90,0.00,0.93,0.58
2018-06-30,30.06,0.00,0.00,0.90,0.58
2018-03-31,25.15,0.00,0.00,0.73,0.55
2017-12-31,28.49,0.00,0.00,0.84,0.86
2017-09-30,32.78,0.00,0.00,0.93,1.67
2017-06-30,33.04,0.00,0.00,1.14,2.32
2017-03-31,36.26,0.00,155.62,1.23,2.89
2016-12-31,39.38,0.00,0.00,0.00,2.12
2016-09-30,30.59,0.00,0.00,0.98,1.64
2016-06-30,27.36,0.00,3.96,0.84,1.36
2016-03-31,26.57,0.00,0.00,0.76,1.12
2015-12-31,27.97,0.00,0.00,0.75,0.99
2015-09-30,31.54,0.00,8.55,0.79,0.73
2015-06-30,37.40,62.33,8.21,0.92,0.76
2015-03-31,38.54,21.06,10.21,0.94,0.72
2014-12-31,33.99,8.67,9.33,0.79,0.61
2014-09-30,39.44,13.32,12.31,0.93,0.73
2014-06-30,45.13,15.72,14.87,1.08,0.86
2014-03-31,39.41,15.10,11.63,0.95,0.76
2013-12-31,33.50,13.56,9.71,0.82,0.67
2013-09-30,29.69,12.37,11.51,0.73,0.60
2013-06-30,27.80,12.30,18.86,0.70,0.57
2013-03-31,27.88,10.25,0.00,0.71,0.58
2012-12-31,24.46,8.21,0.00,0.62,0.50
2012-09-30,26.99,8.41,0.00,0.69,0.55
2012-06-30,24.44,5.83,0.00,0.64,0.51
2012-03-31,24.85,6.28,0.00,0.67,0.53
2011-12-31,28.74,7.24,0.00,0.79,0.63
2011-09-30,27.20,6.77,0.00,0.75,0.62
2011-06-30,42.66,14.22,0.00,1.23,1.02
2011-03-31,43.08,17.51,0.00,1.26,1.09
2010-12-31,33.47,16.73,0.00,1.01,0.90
2010-09-30,24.86,16.57,0.00,0.78,0.74
2010-06-30,24.18,22.19,116.88,0.77,0.77
2010-03-31,27.16,23.82,22.37,1.59,0.89
2009-12-31,23.40,17.20,23.03,1.00,0.75
2009-09-30,24.57,9.83,15.48,1.06,0.73
2009-06-30,20.91,5.64,14.63,0.91,0.58
2009-03-31,16.32,3.50,17.45,0.73,0.42
2008-12-31,18.25,3.44,10.58,0.83,0.48
2008-09-30,34.29,6.66,16.15,1.55,0.94
2008-06-30,49.39,9.92,20.33,2.33,1.40
2008-03-31,38.67,7.99,16.96,1.93,1.16
2007-12-31,45.69,9.64,27.74,2.29,1.40
2007-09-30,50.83,11.30,124.16,2.65,1.62
2007-06-30,47.24,10.81,0.00,2.58,1.57
2007-03-31,37.08,5.00,0.00,2.14,1.29
2006-12-31,41.78,5.77,0.00,2.55,1.55
