Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,560.71,18.59,31.35,2.52,5.55
2020-06-30,537.97,18.92,31.20,2.50,5.59
2020-03-31,432.15,16.01,35.57,2.02,4.54
2019-12-31,490.17,17.22,29.35,2.25,5.31
2019-09-30,431.63,16.63,36.07,2.05,4.89
2019-06-30,450.97,17.12,32.29,2.18,5.19
2019-03-31,407.60,15.35,23.95,2.01,4.71
2018-12-31,374.65,14.07,21.13,1.82,4.28
2018-09-30,445.96,12.77,19.12,2.18,5.00
2018-06-30,469.07,14.15,19.73,2.33,5.30
2018-03-31,506.54,15.95,21.91,2.54,5.89
2017-12-31,477.84,15.77,20.70,2.40,5.77
2017-09-30,413.81,19.37,18.33,2.21,4.93
2017-06-30,388.65,18.65,18.71,2.11,4.89
2017-03-31,350.74,17.24,22.81,1.94,4.58
2016-12-31,345.81,18.16,26.74,1.92,4.70
2016-09-30,327.46,17.22,27.94,1.83,4.92
2016-06-30,307.57,16.39,23.07,1.75,4.61
2016-03-31,303.88,16.10,18.43,1.75,4.53
2015-12-31,301.70,15.24,18.33,1.73,4.48
2015-09-30,261.98,13.47,15.18,1.52,3.93
2015-06-30,302.52,15.26,17.92,1.78,4.57
2015-03-31,317.93,16.14,20.69,1.91,4.87
2014-12-31,308.91,16.04,17.50,1.85,4.77
2014-09-30,282.12,14.58,16.72,1.71,4.38
2014-06-30,273.02,15.01,17.13,1.68,4.40
2014-03-31,266.99,15.12,14.72,1.68,4.45
2013-12-31,267.00,15.82,13.08,1.67,4.56
2013-09-30,227.06,14.24,14.54,1.45,4.00
2013-06-30,214.12,13.91,14.41,1.40,3.84
2013-03-31,211.49,14.81,15.65,1.39,3.92
2012-12-31,169.02,12.25,14.40,1.12,3.23
2012-09-30,144.68,11.20,10.12,0.96,2.90
2012-06-30,136.64,10.93,9.03,0.92,2.79
2012-03-31,163.39,12.94,11.48,0.89,3.35
2011-12-31,141.04,11.39,10.23,0.77,2.93
2011-09-30,116.17,9.16,7.79,0.65,2.36
2011-06-30,149.30,12.16,10.75,0.82,3.12
2011-03-31,155.36,13.77,12.86,0.77,3.37
2010-12-31,146.32,13.86,11.96,0.73,3.27
2010-09-30,129.94,14.72,12.16,0.32,3.03
2010-06-30,108.68,13.14,12.04,0.27,2.69
2010-03-31,164.04,21.44,17.16,0.42,4.37
2009-12-31,174.11,28.54,18.20,0.44,5.02
2009-09-30,162.02,33.20,14.05,0.61,5.11
2009-06-30,130.58,30.87,10.48,0.50,3.93
2009-03-31,96.34,20.54,6.83,0.37,2.67
2008-12-31,98.55,16.73,7.04,0.94,2.57
2008-09-30,141.85,17.91,14.60,1.36,3.43
2008-06-30,128.63,15.61,16.02,1.24,3.12
2008-03-31,147.83,18.76,23.33,1.46,3.78
2007-12-31,156.37,20.74,43.16,1.57,4.24
2007-09-30,124.65,19.51,18.02,1.28,3.27
2007-06-30,112.07,23.69,17.22,1.17,3.40
2007-03-31,111.38,27.92,22.73,1.18,3.71
2006-12-31,107.77,30.19,14.10,1.16,3.80
