Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,82.99,53.54,75.53,9.19,2.43
2020-06-30,69.25,62.96,85.43,7.99,2.07
2020-03-31,64.30,45.93,75.87,7.76,1.90
2019-12-31,64.18,38.43,22.98,6.90,1.91
2019-09-30,72.09,44.23,44.18,6.85,2.15
2019-06-30,69.17,45.21,33.06,6.44,2.07
2019-03-31,57.04,44.22,26.09,5.23,1.72
2018-12-31,45.25,34.81,21.26,4.26,1.38
2018-09-30,43.20,31.31,15.38,3.93,1.32
2018-06-30,34.83,25.99,13.95,3.02,1.08
2018-03-31,38.80,30.31,12.25,3.28,1.23
2017-12-31,36.89,32.94,14.28,3.19,1.20
2017-09-30,40.15,62.74,20.00,3.86,1.30
2017-06-30,40.93,80.26,0.00,3.88,1.35
2017-03-31,35.92,23.95,0.00,3.38,1.22
2016-12-31,36.25,42.15,0.00,3.58,1.26
2016-09-30,39.50,38.92,0.00,3.61,1.45
2016-06-30,34.79,29.61,36.90,2.58,1.29
2016-03-31,34.25,72.86,39.61,9.00,1.24
2015-12-31,34.87,35.05,20.53,7.87,1.23
2015-09-30,29.77,27.82,18.33,6.52,1.02
2015-06-30,33.50,23.43,18.03,6.89,1.14
2015-03-31,33.68,24.06,18.18,8.05,1.13
2014-12-31,32.44,19.66,14.88,7.17,1.08
2014-09-30,30.05,16.65,11.52,5.85,1.02
2014-06-30,29.71,17.74,10.76,5.85,1.01
2014-03-31,25.92,17.82,11.71,5.63,0.90
2013-12-31,24.38,17.86,15.79,4.89,0.86
2013-09-30,21.12,18.61,14.08,4.64,0.75
2013-06-30,19.49,17.56,19.94,4.71,0.70
2013-03-31,22.26,18.03,17.24,5.27,0.80
2012-12-31,20.88,16.37,12.04,4.85,0.76
2012-09-30,19.69,14.98,11.43,4.12,0.73
2012-06-30,19.06,14.17,13.16,4.40,0.72
2012-03-31,19.86,14.99,18.53,4.61,0.77
2011-12-31,16.50,12.55,11.03,3.84,0.65
2011-09-30,14.30,10.67,34.68,2.96,0.58
2011-06-30,17.70,11.27,26.36,3.40,0.75
2011-03-31,16.47,12.34,15.83,3.30,0.74
2010-12-31,15.60,12.19,21.61,3.24,0.76
2010-09-30,13.47,10.93,6.71,2.75,0.70
2010-06-30,12.07,13.72,10.30,3.06,0.65
2010-03-31,12.17,11.65,9.81,2.99,0.69
2009-12-31,11.77,11.56,11.13,2.80,0.67
2009-09-30,11.18,12.49,13.45,2.84,0.69
2009-06-30,10.24,11.57,8.19,2.94,0.62
2009-03-31,9.81,12.42,15.72,3.31,0.57
2008-12-31,9.38,11.44,10.63,3.23,0.54
2008-09-30,8.88,10.93,43.28,2.40,0.46
2008-06-30,10.71,15.36,110.45,2.72,0.58
2008-03-31,10.29,14.70,16.46,2.76,0.56
2007-12-31,10.06,14.74,11.34,3.00,0.56
2007-09-30,11.99,16.77,13.28,3.57,0.69
2007-06-30,11.84,14.61,12.38,3.58,0.69
2007-03-31,10.19,11.74,26.76,3.42,0.61
2006-12-31,9.67,12.43,33.32,3.45,0.61
