Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,43.56,63.13,15.79,2.17,0.93
2020-09-30,38.57,22.04,13.98,1.92,0.91
2020-06-30,35.00,16.20,15.71,1.52,0.82
2020-03-31,24.04,6.95,6.65,1.02,0.50
2019-12-31,42.56,11.82,16.70,1.81,0.87
2019-09-30,35.84,9.85,8.33,1.62,0.73
2019-06-30,40.80,11.09,11.10,1.87,0.83
2019-03-31,37.16,8.95,12.41,1.76,0.75
2018-12-31,33.47,7.52,12.09,1.60,0.67
2018-09-30,41.03,15.48,15.70,2.05,0.82
2018-06-30,41.24,16.17,17.09,2.12,0.83
2018-03-31,47.83,21.26,17.90,2.50,0.99
2017-12-31,48.48,23.42,16.54,2.67,1.05
2017-09-30,48.46,35.12,19.74,2.61,1.09
2017-06-30,39.95,44.88,15.60,2.28,0.92
2017-03-31,39.28,60.43,15.93,2.40,0.91
2016-12-31,36.95,72.45,14.87,2.38,0.88
2016-09-30,32.82,13.34,14.87,1.84,0.80
2016-06-30,27.44,9.91,15.67,1.57,0.71
2016-03-31,35.56,13.37,24.61,2.06,0.96
2015-12-31,39.87,14.77,30.96,2.41,1.12
2015-09-30,38.24,13.91,61.48,2.26,1.10
2015-06-30,52.11,18.75,58.26,3.14,1.48
2015-03-31,55.33,18.69,60.23,3.51,1.54
2014-12-31,50.17,17.54,48.09,3.08,1.38
2014-09-30,47.92,16.70,47.52,2.87,1.34
2014-06-30,59.25,20.68,51.62,3.48,1.71
2014-03-31,55.76,20.02,44.32,3.41,1.68
2013-12-31,50.60,18.71,38.89,3.18,1.58
2013-09-30,45.77,17.60,25.61,3.03,1.48
2013-06-30,38.79,16.87,20.48,2.73,1.28
2013-03-31,34.82,16.99,18.45,2.55,1.17
2012-12-31,32.25,15.50,16.61,2.37,1.10
2012-09-30,31.12,15.07,20.18,2.35,1.07
2012-06-30,29.53,13.33,21.48,2.30,1.02
2012-03-31,37.97,16.02,27.10,3.20,1.33
2011-12-31,28.70,12.87,23.45,2.54,1.04
2011-09-30,27.25,12.53,20.94,2.43,1.02
2011-06-30,36.38,17.88,37.45,3.19,1.44
2011-03-31,35.88,20.86,65.26,3.34,1.52
2010-12-31,32.58,21.23,32.19,3.17,1.49
2010-09-30,23.69,18.02,28.47,2.34,1.12
2010-06-30,16.81,17.60,21.30,1.86,0.84
2010-03-31,17.19,37.37,25.56,1.80,0.93
2009-12-31,14.96,130.07,19.54,1.57,0.88
2009-09-30,13.62,0.00,24.42,1.47,0.86
2009-06-30,15.38,0.00,266.49,1.72,0.90
2009-03-31,9.14,0.00,34.56,1.07,0.47
2008-12-31,9.74,0.00,72.67,1.10,0.43
2008-09-30,14.58,30.06,24.92,1.52,0.60
2008-06-30,19.69,14.09,14.82,1.79,0.82
2008-03-31,19.05,14.11,15.79,1.78,0.81
2007-12-31,21.38,17.46,16.28,2.14,0.95
2007-09-30,20.18,18.35,17.76,2.13,0.92
2007-06-30,18.93,20.64,23.68,2.17,0.90
2007-03-31,16.56,18.45,17.45,1.97,0.82
2006-12-31,12.93,14.17,17.25,1.59,0.65
