Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-11-30,36.27,15.98,11.84,2.09,1.54
2020-08-31,37.76,18.60,12.10,2.25,1.63
2020-05-31,34.06,19.80,11.19,2.09,1.50
2020-02-29,25.97,16.54,12.93,1.61,1.19
2019-11-30,27.91,16.91,14.32,1.77,1.26
2019-08-31,27.20,19.02,14.12,1.76,1.24
2019-05-31,25.49,16.77,14.29,1.66,1.17
2019-02-28,22.10,15.35,18.80,1.44,1.07
2018-11-30,30.58,16.62,22.65,2.03,1.52
2018-08-31,34.54,16.69,21.90,3.55,1.75
2018-05-31,34.63,17.49,19.86,3.75,1.79
2018-02-28,33.57,15.54,15.07,3.47,1.78
2017-11-30,34.50,20.66,18.02,3.65,1.87
2017-08-31,30.00,21.27,16.83,3.16,1.68
2017-05-31,35.39,24.08,16.39,3.62,1.99
2017-02-28,37.65,27.29,14.54,3.72,2.28
2016-11-30,33.35,23.32,12.27,3.21,1.96
2016-08-31,32.69,21.80,11.20,3.77,1.85
2016-05-31,31.88,0.00,13.74,3.68,1.61
2016-02-29,29.18,0.00,9.46,3.41,1.68
2015-11-30,28.22,0.00,9.66,3.49,1.48
2015-08-31,28.56,0.00,10.93,3.59,1.36
2015-05-31,26.30,0.00,8.95,2.44,1.25
2015-02-28,23.67,0.00,8.69,2.23,0.79
2014-11-30,24.55,26.68,8.97,1.85,0.76
2014-08-31,21.48,14.51,7.00,1.59,0.61
2014-05-31,21.38,30.54,7.86,1.68,0.57
2014-02-28,18.64,9.71,7.78,1.37,0.55
2013-11-30,21.49,12.94,9.48,1.62,0.63
2013-08-31,21.86,13.75,11.81,1.69,0.66
2013-05-31,21.63,11.63,8.96,1.69,0.67
2013-02-28,21.74,18.12,13.29,1.77,0.63
2012-11-30,18.89,12.11,11.30,1.62,0.57
2012-08-31,15.74,10.78,8.98,1.37,0.49
2012-05-31,15.61,14.87,8.99,1.40,0.49
2012-02-29,16.14,8.63,8.01,1.31,0.52
2011-11-30,15.40,8.95,5.90,1.35,0.51
2011-08-31,14.74,8.38,5.54,1.29,0.50
2011-05-31,15.22,8.05,7.30,1.34,0.54
2011-02-28,13.73,9.28,6.51,1.23,0.50
2010-11-30,12.61,8.46,7.22,1.11,0.47
2010-08-31,12.54,7.94,6.15,1.12,0.47
2010-05-31,13.93,8.60,5.77,1.25,0.52
2010-02-28,13.98,7.72,5.47,1.20,0.53
2009-11-30,12.57,7.27,5.88,1.12,0.47
2009-08-31,11.52,7.39,13.90,1.06,0.43
2009-05-31,10.33,4.85,0.00,0.97,0.38
2009-02-28,8.29,3.86,0.00,0.76,0.32
2008-11-30,8.03,3.42,0.00,0.75,0.32
2008-08-31,11.45,4.62,0.00,1.07,0.48
2008-05-31,12.58,6.62,0.00,1.14,0.55
2008-02-29,11.70,6.22,141.44,1.13,0.56
2007-11-30,13.13,8.05,55.18,1.33,0.64
2007-08-31,13.38,8.58,0.00,1.42,0.65
2007-05-31,13.18,9.35,10.66,1.41,0.64
2007-02-28,12.93,10.52,20.93,1.38,0.64
2006-11-30,13.10,16.58,8.26,1.40,0.65
