Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,53.56,11.42,5.25,7.97,0.10
2020-09-30,46.53,14.06,5.46,9.60,0.09
2020-06-30,51.19,0.00,9.46,8.37,0.10
2020-03-31,46.59,0.00,7.49,11.28,0.09
2019-12-31,48.67,0.00,8.79,14.18,0.10
2019-09-30,44.98,0.00,9.99,14.59,0.09
2019-06-30,44.44,9.85,5.59,2.10,0.09
2019-03-31,44.97,449.69,5.56,2.15,0.10
2018-12-31,41.25,0.00,7.44,2.03,0.09
2018-09-30,49.94,21.53,9.86,2.53,0.11
2018-06-30,44.76,60.49,5.91,2.28,0.10
2018-03-31,56.90,10.62,6.93,2.35,0.13
2017-12-31,55.22,9.60,10.65,2.28,0.13
2017-09-30,59.86,17.40,10.00,2.82,0.15
2017-06-30,69.22,17.13,27.79,3.20,0.17
2017-03-31,72.02,17.15,37.16,3.41,0.18
2016-12-31,63.21,15.16,12.00,3.15,0.16
2016-09-30,67.82,16.42,8.46,3.32,0.18
2016-06-30,67.70,15.67,8.91,3.32,0.18
2016-03-31,70.70,16.91,8.38,3.42,0.20
2015-12-31,76.66,18.70,9.85,3.76,0.23
2015-09-30,65.68,16.50,10.32,3.31,0.21
2015-06-30,71.17,19.71,10.40,3.73,0.23
2015-03-31,76.44,22.42,12.00,3.97,0.26
2014-12-31,68.11,21.09,10.04,3.68,0.25
2014-09-30,62.94,19.86,15.82,3.36,0.24
2014-06-30,57.34,16.96,8.70,3.02,0.22
2014-03-31,58.24,59.43,10.73,3.04,0.21
2013-12-31,55.36,51.74,9.30,2.88,0.20
2013-09-30,43.02,37.41,7.73,2.33,0.15
2013-06-30,38.71,40.75,8.69,2.20,0.13
2013-03-31,33.92,10.13,10.47,1.70,0.11
2012-12-31,33.34,10.10,11.53,1.74,0.11
2012-09-30,31.13,9.82,10.79,1.69,0.10
2012-06-30,33.35,10.90,12.71,1.83,0.11
2012-03-31,34.04,11.54,10.42,1.89,0.11
2011-12-31,31.90,11.82,9.71,1.86,0.10
2011-09-30,32.72,12.78,8.16,1.98,0.11
2011-06-30,35.31,12.98,11.26,2.13,0.12
2011-03-31,31.83,11.49,8.70,1.97,0.11
2010-12-31,29.51,11.01,8.43,1.90,0.11
2010-09-30,25.32,9.31,5.51,1.69,0.09
2010-06-30,25.60,14.47,4.93,1.73,0.09
2010-03-31,27.29,14.36,4.87,1.84,0.10
2009-12-31,24.30,11.25,4.98,1.68,0.09
2009-09-30,20.10,8.41,4.57,1.47,0.07
2009-06-30,16.39,5.14,5.91,0.68,0.06
2009-03-31,16.80,5.01,6.01,0.72,0.06
2008-12-31,18.31,5.28,5.21,0.81,0.07
2008-09-30,26.07,7.49,10.86,1.18,0.10
2008-06-30,27.21,7.54,7.06,1.25,0.11
2008-03-31,27.62,5.49,13.27,1.33,0.11
2007-12-31,30.31,7.41,19.25,1.53,0.13
2007-09-30,32.75,6.55,21.12,1.68,0.15
2007-06-30,36.93,7.63,16.85,1.84,0.17
2007-03-31,38.07,11.64,9.71,1.87,0.18
2006-12-31,33.58,9.43,6.22,1.51,0.17
