Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,147.46,24.54,15.60,5.34,1.87
2020-06-30,124.13,16.66,15.64,4.88,1.49
2020-03-31,112.87,11.96,11.75,4.30,1.25
2019-12-31,142.65,13.32,15.00,5.36,1.51
2019-09-30,121.06,11.51,14.04,4.46,1.27
2019-06-30,129.64,12.07,14.03,4.90,1.37
2019-03-31,128.11,11.94,15.48,4.73,1.38
2018-12-31,119.40,11.68,15.63,4.88,1.31
2018-09-30,142.35,22.74,26.45,5.29,1.61
2018-06-30,125.87,24.44,23.38,5.01,1.48
2018-03-31,136.04,36.97,22.13,5.33,1.69
2017-12-31,144.80,114.92,19.14,6.29,1.90
2017-09-30,113.92,79.11,11.97,4.32,1.60
2017-06-30,97.45,649.67,10.66,4.09,1.44
2017-03-31,83.44,0.00,9.88,3.60,1.26
2016-12-31,82.74,0.00,13.39,3.67,1.26
2016-09-30,78.50,45.64,13.81,2.92,1.16
2016-06-30,66.40,35.70,11.11,2.53,0.94
2016-03-31,66.39,31.76,11.34,2.46,0.91
2015-12-31,58.20,16.92,8.34,2.28,0.75
2015-09-30,55.37,11.49,7.96,2.02,0.68
2015-06-30,71.20,12.21,9.13,2.50,0.83
2015-03-31,66.63,10.68,8.57,2.36,0.76
2014-12-31,75.57,12.87,8.51,2.72,0.87
2014-09-30,81.16,13.13,8.57,2.60,0.94
2014-06-30,88.49,14.75,8.34,2.66,1.04
2014-03-31,80.45,13.68,6.96,2.47,0.94
2013-12-31,73.04,12.70,7.30,2.23,0.87
2013-09-30,66.62,12.69,7.60,2.33,0.77
2013-06-30,65.43,10.32,11.59,2.40,0.72
2013-03-31,68.54,9.22,21.24,2.46,0.73
2012-12-31,70.62,8.32,38.60,2.63,0.72
2012-09-30,67.01,6.86,45.63,2.44,0.67
2012-06-30,65.72,7.35,19.85,2.69,0.66
2012-03-31,82.09,10.37,15.56,3.57,0.87
2011-12-31,69.52,9.41,10.56,3.48,0.77
2011-09-30,56.35,8.62,6.84,2.56,0.67
2011-06-30,80.90,13.37,11.46,3.89,1.04
2011-03-31,84.27,15.00,14.99,4.29,1.16
2010-12-31,70.56,17.04,11.79,4.15,1.07
2010-09-30,58.95,19.45,9.72,3.79,1.01
2010-06-30,44.70,18.24,6.27,3.04,0.84
2010-03-31,46.48,23.71,5.70,3.23,0.93
2009-12-31,41.85,29.68,4.97,2.96,0.80
2009-09-30,37.43,17.57,5.96,2.88,0.62
2009-06-30,23.80,8.26,4.47,2.00,0.34
2009-03-31,19.88,4.95,5.49,1.89,0.25
2008-12-31,31.43,5.55,11.16,3.05,0.39
2008-09-30,41.53,6.83,8.53,2.60,0.52
2008-06-30,51.13,8.40,8.50,3.29,0.68
2008-03-31,53.98,9.66,7.79,3.60,0.76
2007-12-31,49.75,9.26,6.16,3.45,0.73
2007-09-30,53.52,10.31,6.91,3.95,0.82
2007-06-30,53.21,10.79,7.49,4.34,0.83
2007-03-31,45.35,8.71,6.97,3.88,0.73
2006-12-31,41.29,7.97,7.64,3.89,0.68
