Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,164.70,67.22,8.64,1.32,2.07
2020-09-30,115.53,23.01,6.06,0.92,1.51
2020-06-30,125.15,26.24,7.76,1.03,1.65
2020-03-31,109.73,13.72,7.45,0.95,1.48
2019-12-31,151.77,15.65,10.98,1.24,2.04
2019-09-30,156.65,19.85,11.11,1.30,2.19
2019-06-30,142.24,17.45,11.00,1.21,2.01
2019-03-31,134.61,16.01,10.02,1.18,1.91
2018-12-31,123.47,14.59,10.52,1.13,1.76
2018-09-30,126.99,11.58,11.97,1.15,1.80
2018-06-30,120.07,14.68,11.15,1.09,1.71
2018-03-31,128.53,15.69,14.97,1.17,1.85
2017-12-31,136.63,16.66,14.30,1.24,1.99
2017-09-30,132.64,15.90,12.59,1.22,1.92
2017-06-30,134.60,11.84,13.11,1.24,1.96
2017-03-31,125.53,12.38,11.17,1.19,1.84
2016-12-31,121.12,13.75,10.66,1.17,1.79
2016-09-30,114.59,15.32,9.84,1.10,1.78
2016-06-30,118.55,19.06,11.22,1.17,1.94
2016-03-31,107.47,14.23,9.97,1.09,1.80
2015-12-31,104.81,12.16,8.92,1.17,1.82
2015-09-30,92.23,11.25,7.70,1.03,1.61
2015-06-30,90.10,10.12,7.00,0.99,1.55
2015-03-31,98.15,11.81,7.64,1.08,1.73
2014-12-31,100.55,11.97,7.58,1.12,1.78
2014-09-30,91.26,9.47,6.88,1.01,1.60
2014-06-30,89.13,8.93,7.09,0.99,1.57
2014-03-31,85.14,8.27,6.71,0.98,1.51
2013-12-31,88.41,8.10,7.57,1.04,1.58
2013-09-30,79.55,7.77,7.37,0.96,1.45
2013-06-30,74.92,7.94,5.82,0.93,1.37
2013-03-31,74.12,9.49,5.87,0.90,1.41
2012-12-31,66.12,8.39,5.67,0.82,1.26
2012-09-30,62.25,7.92,6.14,0.78,1.20
2012-06-30,60.25,10.19,7.36,0.79,1.22
2012-03-31,59.49,8.85,6.68,0.79,1.18
2011-12-31,56.25,12.12,5.52,0.78,1.14
2011-09-30,48.61,9.07,4.37,0.69,0.99
2011-06-30,52.50,7.07,4.58,0.74,1.09
2011-03-31,51.33,6.73,4.70,0.74,1.10
2010-12-31,49.13,5.40,4.73,0.72,1.05
2010-09-30,45.72,5.09,4.12,0.68,0.98
2010-06-30,39.93,4.71,3.66,0.63,0.86
2010-03-31,40.57,5.03,3.82,0.67,0.89
2009-12-31,38.86,5.15,3.93,0.66,0.87
2009-09-30,40.97,8.55,4.19,0.74,0.99
2009-06-30,33.48,9.59,3.36,0.68,0.81
2009-03-31,30.58,7.44,2.81,0.70,0.73
2008-12-31,39.60,11.22,3.23,0.91,0.97
2008-09-30,40.29,7.81,3.42,0.87,0.96
2008-06-30,41.00,5.90,3.13,0.84,0.97
2008-03-31,40.77,6.10,3.04,0.81,0.99
2007-12-31,45.52,5.93,3.21,0.90,1.06
2007-09-30,44.43,5.58,3.14,0.91,1.03
2007-06-30,45.65,5.89,3.32,0.99,1.08
2007-03-31,41.49,5.50,3.19,0.91,0.99
2006-12-31,43.85,6.35,3.50,1.00,1.07
