Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,46.97,14.82,9.83,2.39,0.66
2020-06-30,45.22,13.42,12.64,2.41,0.63
2020-03-31,37.71,9.95,10.87,2.05,0.52
2019-12-31,61.29,16.30,22.44,3.27,0.87
2019-09-30,53.01,17.44,34.17,3.20,0.78
2019-06-30,51.30,16.34,25.81,3.20,0.78
2019-03-31,49.45,15.70,22.71,3.20,0.78
2018-12-31,40.04,12.87,15.21,2.69,0.64
2018-09-30,44.10,18.00,19.27,3.15,0.74
2018-06-30,47.74,21.90,23.39,3.59,0.82
2018-03-31,47.22,22.59,20.97,3.63,0.84
2017-12-31,43.31,21.33,20.60,3.52,0.79
2017-09-30,37.88,16.33,14.32,3.34,0.61
2017-06-30,36.40,17.76,22.85,3.43,0.62
2017-03-31,34.79,19.01,26.46,3.61,0.63
2016-12-31,31.49,18.63,25.03,3.47,0.61
2016-09-30,27.98,19.43,35.00,3.17,0.73
2016-06-30,26.48,16.87,28.06,3.06,0.72
2016-03-31,28.82,18.24,27.67,3.37,0.83
2015-12-31,34.58,21.35,22.70,4.19,1.07
2015-09-30,32.00,18.82,18.72,4.13,1.08
2015-06-30,37.00,23.42,18.28,4.92,1.30
2015-03-31,38.71,25.30,22.41,5.59,1.40
2014-12-31,34.25,23.62,23.33,4.96,1.26
2014-09-30,29.74,25.20,24.12,4.53,1.17
2014-06-30,32.04,28.11,39.69,4.89,1.34
2014-03-31,27.43,26.63,23.01,4.49,1.20
2013-12-31,26.30,27.98,14.82,4.51,1.21
2013-09-30,23.13,20.47,15.29,4.17,1.10
2013-06-30,23.36,24.08,17.92,4.52,1.13
2013-03-31,25.25,25.51,22.85,4.90,1.25
2012-12-31,19.90,20.73,46.20,3.91,1.00
2012-09-30,18.41,27.07,963.87,3.99,0.96
2012-06-30,16.36,21.53,29.77,3.74,0.85
2012-03-31,19.96,27.72,179.98,4.67,1.07
2011-12-31,15.22,20.29,23.11,3.52,0.83
2011-09-30,13.46,16.83,17.17,3.25,0.75
2011-06-30,25.11,32.19,31.57,6.58,1.46
2011-03-31,26.70,35.13,20.38,7.54,1.62
2010-12-31,20.48,32.51,11.92,6.22,1.27
2010-09-30,18.28,33.85,12.34,6.17,1.18
2010-06-30,13.61,34.03,10.55,5.34,0.90
2010-03-31,15.85,79.25,21.73,6.46,1.05
2009-12-31,13.57,169.63,20.49,5.57,0.89
2009-09-30,11.74,0.00,20.07,7.37,0.70
2009-06-30,9.36,187.20,12.39,5.48,0.48
2009-03-31,4.03,25.19,6.01,3.83,0.18
2008-12-31,4.32,10.80,0.00,3.28,0.18
2008-09-30,13.37,14.69,267.94,2.60,0.51
2008-06-30,19.20,16.00,0.00,3.64,0.73
2008-03-31,21.64,12.65,63.27,4.29,0.82
2007-12-31,21.55,12.98,9.12,4.39,0.84
2007-09-30,27.84,16.87,11.80,4.21,1.18
2007-06-30,36.50,23.25,13.94,6.11,1.70
2007-03-31,34.18,27.34,11.83,6.54,1.79
2006-12-31,33.20,24.47,20.83,6.39,1.93
