Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,106.63,27.70,35.63,12.41,11.82
2020-06-30,95.96,26.44,34.66,11.86,11.03
2020-03-31,66.04,18.66,27.19,8.54,7.79
2019-12-31,69.36,19.65,29.70,9.23,8.33
2019-09-30,66.08,43.47,29.18,12.53,8.05
2019-06-30,70.81,46.89,32.51,13.87,8.81
2019-03-31,63.51,45.36,31.36,13.07,8.12
2018-12-31,43.48,35.35,22.50,9.45,5.72
2018-09-30,45.32,54.60,23.57,10.17,6.15
2018-06-30,43.31,56.25,23.50,10.31,6.02
2018-03-31,36.77,49.03,21.54,9.07,5.20
2017-12-31,41.82,56.51,28.39,11.92,6.02
2017-09-30,39.47,42.44,23.08,11.03,5.83
2017-06-30,33.49,38.49,19.70,9.86,5.08
2017-03-31,31.40,39.75,22.57,10.44,4.90
2016-12-31,25.22,35.52,18.73,9.46,4.09
2016-09-30,25.53,30.76,23.69,7.90,4.27
2016-06-30,24.30,28.59,22.81,6.61,4.18
2016-03-31,23.58,27.10,20.05,5.75,4.21
2015-12-31,20.81,25.38,19.49,4.68,3.82
2015-09-30,20.68,26.86,18.74,4.44,3.82
2015-06-30,19.66,30.72,17.81,4.10,3.70
2015-03-31,18.44,34.79,19.29,3.96,3.53
2014-12-31,18.97,36.48,21.01,4.15,3.67
2014-09-30,17.21,39.11,19.44,3.92,3.40
2014-06-30,17.49,38.87,18.91,4.02,3.49
2014-03-31,15.54,38.85,16.66,3.71,3.11
2013-12-31,14.02,25.04,12.80,3.49,2.83
2013-09-30,13.51,8.83,13.14,3.55,2.75
2013-06-30,14.48,8.99,14.08,3.95,2.97
2013-03-31,13.93,8.15,13.34,3.87,2.89
2012-12-31,13.51,8.72,13.54,4.14,2.84
2012-09-30,12.87,26.26,14.89,6.12,2.76
2012-06-30,10.99,28.92,14.69,6.02,2.42
2012-03-31,11.84,33.83,15.38,7.06,2.69
2011-12-31,10.40,40.00,13.48,6.90,2.44
2011-09-30,9.24,66.00,11.83,6.68,2.28
2011-06-30,10.56,20.31,13.98,8.58,2.72
2011-03-31,9.75,15.98,14.51,8.81,2.65
2010-12-31,8.26,15.02,13.29,7.98,2.33
2010-09-30,7.63,11.92,18.62,6.89,2.21
2010-06-30,5.79,52.64,18.21,9.48,1.71
2010-03-31,6.67,0.00,36.75,15.15,1.99
2009-12-31,5.99,0.00,0.00,14.85,1.81
2009-09-30,7.34,0.00,170.70,20.51,2.19
2009-06-30,5.90,0.00,0.00,18.19,1.71
2009-03-31,4.20,0.00,0.00,7.49,1.09
2008-12-31,3.66,0.00,0.00,5.05,0.90
2008-09-30,6.76,0.00,16.51,1.02,1.43
2008-06-30,10.10,16.83,13.78,1.36,1.97
2008-03-31,10.68,13.69,11.58,1.45,2.05
2007-12-31,17.01,17.01,13.69,2.25,3.14
2007-09-30,22.19,29.59,17.68,3.05,4.22
2007-06-30,21.96,33.78,18.70,2.97,4.32
2007-03-31,21.06,38.29,17.50,3.14,4.27
2006-12-31,17.91,38.11,15.81,2.90,3.79
