Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,135.22,7.97,16.36,3.96,2.84
2020-12-31,129.26,7.62,15.64,3.79,2.72
2020-09-30,106.32,22.01,13.22,4.32,2.33
2020-06-30,84.86,16.29,11.08,3.50,1.82
2020-03-31,71.57,11.99,8.85,2.98,1.46
2019-12-31,119.40,17.61,13.73,4.93,2.38
2019-09-30,118.00,16.46,12.67,4.56,2.31
2019-06-30,103.44,12.93,10.83,3.93,2.01
2019-03-31,94.09,10.62,9.07,3.46,1.80
2018-12-31,85.38,9.60,9.47,3.24,1.62
2018-09-30,108.19,11.23,15.98,3.67,2.09
2018-06-30,104.91,12.61,19.74,3.74,2.10
2018-03-31,94.20,12.63,27.94,3.49,1.99
2017-12-31,100.20,16.43,25.86,4.12,2.26
2017-09-30,97.15,16.95,28.98,4.20,2.33
2017-06-30,88.03,14.95,23.94,3.88,2.23
2017-03-31,82.88,14.46,21.26,3.80,2.19
2016-12-31,72.34,11.74,16.29,3.37,1.96
2016-09-30,60.84,20.21,11.05,2.76,1.66
2016-06-30,59.50,26.21,14.06,2.82,1.62
2016-03-31,59.25,28.21,19.69,2.82,1.59
2015-12-31,60.58,31.88,26.97,3.14,1.63
2015-09-30,53.01,15.68,32.47,2.43,1.38
2015-06-30,64.10,16.27,27.12,2.82,1.59
2015-03-31,49.59,11.61,20.51,2.38,1.18
2014-12-31,53.00,13.28,29.14,2.63,1.22
2014-09-30,51.51,5.93,21.46,2.52,1.18
2014-06-30,56.33,6.92,28.76,2.82,1.32
2014-03-31,48.45,6.63,23.28,2.59,1.16
2013-12-31,48.11,6.92,19.91,2.80,1.18
2013-09-30,45.77,13.50,23.66,3.46,1.14
2013-06-30,38.70,12.73,17.75,3.11,0.97
2013-03-31,37.98,10.79,20.69,3.31,0.95
2012-12-31,38.34,10.14,19.64,3.54,0.95
2012-09-30,32.57,8.59,14.21,2.71,0.80
2012-06-30,29.69,7.22,21.73,2.66,0.70
2012-03-31,39.55,9.69,36.57,4.01,0.92
2011-12-31,37.87,9.89,70.82,4.42,0.89
2011-09-30,27.78,7.76,0.00,2.98,0.66
2011-06-30,45.48,13.18,0.00,5.18,1.13
2011-03-31,37.81,11.89,0.00,5.19,0.98
2010-12-31,35.04,14.72,0.00,5.89,0.93
2010-09-30,27.28,13.31,10.40,4.63,0.74
2010-06-30,21.13,5.77,9.38,4.79,0.59
2010-03-31,26.99,8.15,12.53,7.36,0.79
2009-12-31,27.17,8.91,10.16,6.69,0.82
2009-09-30,21.12,11.06,10.40,4.42,0.66
2009-06-30,20.03,55.63,14.48,11.59,0.57
2009-03-31,11.25,22.50,5.21,34.35,0.29
2008-12-31,10.43,6.82,5.46,8.13,0.25
2008-09-30,23.36,5.96,16.71,3.26,0.54
2008-06-30,38.18,10.32,13.80,4.65,0.91
2008-03-31,32.62,15.24,14.99,4.75,0.80
2007-12-31,35.32,14.59,21.75,5.06,0.92
2007-09-30,32.50,20.44,19.71,7.81,0.90
2007-06-30,32.30,21.97,13.59,7.52,0.92
2007-03-31,25.65,9.07,8.56,4.19,0.76
2006-12-31,21.49,9.15,7.28,4.33,0.64
