Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,45.76,34.67,10.63,1.79,2.44
2020-09-30,30.21,22.89,7.02,1.18,1.61
2020-06-30,27.45,15.77,5.11,1.05,1.41
2020-03-31,26.21,12.31,4.95,1.04,1.27
2019-12-31,45.66,20.57,8.64,1.75,2.21
2019-09-30,46.75,21.45,9.44,1.79,2.25
2019-06-30,44.38,21.97,8.19,1.67,2.17
2019-03-31,38.56,28.15,8.05,1.52,2.00
2018-12-31,40.76,32.87,8.65,1.58,2.16
2018-09-30,50.66,16.83,11.51,1.91,2.70
2018-06-30,41.06,16.36,15.24,1.52,2.28
2018-03-31,34.63,18.33,7.18,1.21,2.00
2017-12-31,38.77,25.50,7.70,1.35,2.19
2017-09-30,31.77,0.00,9.70,1.19,1.90
2017-06-30,25.02,0.00,16.16,0.91,1.57
2017-03-31,25.98,0.00,0.00,0.95,1.63
2016-12-31,27.62,0.00,0.00,0.99,1.75
2016-09-30,21.13,72.87,0.00,0.71,1.26
2016-06-30,20.64,25.48,0.00,0.67,1.16
2016-03-31,26.57,12.65,0.00,0.86,1.43
2015-12-31,34.22,11.61,0.00,1.82,1.88
2015-09-30,37.42,9.84,0.00,1.95,2.05
2015-06-30,53.31,13.54,0.00,2.77,2.97
2015-03-31,46.82,12.77,0.00,2.52,2.58
2014-12-31,44.76,8.46,0.00,2.37,2.44
2014-09-30,45.60,8.34,0.00,2.34,2.53
2014-06-30,39.05,6.78,33.99,2.00,2.15
2014-03-31,42.14,6.79,22.94,2.09,2.32
2013-12-31,37.51,7.62,16.94,1.93,2.05
2013-09-30,33.78,6.42,10.50,1.77,1.83
2013-06-30,27.42,4.80,7.61,1.49,1.45
2013-03-31,30.38,5.14,5.21,1.50,1.65
2012-12-31,32.36,5.66,5.60,1.62,1.72
2012-09-30,35.32,6.34,6.42,1.86,1.85
2012-06-30,30.73,5.86,5.34,1.75,1.63
2012-03-31,28.91,6.10,5.56,1.77,1.56
2011-12-31,22.90,5.19,4.25,1.52,1.33
2011-09-30,19.44,5.35,2.82,1.47,1.21
2011-06-30,22.26,7.89,4.09,1.50,1.53
2011-03-31,21.48,12.07,4.64,1.60,1.60
2010-12-31,21.21,21.64,7.28,1.70,1.73
2010-09-30,14.98,23.70,9.91,1.24,1.42
2010-06-30,9.94,15.19,44.72,0.84,1.02
2010-03-31,14.26,11.77,13.68,1.99,1.44
2009-12-31,14.18,9.55,7.66,1.97,1.34
2009-09-30,13.46,6.74,8.18,1.86,1.09
2009-06-30,11.56,5.77,6.66,1.66,0.82
2009-03-31,11.07,5.17,6.18,1.88,0.78
2008-12-31,7.64,3.13,4.25,1.37,0.56
2008-09-30,14.18,6.45,6.08,2.38,1.10
2008-06-30,23.68,10.13,8.79,4.09,2.08
2008-03-31,16.05,9.64,6.73,3.37,1.55
2007-12-31,17.03,12.96,8.21,4.04,1.75
2007-09-30,11.74,13.56,7.39,3.19,1.35
2007-06-30,9.26,15.75,7.08,2.76,1.14
2007-03-31,5.96,14.46,5.40,1.99,0.78
2006-12-31,3.96,33.57,7.56,1.42,0.54
