Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,42.51,34.28,0.00,0.81,2.37
2020-09-30,24.66,11.11,0.00,0.47,1.36
2020-06-30,24.23,9.65,0.00,0.46,1.34
2020-03-31,17.75,6.06,0.00,0.34,0.99
2019-12-31,37.93,9.93,10.68,0.74,2.14
2019-09-30,32.71,8.61,10.69,0.66,1.88
2019-06-30,32.39,8.66,18.92,0.67,1.93
2019-03-31,29.51,8.04,10.27,0.63,1.84
2018-12-31,26.74,7.58,8.37,0.60,1.76
2018-09-30,34.44,8.79,12.41,0.81,2.37
2018-06-30,34.50,9.35,6.87,0.82,2.50
2018-03-31,37.03,10.77,12.47,0.90,2.80
2017-12-31,36.86,11.27,11.39,0.89,2.89
2017-09-30,33.09,13.40,10.94,0.82,2.70
2017-06-30,31.02,13.20,13.93,0.78,2.61
2017-03-31,29.92,13.73,8.47,0.77,2.62
2016-12-31,30.74,15.53,11.89,0.80,2.81
2016-09-30,21.22,11.47,7.51,0.54,2.00
2016-06-30,17.07,10.10,6.89,0.45,1.68
2016-03-31,17.80,11.27,6.80,0.47,1.79
2015-12-31,22.15,14.29,10.61,0.59,2.27
2015-09-30,20.09,13.49,12.53,0.54,2.10
2015-06-30,22.91,16.02,7.28,0.63,2.46
