Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,81.45,32.32,21.35,6.30,4.20
2020-09-30,93.17,30.05,24.42,7.21,4.95
2020-06-30,76.66,26.71,18.57,6.31,4.20
2020-03-31,63.44,23.76,17.93,5.53,3.57
2019-12-31,69.31,28.29,22.09,6.38,4.01
2019-09-30,73.89,30.28,25.06,7.08,4.34
2019-06-30,71.54,29.81,24.79,6.78,4.25
2019-03-31,69.53,29.71,25.53,6.85,4.17
2018-12-31,63.96,28.18,22.80,6.44,3.86
2018-09-30,57.56,17.44,18.89,6.02,3.53
2018-06-30,51.34,15.84,18.56,5.66,3.21
2018-03-31,48.41,15.92,18.82,5.52,3.15
2017-12-31,48.01,16.44,19.32,5.36,3.26
2017-09-30,46.17,26.54,21.86,5.90,3.27
2017-06-30,49.25,29.14,22.59,6.64,3.62
2017-03-31,47.17,25.84,21.80,6.14,3.50
2016-12-31,41.63,23.86,18.02,5.35,3.13
2016-09-30,44.97,25.92,18.34,5.48,3.42
2016-06-30,48.19,28.10,20.97,6.16,3.69
2016-03-31,43.09,27.54,19.37,5.75,3.34
2015-12-31,39.60,25.80,19.44,5.09,3.12
2015-09-30,38.98,25.73,22.91,4.98,3.10
2015-06-30,37.55,25.20,20.62,4.98,3.02
2015-03-31,39.38,25.57,21.63,5.39,3.23
2014-12-31,36.19,24.04,21.18,4.59,3.02
2014-09-30,32.08,22.28,19.14,4.11,2.73
2014-06-30,31.83,22.82,18.48,4.21,2.77
2014-03-31,31.29,22.76,18.92,4.02,2.76
2013-12-31,29.88,21.50,19.51,3.61,2.64
2013-09-30,26.96,19.97,14.47,3.35,2.40
2013-06-30,27.58,21.21,17.81,3.56,2.52
2013-03-31,28.76,22.55,19.80,3.81,2.71
2012-12-31,23.72,19.37,15.08,3.19,2.32
2012-09-30,23.80,20.51,19.45,3.22,2.41
2012-06-30,24.34,22.12,19.38,3.42,2.50
2012-03-31,21.48,19.44,16.16,2.98,2.24
2011-12-31,19.89,18.72,16.05,2.77,2.11
2011-09-30,19.13,19.04,14.23,2.64,2.08
2011-06-30,17.48,17.92,12.37,2.46,1.93
2011-03-31,17.03,17.97,13.15,2.49,1.90
2010-12-31,14.75,15.73,11.42,2.25,1.64
2010-09-30,13.84,14.42,13.14,2.16,1.53
2010-06-30,13.33,13.81,16.00,2.17,1.48
2010-03-31,14.20,15.60,13.76,2.40,1.58
2009-12-31,12.79,15.00,12.38,2.25,1.45
2009-09-30,11.98,14.56,11.00,2.18,1.37
2009-06-30,11.44,15.25,11.02,2.18,1.31
2009-03-31,10.98,15.41,12.12,2.22,1.28
2008-12-31,11.78,16.95,13.22,2.48,1.38
2008-09-30,13.01,19.86,13.64,2.73,1.56
2008-06-30,11.79,17.60,11.80,2.62,1.44
2008-03-31,11.33,17.37,12.54,2.66,1.41
2007-12-31,11.28,18.34,15.32,2.90,1.43
2007-09-30,9.80,16.60,14.18,2.51,1.26
2007-06-30,10.08,18.49,15.42,2.73,1.33
2007-03-31,10.45,19.63,18.74,2.98,1.43
2006-12-31,8.84,17.08,17.56,2.68,1.25
