Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,90.78,34.52,23.96,6.59,0.76
2020-09-30,101.63,30.25,26.83,7.37,0.90
2020-06-30,78.22,22.80,12.49,6.18,0.71
2020-03-31,65.09,18.13,14.84,5.52,0.58
2019-12-31,76.31,18.26,13.15,6.16,0.69
2019-09-30,82.18,17.16,13.36,6.64,0.73
2019-06-30,81.28,16.35,12.58,6.65,0.70
2019-03-31,83.30,17.07,14.42,6.90,0.71
2018-12-31,80.08,16.93,15.03,6.89,0.68
2018-09-30,92.70,20.74,20.02,8.17,0.79
2018-06-30,78.83,19.37,21.95,7.20,0.70
2018-03-31,87.83,23.61,27.35,8.24,0.81
2017-12-31,83.08,23.27,34.16,8.13,0.79
2017-09-30,70.59,21.07,31.17,7.29,0.70
2017-06-30,63.32,18.62,24.49,6.66,0.65
2017-03-31,70.78,19.55,22.74,7.59,0.75
2016-12-31,66.72,18.58,20.92,7.49,0.73
2016-09-30,63.78,17.67,16.28,7.13,0.71
2016-06-30,66.80,18.20,14.53,7.56,0.74
2016-03-31,66.39,18.39,14.06,7.97,0.73
2015-12-31,55.14,15.71,11.61,6.88,0.60
2015-09-30,59.80,17.59,13.42,7.62,0.64
2015-06-30,54.78,16.65,13.02,7.15,0.59
2015-03-31,63.92,20.29,16.12,8.81,0.69
2014-12-31,65.04,21.32,19.54,9.10,0.71
2014-09-30,57.30,19.76,19.64,8.25,0.65
2014-06-30,54.82,20.01,22.16,8.02,0.64
2014-03-31,44.76,16.96,18.69,6.77,0.54
2013-12-31,49.52,18.69,25.30,7.91,0.62
2013-09-30,50.26,13.92,23.68,7.75,0.64
2013-06-30,47.21,12.97,20.54,5.03,0.63
2013-03-31,49.54,13.57,27.65,5.34,0.68
2012-12-31,52.35,14.30,19.98,5.61,0.75
2012-09-30,48.24,17.54,21.96,6.02,0.72
2012-06-30,47.91,17.55,18.75,6.08,0.73
2012-03-31,53.31,19.82,21.16,6.95,0.83
2011-12-31,56.52,21.49,23.65,7.40,0.90
2011-09-30,55.19,21.39,18.99,7.15,0.90
2011-06-30,63.29,25.31,26.75,8.14,1.07
2011-03-31,59.29,24.50,26.38,8.01,1.03
2010-12-31,63.87,27.41,32.41,8.81,1.14
2010-09-30,55.28,24.79,37.25,7.84,1.03
2010-06-30,43.84,20.11,26.86,6.59,0.86
2010-03-31,43.81,20.57,24.98,6.85,0.93
2009-12-31,45.85,21.52,22.67,7.09,1.03
2009-09-30,44.89,21.07,15.94,6.74,1.02
2009-06-30,40.36,19.22,15.77,6.18,0.88
2009-03-31,35.14,16.89,13.41,5.40,0.73
2008-12-31,42.14,20.26,17.15,6.49,0.85
2008-09-30,38.84,18.94,24.39,5.97,0.79
2008-06-30,41.62,20.91,29.57,6.47,0.89
2008-03-31,41.14,21.21,29.88,6.51,0.93
2007-12-31,40.76,21.91,26.80,6.68,0.97
2007-09-30,40.72,22.88,28.15,6.80,1.01
2007-06-30,39.25,23.09,24.98,6.70,1.00
2007-03-31,35.78,22.23,21.03,6.26,0.94
2006-12-31,30.34,19.96,17.57,5.55,0.81
