Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,204.26,17.52,9.79,1.65,0.47
2020-09-30,169.41,11.88,8.12,1.37,0.40
2020-06-30,187.65,13.36,7.52,1.54,0.46
2020-03-31,177.18,13.61,9.46,1.52,0.43
2019-12-31,204.45,15.22,9.21,1.74,0.51
2019-09-30,151.76,13.34,9.93,1.27,0.42
2019-06-30,157.52,14.38,13.79,1.36,0.52
2019-03-31,160.78,15.25,12.42,1.44,0.64
2018-12-31,189.83,17.74,14.65,1.76,0.96
2018-09-30,208.15,18.55,13.82,3.26,1.15
2018-06-30,169.87,16.51,9.70,2.80,0.97
2018-03-31,167.66,16.52,10.31,2.87,0.99
2017-12-31,202.95,23.25,14.32,4.38,1.25
2017-09-30,186.81,20.46,12.13,3.27,1.16
2017-06-30,167.27,19.27,9.35,2.91,1.06
2017-03-31,146.39,19.52,8.96,2.63,0.94
2016-12-31,133.26,18.51,9.71,2.49,0.87
2016-09-30,130.20,17.67,8.91,2.39,0.86
2016-06-30,127.87,16.58,13.32,2.45,0.86
2016-03-31,137.11,17.14,13.66,2.77,0.93
2015-12-31,146.15,18.18,15.72,3.11,1.01
2015-09-30,134.85,16.51,17.79,2.95,0.95
2015-06-30,161.80,20.02,22.99,3.68,1.16
2015-03-31,129.28,16.28,17.90,3.04,0.96
2014-12-31,102.75,13.14,16.38,2.47,0.79
2014-09-30,90.55,12.34,15.15,2.13,0.73
2014-06-30,91.83,12.61,13.59,2.22,0.76
2014-03-31,83.60,12.08,16.14,2.12,0.72
2013-12-31,87.30,16.79,129.45,2.27,0.77
2013-09-30,76.70,14.42,55.24,2.15,0.69
2013-06-30,72.34,14.53,0.00,2.10,0.67
2013-03-31,62.24,13.74,94.56,1.84,0.59
2012-12-31,53.31,9.50,7.95,1.56,0.53
2012-09-30,47.04,8.98,10.15,1.41,0.50
2012-06-30,43.88,10.04,5.35,1.40,0.49
2012-03-31,49.11,10.77,7.06,1.65,0.59
2011-12-31,41.85,8.63,10.74,1.49,0.52
2011-09-30,41.79,7.60,8.70,1.46,0.52
2011-06-30,51.24,8.70,11.84,1.84,0.65
2011-03-31,44.12,8.10,11.22,1.70,0.57
2010-12-31,36.49,7.45,6.96,1.49,0.48
2010-09-30,35.62,8.09,6.67,1.49,0.48
2010-06-30,30.92,6.93,7.67,1.41,0.43
2010-03-31,36.41,7.31,13.11,1.73,0.53
2009-12-31,35.07,7.43,22.05,1.77,0.52
2009-09-30,27.93,10.12,13.59,1.48,0.41
2009-06-30,23.95,10.94,7.04,1.45,0.35
2009-03-31,17.49,11.07,4.35,1.24,0.25
2008-12-31,16.70,16.22,3.33,1.26,0.24
2008-09-30,33.69,12.34,6.96,1.98,0.50
2008-06-30,35.08,10.35,8.33,2.03,0.54
2008-03-31,40.22,12.97,10.49,2.35,0.64
2007-12-31,53.22,13.76,13.29,3.13,0.88
2007-09-30,52.77,14.28,18.03,3.48,0.91
2007-06-30,51.70,15.51,18.58,3.66,0.94
2007-03-31,47.07,13.72,15.53,3.26,0.91
2006-12-31,43.41,12.73,28.91,0.99,0.90
