Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,76.29,24.38,19.51,60.95,4.06
2020-06-30,72.03,24.09,18.59,84.37,3.89
2020-03-31,64.85,22.13,18.90,162.91,3.51
2019-12-31,66.87,24.32,20.57,102.42,3.67
2019-09-30,70.95,26.28,22.88,349.51,3.96
2019-06-30,68.77,26.15,22.58,-5878.17,3.87
2019-03-31,65.36,24.39,21.40,-267.22,3.69
2018-12-31,56.38,20.50,18.78,246.94,3.17
2018-09-30,62.99,26.03,22.04,-803.47,3.54
2018-06-30,60.59,24.24,20.93,-278.19,3.39
2018-03-31,66.61,28.23,23.85,575.23,3.76
2017-12-31,69.75,30.59,24.33,251.10,4.01
2017-09-30,66.98,25.86,23.47,220.26,3.91
2017-06-30,67.78,25.20,23.20,678.51,4.00
2017-03-31,66.56,24.03,22.28,-11677.37,3.93
2016-12-31,59.17,21.75,20.38,3065.74,3.50
2016-09-30,66.67,43.57,23.14,259.92,3.91
2016-06-30,65.48,42.24,24.73,1718.60,3.82
2016-03-31,62.85,41.62,26.33,-769.27,3.63
2015-12-31,58.91,39.01,23.64,-1194.97,3.35
2015-09-30,55.80,20.67,22.01,84.83,3.12
2015-06-30,57.19,22.97,21.60,68.00,3.14
2015-03-31,60.29,23.83,22.06,73.80,3.27
2014-12-31,59.85,25.36,21.57,39.18,3.21
2014-09-30,56.10,24.60,20.83,29.28,2.99
2014-06-30,58.34,24.41,21.41,25.73,3.12
2014-03-31,55.21,23.80,20.51,26.60,2.97
2013-12-31,55.21,23.15,20.36,20.03,2.98
2013-09-30,49.93,20.68,16.88,23.02,2.72
2013-06-30,47.96,20.03,16.42,24.67,2.64
2013-03-31,49.13,20.09,16.85,22.70,2.73
2012-12-31,43.27,16.80,15.37,16.94,2.44
2012-09-30,44.12,17.30,17.06,15.46,2.52
2012-06-30,42.58,16.87,15.40,16.09,2.44
2012-03-31,39.75,15.87,14.83,15.20,2.30
2011-12-31,37.32,15.11,14.01,14.10,2.20
2011-09-30,35.60,14.32,12.87,12.01,2.14
2011-06-30,34.86,14.31,13.83,10.79,2.18
2011-03-31,31.97,13.38,12.19,12.07,2.06
2010-12-31,31.61,14.67,11.95,11.11,2.09
2010-09-30,30.02,14.03,11.77,10.18,1.98
2010-06-30,30.57,14.59,11.30,10.60,2.03
2010-03-31,32.88,16.08,12.49,11.67,2.20
2009-12-31,31.51,14.45,12.16,9.56,2.16
2009-09-30,29.09,14.23,13.21,9.30,2.06
2009-06-30,26.82,13.72,15.27,9.91,1.91
2009-03-31,22.20,11.81,13.03,11.44,1.57
2008-12-31,25.63,14.01,16.36,12.58,1.79
2008-09-30,27.99,16.04,16.24,11.45,1.97
2008-06-30,25.52,15.37,14.52,9.68,1.86
2008-03-31,28.62,18.12,16.60,12.91,2.17
2007-12-31,28.51,17.87,17.42,12.69,2.25
2007-09-30,25.95,16.48,17.67,13.08,2.12
2007-06-30,23.47,15.60,16.63,13.52,1.98
2007-03-31,24.05,17.43,18.00,17.35,2.10
2006-12-31,23.38,19.01,18.32,16.99,2.10
