Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,66.71,20.40,11.00,1.15,3.02
2020-12-31,55.86,17.08,9.21,0.97,2.53
2020-09-30,37.75,10.40,6.32,0.67,1.65
2020-06-30,36.99,8.91,4.02,0.66,1.53
2020-03-31,28.00,5.29,2.47,0.53,1.12
2019-12-31,67.17,8.55,10.10,1.30,2.69
2019-09-30,61.21,7.76,6.75,1.23,2.51
2019-06-30,66.69,8.56,8.11,1.36,2.87
2019-03-31,66.67,8.64,9.33,1.40,3.03
2018-12-31,61.95,8.60,6.94,1.32,2.97
2018-09-30,80.66,13.56,12.50,1.72,4.01
2018-06-30,80.78,15.10,14.63,1.71,4.12
2018-03-31,84.93,18.42,15.55,1.83,4.48
2017-12-31,76.62,18.55,13.42,1.66,4.16
2017-09-30,67.07,15.17,13.72,1.46,3.76
2017-06-30,64.13,16.03,13.89,1.41,3.71
2017-03-31,59.84,17.34,19.11,1.34,3.53
2016-12-31,59.24,22.10,26.82,1.33,3.53
2016-09-30,41.02,16.61,14.81,0.91,2.48
2016-06-30,35.47,14.97,10.66,0.80,2.20
2016-03-31,32.50,12.90,8.89,0.74,2.05
2015-12-31,35.70,12.27,8.66,0.83,2.30
2015-09-30,34.90,11.63,10.09,0.81,2.32
2015-06-30,43.36,14.08,13.34,1.03,2.95
2015-03-31,37.98,12.06,10.16,0.90,2.64
2014-12-31,39.24,12.46,12.76,0.95,2.80
2014-09-30,41.59,14.00,8.39,1.01,2.95
2014-06-30,41.68,14.22,9.32,1.02,2.94
2014-03-31,42.87,14.83,11.58,1.07,3.03
2013-12-31,39.19,13.70,9.99,1.00,2.75
2013-09-30,32.29,11.06,28.54,0.85,2.25
2013-06-30,32.58,11.85,15.82,0.87,2.29
2013-03-31,29.27,10.76,7.92,0.78,2.06
2012-12-31,24.59,9.17,7.65,0.67,1.74
2012-09-30,25.04,10.10,6.97,0.68,1.79
2012-06-30,24.65,10.36,7.40,0.68,1.76
2012-03-31,25.84,11.85,7.20,0.73,1.84
2011-12-31,20.53,9.83,5.66,0.59,1.45
2011-09-30,18.21,8.51,2.96,0.52,1.26
2011-06-30,27.29,13.92,4.49,0.80,1.87
2011-03-31,28.90,15.88,4.52,0.87,1.95
2010-12-31,33.16,41.98,4.46,1.01,2.14
2010-09-30,29.09,0.00,5.91,0.88,1.78
2010-06-30,28.81,0.00,6.13,0.88,1.58
2010-03-31,29.71,0.00,7.83,0.92,1.47
2009-12-31,23.07,0.00,202.15,0.50,1.09
2009-09-30,23.10,0.00,35.90,0.50,1.03
2009-06-30,16.44,0.00,10.65,0.35,0.70
2009-03-31,14.20,33.81,8.80,0.30,0.59
2008-12-31,15.35,11.72,3.29,0.32,0.59
2008-09-30,24.91,11.98,4.20,0.74,0.89
2008-06-30,19.07,6.21,3.60,0.56,0.66
2008-03-31,25.58,6.48,4.75,0.73,0.85
2007-12-31,31.19,7.07,5.82,0.91,1.05
2007-09-30,36.20,6.59,8.38,1.08,1.24
2007-06-30,41.49,7.49,8.33,1.27,1.47
2007-03-31,40.82,7.41,8.89,1.25,1.49
2006-12-31,40.07,7.29,7.99,1.23,1.52
