Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,195.07,41.59,27.09,2.59,14.32
2020-09-30,164.23,27.37,22.81,2.18,11.96
2020-06-30,158.75,23.94,18.53,2.12,11.11
2020-03-31,168.13,25.24,23.89,2.26,11.56
2019-12-31,194.36,32.89,28.69,2.66,14.30
2019-09-30,201.40,35.40,32.33,2.68,14.38
2019-06-30,184.34,36.00,32.08,2.49,14.08
2019-03-31,155.72,29.11,25.42,2.12,12.31
2018-12-31,177.22,30.98,26.21,2.44,14.05
2018-09-30,158.25,11.93,23.44,2.31,13.57
2018-06-30,151.79,11.71,23.07,2.23,13.06
2018-03-31,149.16,11.91,25.70,2.22,13.27
2017-12-31,134.13,11.23,27.34,2.03,12.52
2017-09-30,121.17,27.48,24.10,1.97,11.26
2017-06-30,111.26,22.75,22.60,1.81,10.47
2017-03-31,104.96,22.72,21.86,1.73,9.92
2016-12-31,101.37,22.38,20.95,1.69,9.55
2016-09-30,88.92,20.73,19.60,1.41,8.61
2016-06-30,82.40,20.81,18.40,1.32,7.96
2016-03-31,80.75,21.31,17.73,1.31,7.99
2015-12-31,75.68,20.57,18.03,1.24,7.69
2015-09-30,74.70,20.03,16.62,1.18,7.51
2015-06-30,74.56,21.12,19.47,1.18,7.69
2015-03-31,75.49,21.32,21.32,1.20,7.99
2014-12-31,70.29,20.98,20.39,1.13,7.59
2014-09-30,61.70,20.43,16.73,0.96,7.00
2014-06-30,54.41,18.96,16.29,0.85,6.27
2014-03-31,56.39,18.73,14.25,0.88,6.30
2013-12-31,59.41,20.28,14.74,0.94,6.76
2013-09-30,53.88,18.90,16.57,0.82,6.18
2013-06-30,55.04,19.66,15.38,0.84,6.37
2013-03-31,44.22,16.94,11.93,0.68,5.14
2012-12-31,36.22,6.12,9.81,0.56,4.13
2012-09-30,39.62,5.17,10.57,0.61,4.41
2012-06-30,36.79,4.62,8.54,0.56,3.85
2012-03-31,39.37,4.86,10.72,0.60,4.07
2011-12-31,32.54,5.99,9.25,0.50,3.32
2011-09-30,32.71,8.67,9.02,0.52,3.30
2011-06-30,38.51,10.83,11.83,0.61,4.06
2011-03-31,39.62,11.31,11.09,0.64,4.19
2010-12-31,42.08,14.69,11.66,0.70,4.65
2010-09-30,33.94,11.76,9.70,0.57,3.87
2010-06-30,36.53,13.23,10.41,0.62,4.29
2010-03-31,40.86,15.68,13.13,0.70,5.11
2009-12-31,43.27,17.43,15.56,0.75,5.51
2009-09-30,39.55,19.20,14.22,0.69,4.83
2009-06-30,39.76,19.74,13.70,0.70,4.67
2009-03-31,31.38,15.07,11.32,0.55,3.64
2008-12-31,26.34,10.40,7.79,0.47,2.93
2008-09-30,46.77,15.11,13.08,0.82,5.17
2008-06-30,47.44,14.34,14.31,0.97,5.31
2008-03-31,57.91,17.61,17.52,1.20,6.62
2007-12-31,84.49,28.39,28.64,1.83,10.15
2007-09-30,72.25,25.73,29.99,1.59,9.60
2007-06-30,65.63,25.01,26.30,6.58,9.49
2007-03-31,65.30,25.77,25.74,7.00,9.80
2006-12-31,62.42,26.93,28.55,7.16,10.05
