Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,1473.09,117.85,144.10,20.42,6.99
2020-12-31,1386.71,110.94,135.65,19.22,6.58
2020-09-30,1243.71,148.77,86.71,19.27,6.06
2020-06-30,1052.36,116.80,77.85,17.27,5.31
2020-03-31,654.40,54.81,47.86,10.89,3.26
2019-12-31,837.11,67.67,58.97,13.80,4.24
2019-09-30,840.47,76.62,68.15,14.40,4.41
2019-06-30,732.88,82.72,63.31,13.21,3.97
2019-03-31,710.31,97.04,64.44,13.27,3.96
2018-12-31,431.79,68.32,36.13,8.30,2.48
2018-09-30,454.52,67.64,39.98,8.80,2.69
2018-06-30,431.37,71.30,42.01,8.62,2.62
2018-03-31,323.11,48.30,30.20,6.59,2.02
2017-12-31,289.03,46.92,32.83,5.94,1.85
2017-09-30,307.83,59.66,39.93,6.28,2.02
2017-06-30,416.10,87.78,70.03,8.20,2.81
2017-03-31,445.52,135.42,68.35,9.08,3.15
2016-12-31,377.32,465.83,116.62,7.75,2.85
2016-09-30,423.50,174.28,115.21,8.52,3.28
2016-06-30,402.76,59.67,64.62,7.90,3.05
2016-03-31,470.97,45.59,61.34,8.97,3.46
2015-12-31,479.85,31.80,35.48,6.94,3.36
2015-09-30,720.25,42.97,50.80,9.36,4.97
2015-06-30,604.99,37.07,41.61,8.37,4.30
2015-03-31,650.54,42.33,42.73,9.46,4.78
2014-12-31,684.51,48.44,50.22,10.55,5.25
2014-09-30,666.59,52.00,45.04,10.92,5.40
2014-06-30,592.51,52.30,46.73,10.48,5.13
2014-03-31,568.05,53.34,47.81,10.74,5.24
2013-12-31,532.78,50.93,50.68,10.75,5.18
2013-09-30,428.80,43.40,42.22,9.05,4.38
2013-06-30,364.35,38.39,34.66,8.23,3.90
2013-03-31,325.87,35.31,31.80,7.83,3.67
2012-12-31,297.46,34.00,42.41,7.42,3.47
2012-09-30,317.54,36.88,46.20,7.66,3.85
2012-06-30,379.95,46.11,54.15,9.55,4.80
2012-03-31,418.00,57.50,64.62,11.32,5.54
2011-12-31,337.74,49.96,41.28,10.11,4.73
2011-09-30,302.95,47.19,38.78,9.49,4.46
2011-06-30,308.19,51.02,47.52,10.27,4.79
2011-03-31,272.37,46.09,48.61,9.82,4.46
2010-12-31,212.66,37.71,38.35,8.15,3.68
2010-09-30,172.00,33.33,32.28,6.99,3.14
2010-06-30,136.81,28.99,26.00,5.69,2.64
2010-03-31,112.67,25.84,24.37,4.83,2.29
2009-12-31,88.16,22.32,19.73,3.95,1.87
2009-09-30,97.05,27.89,29.70,4.50,2.13
2009-06-30,80.00,26.76,30.53,3.90,1.83
2009-03-31,66.38,25.24,32.73,3.34,1.59
2008-12-31,61.98,26.15,44.27,3.20,1.55
2008-09-30,55.49,23.32,46.42,2.88,1.45
2008-06-30,82.62,34.28,87.41,4.46,2.25
2008-03-31,113.43,49.97,158.89,6.41,3.26
2007-12-31,147.07,69.05,764.40,8.58,4.48
2007-09-30,118.13,61.21,1438.86,7.20,3.83
2007-06-30,85.28,51.07,0.00,5.46,2.98
2007-03-31,62.10,44.36,0.00,4.17,2.34
2006-12-31,57.00,44.53,294.42,3.91,2.24
