Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,58.73,18.95,51.82,1.32,0.31
2020-09-30,58.33,16.25,51.46,1.31,0.31
2020-06-30,63.55,22.30,25.60,1.46,0.34
2020-03-31,59.41,30.01,0.00,1.45,0.33
2019-12-31,62.87,20.02,35.10,2.06,0.35
2019-09-30,43.26,13.41,22.40,1.44,0.25
2019-06-30,52.44,17.25,14.89,1.77,0.31
2019-03-31,53.10,20.34,0.00,1.89,0.33
2018-12-31,57.65,24.80,41.10,2.16,0.38
2018-09-30,72.39,30.16,17.14,2.77,0.49
2018-06-30,61.61,20.99,18.87,2.36,0.43
2018-03-31,53.44,18.39,12.46,2.49,0.38
2017-12-31,50.44,21.51,16.71,2.55,0.37
2017-09-30,48.39,19.83,7.27,2.51,0.35
2017-06-30,39.94,17.56,5.14,2.16,0.30
2017-03-31,35.63,17.47,4.80,2.02,0.27
2016-12-31,28.26,17.94,6.00,1.64,0.22
2016-09-30,33.48,26.16,44.34,2.00,0.29
2016-06-30,35.69,28.66,0.00,2.20,0.33
2016-03-31,30.79,27.49,11.88,1.98,0.31
2015-12-31,32.91,22.77,15.94,3.65,0.36
2015-09-30,27.12,18.90,9.45,3.15,0.31
2015-06-30,40.20,28.82,8.99,4.94,0.50
2015-03-31,35.35,28.50,9.45,4.57,0.47
2014-12-31,25.96,23.08,5.58,3.53,0.38
2014-09-30,20.68,22.54,5.30,2.96,0.33
2014-06-30,18.90,23.78,6.95,2.94,0.33
2014-03-31,15.56,20.34,6.97,2.52,0.30
2013-12-31,14.74,20.19,10.56,2.62,0.30
2013-09-30,15.99,29.61,29.45,2.96,0.36
2013-06-30,13.12,38.57,8.93,2.55,0.30
2013-03-31,11.01,0.00,4.44,2.34,0.26
2012-12-31,10.25,0.00,11.18,2.25,0.27
2012-09-30,9.35,91.24,5.08,2.02,0.26
2012-06-30,7.54,33.89,15.61,1.64,0.24
2012-03-31,12.24,23.21,0.00,2.57,0.45
2011-12-31,9.90,18.67,11.05,2.15,0.40
2011-09-30,7.17,13.99,7.30,1.60,0.30
2011-06-30,8.88,18.31,7.85,2.05,0.38
2011-03-31,8.25,17.83,8.79,1.98,0.37
2010-12-31,6.34,13.48,25.38,1.58,0.29
2010-09-30,5.90,12.35,0.00,1.45,0.26
2010-06-30,5.38,11.03,0.00,1.36,0.24
2010-03-31,6.01,12.27,11.00,1.57,0.26
2009-12-31,5.29,11.20,5.68,1.48,0.23
2009-09-30,4.74,10.24,3.86,1.45,0.21
2009-06-30,5.00,11.22,6.48,1.55,0.24
2009-03-31,4.51,10.42,4.93,1.42,0.23
2008-12-31,4.93,10.48,5.58,1.77,0.26
2008-09-30,5.13,14.44,9.27,1.85,0.30
2008-06-30,4.20,12.26,4.41,1.58,0.25
2008-03-31,3.49,10.25,4.66,1.37,0.22
2007-12-31,6.86,16.73,8.29,2.89,0.44
2007-09-30,5.38,11.20,5.34,2.29,0.40
2007-06-30,5.36,0.00,5.19,2.39,0.42
2007-03-31,5.25,0.00,5.49,2.47,0.46
2006-12-31,6.14,0.00,7.57,3.26,0.60
