Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,119.56,0.00,3.57,0.94,1.73
2020-09-30,71.53,35.76,2.14,0.56,1.02
2020-06-30,62.21,0.00,1.80,0.51,0.88
2020-03-31,49.79,9.80,1.42,0.40,0.69
2019-12-31,101.23,9.17,3.02,0.80,1.41
2019-09-30,89.13,7.91,2.71,0.71,1.27
2019-06-30,88.50,7.65,2.71,0.75,1.27
2019-03-31,79.32,6.59,2.47,0.70,1.16
2018-12-31,73.02,6.19,2.91,0.66,1.10
2018-09-30,91.30,12.77,3.61,0.85,1.39
2018-06-30,88.03,13.97,3.62,0.84,1.36
2018-03-31,91.39,20.17,3.84,0.90,1.46
2017-12-31,94.56,27.41,3.51,0.94,1.54
2017-09-30,80.02,11.32,3.59,0.77,1.35
2017-06-30,77.73,11.38,3.37,0.77,1.35
2017-03-31,81.13,12.33,4.01,0.82,1.46
2016-12-31,81.30,11.82,3.74,0.82,1.52
2016-09-30,66.59,9.50,3.29,0.68,1.29
2016-06-30,58.52,8.25,2.64,0.62,1.19
2016-03-31,63.50,9.20,2.92,0.68,1.34
2015-12-31,65.70,9.31,3.75,0.73,1.45
2015-09-30,65.67,9.11,3.59,0.74,1.48
2015-06-30,79.28,11.18,5.37,0.92,1.83
2015-03-31,70.68,9.26,5.25,0.85,1.66
2014-12-31,73.74,9.72,4.79,0.91,1.77
2014-09-30,72.64,9.94,4.77,0.92,1.78
2014-06-30,73.23,10.02,4.55,0.94,1.81
2014-03-31,68.14,9.54,3.97,0.91,1.67
2013-12-31,67.37,9.67,4.32,0.93,1.64
2013-09-30,60.19,8.68,4.23,0.84,1.44
2013-06-30,54.76,7.73,3.23,0.78,1.29
2013-03-31,47.66,8.88,2.94,0.67,1.14
2012-12-31,50.20,7.97,3.17,0.72,1.19
2012-09-30,49.37,8.56,2.73,0.72,1.19
2012-06-30,47.29,8.55,3.66,0.74,1.16
2012-03-31,48.18,6.56,3.23,0.76,1.18
2011-12-31,36.51,5.35,2.35,0.57,0.91
2011-09-30,34.17,4.57,2.77,0.53,0.85
2011-06-30,44.50,5.97,2.78,0.71,1.10
2011-03-31,44.71,6.56,2.67,0.74,1.10
2010-12-31,36.59,6.09,2.14,0.63,0.87
2010-09-30,33.96,6.38,2.20,0.60,0.83
2010-06-30,34.56,7.68,4.24,0.62,0.86
2010-03-31,35.47,14.07,7.04,0.66,0.90
2009-12-31,32.79,48.94,7.69,0.56,0.87
2009-09-30,30.52,0.00,7.67,0.53,0.78
2009-06-30,18.66,0.00,2.21,0.34,0.45
2009-03-31,10.42,0.00,1.16,0.15,0.24
2008-12-31,26.46,0.00,3.20,0.39,0.55
2008-09-30,41.87,9.78,1.99,0.64,0.84
2008-06-30,30.93,10.08,2.15,0.47,0.61
2008-03-31,39.78,10.61,2.03,0.61,0.79
2007-12-31,37.91,9.72,1.20,0.58,0.79
2007-09-30,53.26,11.68,2.36,0.83,1.12
2007-06-30,62.86,9.44,2.37,0.98,1.33
2007-03-31,60.45,9.23,2.74,0.96,1.28
2006-12-31,61.52,7.90,7.32,1.00,1.26
