Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,18.56,29.94,92.89,3.49,5.11
2020-09-30,17.17,27.69,85.92,3.23,4.73
2020-06-30,16.90,21.13,37.92,3.11,4.30
2020-03-31,16.82,14.63,21.03,3.09,3.85
2019-12-31,16.93,10.38,10.71,3.13,3.45
2019-09-30,16.99,8.89,11.29,3.13,3.14
2019-06-30,22.20,11.27,16.23,3.96,3.97
2019-03-31,25.15,15.43,20.05,4.59,4.71
2018-12-31,21.48,16.91,10.82,4.35,4.42
2018-09-30,21.58,40.72,10.67,4.47,5.24
2018-06-30,22.75,78.45,11.27,4.66,6.12
2018-03-31,22.86,91.45,11.12,4.30,6.18
2017-12-31,27.21,123.68,50.87,4.97,7.19
2017-09-30,25.40,0.00,66.62,4.44,7.02
2017-06-30,23.77,0.00,65.46,4.16,6.88
2017-03-31,22.61,0.00,96.93,3.89,7.54
2016-12-31,22.07,0.00,138.75,4.00,8.68
2016-09-30,24.36,0.00,120.04,3.96,9.63
2016-06-30,24.28,0.00,232.80,3.92,9.34
2016-03-31,21.40,0.00,0.00,3.38,7.62
2015-12-31,16.66,0.00,0.00,3.43,5.08
2015-09-30,20.56,0.00,0.00,4.01,5.04
2015-06-30,29.65,0.00,0.00,5.72,6.49
2015-03-31,27.74,346.77,0.00,5.27,5.44
2014-12-31,27.80,115.82,0.00,5.36,5.35
2014-09-30,30.67,31.62,65.77,5.36,6.30
2014-06-30,32.01,35.56,88.52,5.56,6.85
2014-03-31,31.75,38.25,115.32,5.84,7.11
2013-12-31,36.30,54.18,100.03,6.86,8.79
2013-09-30,34.93,60.75,0.00,6.33,9.07
2013-06-30,33.22,67.80,0.00,6.11,9.43
2013-03-31,31.62,70.26,0.00,6.26,10.23
2012-12-31,23.25,52.85,0.00,4.58,8.15
2012-09-30,20.98,51.17,61.26,4.19,8.03
2012-06-30,18.40,46.88,49.74,3.62,7.27
2012-03-31,14.55,41.28,93.33,2.87,5.88
2011-12-31,17.70,60.53,525.35,3.51,7.62
2011-09-30,14.44,41.84,0.00,2.95,6.51
2011-06-30,15.45,53.76,0.00,3.28,7.26
2011-03-31,12.34,58.75,0.00,2.73,6.07
2010-12-31,8.81,35.24,0.00,1.96,4.29
2010-09-30,7.00,31.83,0.00,1.58,3.31
2010-06-30,7.28,23.86,0.00,1.64,3.51
2010-03-31,8.54,27.12,0.00,1.91,4.09
2009-12-31,10.11,28.08,50.98,2.31,4.74
2009-09-30,8.29,21.95,0.00,1.88,3.92
2009-06-30,7.10,15.94,0.00,1.60,3.21
2009-03-31,5.45,10.49,0.00,1.21,2.33
2008-12-31,6.01,11.50,0.00,1.39,2.57
2008-09-30,8.34,15.89,0.00,2.07,3.68
2008-06-30,15.63,34.34,0.00,4.98,7.39
2008-03-31,11.72,27.59,0.00,4.54,6.06
2007-12-31,9.30,21.51,0.00,3.39,4.98
2007-09-30,8.10,19.80,0.00,3.15,4.49
2007-06-30,8.48,10.52,21.41,3.23,4.61
2007-03-31,7.74,9.45,15.14,3.27,4.13
2006-12-31,6.97,8.39,12.17,2.84,3.61
