Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,388.51,80.77,109.37,4.99,7.93
2020-10-31,319.02,66.33,89.81,4.10,6.51
2020-07-31,282.91,50.61,78.04,3.69,5.76
2020-04-30,286.65,41.72,61.36,3.88,5.62
2020-01-31,346.83,38.15,37.74,4.57,6.49
2019-10-31,290.92,31.15,34.54,3.94,5.48
2019-07-31,337.31,37.73,33.75,4.63,6.44
2019-04-30,289.82,33.82,25.74,4.05,5.57
2019-01-31,278.66,37.91,26.46,4.01,5.39
2018-10-31,258.19,92.87,27.00,3.84,5.04
2018-07-31,260.38,102.51,28.78,3.96,5.27
2018-04-30,228.58,87.91,29.65,3.52,4.83
2018-01-31,244.53,70.06,33.61,3.80,5.42
2017-10-31,240.09,31.93,25.53,3.69,5.56
2017-07-31,243.70,34.96,26.32,3.86,5.74
2017-04-30,200.16,30.01,22.46,3.33,4.79
2017-01-31,184.46,30.39,23.09,3.20,4.49
2016-10-31,175.86,31.46,24.14,3.18,4.38
2016-07-31,182.29,35.67,36.46,3.25,4.69
2016-04-30,152.90,36.15,42.39,2.70,4.05
2016-01-31,131.00,33.25,36.25,2.43,3.57
2015-10-31,152.15,36.75,50.61,2.75,4.16
2015-07-31,176.75,43.97,44.84,3.19,4.80
2015-04-30,177.79,36.21,40.39,3.30,4.90
2015-01-31,157.40,29.70,34.41,3.02,4.38
2014-10-31,163.61,29.64,36.96,3.04,4.66
2014-07-31,160.60,26.59,38.87,2.90,4.74
2014-04-30,131.65,21.83,30.22,2.46,3.95
2014-01-31,124.04,20.92,27.13,2.42,3.81
2013-10-31,128.93,21.63,26.94,2.55,4.03
2013-07-31,127.07,20.27,26.01,2.55,4.00
2013-04-30,110.13,18.86,23.50,2.29,3.54
2013-01-31,101.10,18.59,23.47,2.17,3.32
2012-10-31,95.72,18.92,21.85,2.10,3.25
2012-07-31,75.06,15.80,17.17,1.71,2.60
2012-04-30,87.89,21.08,18.90,2.08,3.10
2012-01-31,71.91,19.03,16.62,1.76,2.56
2011-10-31,69.05,19.08,14.34,1.71,2.50
2011-07-31,76.22,21.78,19.94,1.93,2.84
2011-04-30,74.61,20.84,20.09,1.93,2.87
2011-01-31,57.11,19.36,13.72,1.53,2.24
2010-10-31,49.12,20.21,11.78,1.35,1.97
2010-07-31,38.69,18.78,8.08,1.11,1.58
2010-04-30,38.69,23.03,8.14,1.14,1.59
2010-01-31,35.14,16.57,8.82,1.03,1.47
2009-10-31,27.84,12.60,9.80,0.82,1.17
2009-07-31,27.28,12.40,14.24,0.81,1.16
2009-04-30,28.54,13.53,26.84,0.90,1.23
2009-01-31,18.83,10.35,78.94,0.62,0.82
2008-10-31,16.34,11.35,0.00,0.52,0.72
2008-07-31,33.41,119.32,0.00,1.00,1.50
2008-04-30,34.67,577.83,0.00,1.09,1.60
2008-01-31,39.01,0.00,0.00,1.24,1.83
2007-10-31,41.57,0.00,0.00,1.28,2.00
2007-07-31,49.62,85.55,0.00,1.55,2.51
2007-04-30,50.55,59.47,0.00,1.59,2.63
2007-01-31,47.19,41.03,0.00,1.50,2.53
2006-10-31,56.97,40.12,345.08,1.84,3.15
