Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,46.31,7.96,12.57,5.06,1.59
2020-07-31,48.83,9.13,13.53,5.74,1.71
2020-04-30,48.89,9.70,14.51,5.72,1.77
2020-01-31,46.98,9.85,16.92,5.68,1.76
2019-10-31,44.64,74.40,13.76,10.79,1.67
2019-07-31,39.55,57.32,11.78,10.71,1.47
2019-04-30,36.70,35.63,11.11,8.93,1.30
2019-01-31,33.31,0.00,9.66,7.85,1.19
2018-10-31,35.17,59.62,11.96,7.48,1.25
2018-07-31,38.10,44.30,12.81,8.35,1.36
2018-04-30,37.67,23.69,12.11,8.04,1.44
2018-01-31,42.64,12.25,13.78,6.59,1.65
2017-10-31,43.08,15.06,14.42,7.68,1.68
2017-07-31,47.68,16.50,15.31,8.72,1.86
2017-04-30,51.58,32.44,16.09,10.52,2.01
2017-01-31,55.44,34.65,15.57,11.43,2.17
2016-10-31,48.13,22.70,12.93,9.25,1.88
2016-07-31,54.79,30.44,14.71,11.01,2.14
2016-04-30,54.05,23.71,15.41,9.98,2.12
2016-01-31,49.17,21.66,15.38,9.97,1.92
2015-10-31,44.00,21.15,15.55,9.67,1.71
2015-07-31,42.46,19.30,15.80,9.56,1.65
2015-04-30,38.24,15.87,16.39,7.50,1.46
2015-01-31,38.86,16.13,15.95,8.01,1.48
2014-10-31,37.27,13.41,16.36,7.26,1.41
2014-07-31,34.84,13.50,19.18,6.80,1.33
2014-04-30,37.85,22.94,19.64,7.42,1.47
2014-01-31,34.05,20.76,19.57,7.59,1.33
2013-10-31,34.92,28.86,17.55,8.15,1.38
2013-07-31,38.09,26.27,17.55,9.82,1.50
2013-04-30,37.53,15.97,15.02,8.92,1.60
2013-01-31,29.69,12.74,11.65,8.04,1.29
2012-10-31,27.84,11.75,11.05,7.94,1.23
2012-07-31,25.92,10.76,10.36,9.01,1.16
2012-04-30,26.26,11.32,10.53,6.52,1.18
2012-01-31,24.39,10.42,9.36,6.46,1.11
2011-10-31,25.36,10.52,8.64,6.91,1.16
2011-07-31,24.99,10.37,9.35,7.30,1.16
2011-04-30,25.18,10.36,10.22,7.50,1.10
2011-01-31,25.37,10.80,11.02,9.19,1.13
2010-10-31,26.72,11.23,11.68,8.08,1.19
2010-07-31,26.26,10.80,11.93,9.50,1.18
2010-04-30,26.02,11.32,10.27,8.03,1.17
2010-01-31,23.84,10.37,9.22,7.88,1.10
2009-10-31,22.68,10.31,10.60,8.15,1.06
2009-07-31,22.00,10.78,9.47,10.32,1.03
2009-04-30,18.08,8.69,9.32,5.55,0.84
2009-01-31,21.16,7.08,17.26,7.16,0.98
2008-10-31,26.21,8.57,23.57,8.74,1.22
2008-07-31,24.97,8.19,19.99,6.74,1.20
2008-04-30,23.73,7.99,27.44,4.62,1.19
2008-01-31,21.38,10.09,17.05,5.03,1.10
2007-10-31,24.90,11.69,18.65,6.25,1.32
2007-07-31,24.65,11.47,26.89,7.21,1.33
2007-04-30,26.03,12.40,19.07,6.15,1.50
2007-01-31,25.49,13.07,17.76,6.71,1.49
2006-10-31,24.63,13.39,13.04,7.46,1.44
